name,province,fuel,capacity_mwe,status,units_included
NĐ LNG miền Bắc,"Thái Bình, Nam Định, Nghi Sơn, Thanh Hóa",gas,0.0,proposed,NĐ LNG miền Bắc
NĐ Thủ Đức,TP HCM,gas,290.0,operational,NĐ Thủ Đức
NĐ Ô Môn I,Cần Thơ,gas/oil,660.0,operational,"NĐ Ô Môn I Unit 1, NĐ Ô Môn I Unit 2"
Phả Lại 1,Hai Duong,coal,440.0,operational,"Phả Lại 1 Unit 1, Phả Lại 1 Unit 2, Phả Lại 1 Unit 3, Phả Lại 1 Unit 4"
Phả Lại 2,Hai Duong,coal,600.0,operational,"Phả Lại 2 Unit 1, Phả Lại 2 Unit 2"
Phả Lại 3,Hai Duong,coal,660.0,cancelled,Phả Lại 3
Quang Ninh 1,Quảng Ninh,coal,600.0,operational,"Quang Ninh 1 Unit 1, Quang Ninh 1 Unit 2"
Quang Ninh 2,Quảng Ninh,coal,600.0,operational,"Quang Ninh 2 Unit 1, Quang Ninh 2 Unit 2"
Quang Ninh 3,Quảng Ninh,coal,1200.0,proposed,"Quang Ninh 3 Unit 1, Quang Ninh 3 Unit 2"
Quảng Trạch 1,Quảng Bình,coal,1400.0,constructing,"Quảng Trạch 1 Unit 1, Quảng Trạch 1 Unit 2"
Quảng Trạch 2,Quảng Bình,coal,1200.0,cancelled,"Quảng Trạch 2 Unit 1, Quảng Trạch 2 Unit 2"
Quảng Trị 1,Quảng Trị,coal,1320.0,cancelled,"Quảng Trị 1 Unit 2, Quảng Trị 1 Unit 2"
Quảng Trị 2,Quảng Trị,coal,1200.0,planned,"Quảng Trị 2 Unit 1, Quảng Trị 2 Unit 2"
Quảng Trị – Huế area,Quảng Trị,gas,4000.0,proposed,Quảng Trị – Huế area
Quỳnh Lập 1,Nghệ An,coal,1200.0,cancelled,"Quỳnh Lập 1 Unit 1, Quỳnh Lập 1 Unit 2"
Quỳnh Lập 2,Nghệ An,coal,1200.0,cancelled,"Quỳnh Lập 2 Unit 1, Quỳnh Lập 2 Unit 2"
Son Dong,Bac Giang,coal,220.0,operational,"Son Dong Unit 1, Son Dong Unit 2"
Sông Hậu 1,Hau Giang,coal,1200.0,operational,"Sông Hậu 1 Unit 1, Sông Hậu 1 Unit 2"
Sông Hậu 2,Hau Giang,coal,2000.0,planned,"Sông Hậu 2 Unit 1, Sông Hậu 2 Unit 2"
TBKHH Bà Rịa 1,Bà Rịa-Vũng Tàu,gas,169.0,operational,TBKHH Bà Rịa 1
TBKHH Bà Rịa 2,Bà Rịa-Vũng Tàu,gas,175.0,operational,TBKHH Bà Rịa 2
TBKHH Dung Quất I,Quảng Ngãi,gas,750.0,planned,TBKHH Dung Quất I
TBKHH Dung Quất II,Quảng Ngãi,gas,750.0,planned,TBKHH Dung Quất II
TBKHH Dung Quất III,Quảng Ngãi,gas,750.0,planned,TBKHH Dung Quất III
"TBKHH Kiên Giang I, II",Kiên Giang,gas,1500.0,planned,"TBKHH Kiên Giang I, II"
TBKHH Nhơn Trạch I,Đồng Nai,gas,465.0,operational,TBKHH Nhơn Trạch I
TBKHH Nhơn Trạch II,Đồng Nai,gas,750.0,operational,TBKHH Nhơn Trạch II
TBKHH Phú Mỹ 1,Bà Rịa-Vũng Tàu,gas,1140.0,operational,TBKHH Phú Mỹ 1
TBKHH Phú Mỹ 2.1,Bà Rịa-Vũng Tàu,gas,499.0,operational,TBKHH Phú Mỹ 2.1
TBKHH Phú Mỹ 2.1 MR,Bà Rịa-Vũng Tàu,gas,450.0,operational,TBKHH Phú Mỹ 2.1 MR
TBKHH Phú Mỹ 2.2,Bà Rịa-Vũng Tàu,gas,740.0,operational,TBKHH Phú Mỹ 2.2
TBKHH Phú Mỹ 3,Bà Rịa-Vũng Tàu,gas,740.0,operational,TBKHH Phú Mỹ 3
TBKHH Phú Mỹ 4,Bà Rịa-Vũng Tàu,gas,468.0,operational,TBKHH Phú Mỹ 4
TBKHH Quảng Trị (khí Báo Vàng),Quảng Trị,gas,340.0,planned,TBKHH Quảng Trị (khí Báo Vàng)
TBKHH miền Trung I,Quảng Nam,gas,750.0,planned,TBKHH miền Trung I
TBKHH miền Trung II,Quảng Nam,gas,750.0,planned,TBKHH miền Trung II
TBKHH Ô Môn I,Cần Thơ,gas,660.0,proposed,TBKHH Ô Môn I
TBKHH Ô Môn II,Cần Thơ,gas,1050.0,planned,TBKHH Ô Môn II
TBKHH Ô Môn III,Cần Thơ,gas,1050.0,planned,TBKHH Ô Môn III
TBKHH Ô Môn IV,Cần Thơ,gas,1050.0,constructing,TBKHH Ô Môn IV
Thang Long,Quảng Ninh,coal,600.0,operational,"Thang Long Unit 1, Thang Long Unit 2"
Thái Bình 1,Thái Bình,coal,600.0,operational,"Thái Bình 1 Unit 1, Thái Bình 1 Unit 2"
Thái Bình 2,Thái Bình,coal,1200.0,operational,"Thái Bình 2 Unit 1, Thái Bình 2 Unit 2"
Tân Phước 1,Tiền Giang,gas,1200.0,proposed,"Tân Phước 1 Unit 1, Tân Phước 1 Unit 2"
Tân Phước 2,Tiền Giang,gas,1200.0,proposed,"Tân Phước 2 Unit 1, Tân Phước 2 Unit 2"
Uong Bi I,Quảng Ninh,coal,105.0,retired,"Uong Bi I Unit 1, Uong Bi I Unit 2"
Uong Bi I extension,Quảng Ninh,coal,300.0,operational,Uong Bi I extension
Uong Bi II extension,Quảng Ninh,coal,330.0,operational,Uong Bi II extension
Vedan Vietnam Cogeneration power station,Đồng Nai,coal,60.0,operational,Vedan Vietnam Cogeneration power station
Vinh Tan 1,Bình Thuận,coal,1200.0,operational,"Vinh Tan 1 Unit 1, Vinh Tan 1 Unit 2"
Vinh Tan 2,Bình Thuận,coal,1244.0,operational,"Vinh Tan 2 Unit 1, Vinh Tan 2 Unit 2"
Vinh Tan 3,Bình Thuận,coal,1980.0,planned,"Vinh Tan 3 Unit 1, Vinh Tan 3 Unit 2, Vinh Tan 3 Unit 3"
Vinh Tan 4,Bình Thuận,coal,1200.0,operational,"Vinh Tan 4 Unit 1, Vinh Tan 4 Unit 2"
Vinh Tan 4 extension,Bình Thuận,coal,600.0,operational,Vinh Tan 4 extension
Vung Ang 1,Hà Tĩnh,coal,1200.0,operational,"Vung Ang 1 Unit 1, Vung Ang 1 Unit 2"
Vung Ang 2,Hà Tĩnh,coal,1330.0,constructing,"Vung Ang 2 Unit 1, Vung Ang 2 Unit 2"
Vung Ang 3,Hà Tĩnh,coal,2400.0,cancelled,"Vung Ang 3 Unit 1, Vung Ang 3 Unit 2, Vung Ang 3 Unit 3, Vung Ang 3 Unit 4"
Vân Phong 1,Khánh Hòa,coal,1432.0,constructing,"Vân Phong 1 Unit 1, Vân Phong 1 Unit 2"
