name,province,fuel,capacity_mwe,status,units_included,level,ires_code,ires_label,isic_code,pypsa_carrier
LNG Cà Ná,Ninh Thuan,gas,1500,3 added to PDP,LNG Cà Ná,plant,0311,Natural gas,D3510,CCGT
LNG Cà Ná II,Ninh Thuan,gas,2250,2 proposed,LNG Cà Ná II,plant,0311,Natural gas,D3510,CCGT
LNG Cà Ná III,Ninh Thuan,gas,2250,2 proposed,LNG Cà Ná III,plant,0311,Natural gas,D3510,CCGT
LNG Cái Mép Hạ,Bà Rịa-Vũng Tàu,gas,6000,2 proposed,LNG Cái Mép Hạ,plant,0311,Natural gas,D3510,CCGT
LNG Hiệp Phước (phase I),TP HCM,gas,1200,5 construction,LNG Hiệp Phước (phase I),plant,0311,Natural gas,D3510,CCGT
LNG Hiệp Phước (phase II),TP HCM,gas,1500,1 announced,LNG Hiệp Phước (phase II),plant,0311,Natural gas,D3510,CCGT
LNG Hà Tĩnh,Hà Tĩnh,gas,6000,2 proposed,LNG Hà Tĩnh,plant,0311,Natural gas,D3510,CCGT
LNG Hải Lăng (1),Quảng Trị,gas,1500,5 construction,LNG Hải Lăng (1),plant,0311,Natural gas,D3510,CCGT
LNG Hải Lăng 2,Quảng Trị,gas,2250,2 proposed,LNG Hải Lăng 2,plant,0311,Natural gas,D3510,CCGT
LNG Hải Lăng 3,Quảng Trị,gas,2250,2 proposed,LNG Hải Lăng 3,plant,0311,Natural gas,D3510,CCGT
LNG Hải Phòng 1 (Tiên Lãng),Hải Phòng,gas,4500,2 proposed,LNG Hải Phòng 1 (Tiên Lãng),plant,0311,Natural gas,D3510,CCGT
LNG Hải Phòng 2 (Cát Hải),Hải Phòng,gas,1600,2 proposed,LNG Hải Phòng 2 (Cát Hải),plant,0311,Natural gas,D3510,CCGT
LNG Hải Phòng 3 (Cát Hải),Hải Phòng,gas,4500,2 proposed,LNG Hải Phòng 3 (Cát Hải),plant,0311,Natural gas,D3510,CCGT
LNG Hải Phòng 4 (Đồ Sơn),Hải Phòng,gas,4500,2 proposed,LNG Hải Phòng 4 (Đồ Sơn),plant,0311,Natural gas,D3510,CCGT
LNG Long An I,Long An,gas,1500,3 added to PDP,LNG Long An I,plant,0311,Natural gas,D3510,CCGT
LNG Long An I phase 2,Long An,gas,1500,1 announced,LNG Long An I phase 2,plant,0311,Natural gas,D3510,CCGT
LNG Long An II,Long An,gas,1500,3 added to PDP,LNG Long An II,plant,0311,Natural gas,D3510,CCGT
LNG Long An II phase 2,Long An,gas,1500,1 announced,LNG Long An II phase 2,plant,0311,Natural gas,D3510,CCGT
LNG Long Sơn (I),Bà Rịa-Vũng Tàu,gas,1200,3 added to PDP,LNG Long Sơn (I),plant,0311,Natural gas,D3510,CCGT
LNG Long Sơn II,Bà Rịa-Vũng Tàu,gas,1600,2 proposed,LNG Long Sơn II,plant,0311,Natural gas,D3510,CCGT
LNG Long Sơn III,Bà Rịa-Vũng Tàu,gas,1600,2 proposed,LNG Long Sơn III,plant,0311,Natural gas,D3510,CCGT
LNG Long Sơn IV (địa điểm Tây),Bà Rịa-Vũng Tàu,gas,3600,2 proposed,LNG Long Sơn IV (địa điểm Tây),plant,0311,Natural gas,D3510,CCGT
LNG Mũi Kê Gà 1,Bình Thuận,gas,1200,2 proposed,LNG Mũi Kê Gà 1,plant,0311,Natural gas,D3510,CCGT
LNG Mũi Kê Gà 2,Bình Thuận,gas,1200,1 announced,LNG Mũi Kê Gà 2,plant,0311,Natural gas,D3510,CCGT
LNG Mũi Kê Gà 3,Bình Thuận,gas,1200,1 announced,LNG Mũi Kê Gà 3,plant,0311,Natural gas,D3510,CCGT
LNG Mỹ Giang,Khánh Hòa,gas,6000,2 proposed,LNG Mỹ Giang,plant,0311,Natural gas,D3510,CCGT
LNG Nghi Sơn (Thanh Hóa),Thanh Hóa,gas,5000,2 proposed,LNG Nghi Sơn (Thanh Hóa),plant,0311,Natural gas,D3510,CCGT
LNG Nhơn Trạch 3,Đồng Nai,gas,750,5 construction,LNG Nhơn Trạch 3,plant,0311,Natural gas,D3510,CCGT
LNG Nhơn Trạch 4,Đồng Nai,gas,750,5 construction,LNG Nhơn Trạch 4,plant,0311,Natural gas,D3510,CCGT
LNG Núi Thành (Quảng Nam),Quảng Nam,gas,3200,2 proposed,LNG Núi Thành (Quảng Nam),plant,0311,Natural gas,D3510,CCGT
LNG Phong Điền – Huế,Huế,gas,3000,2 proposed,LNG Phong Điền – Huế,plant,0311,Natural gas,D3510,CCGT
LNG Phú Mỹ 3.1,Bà Rịa-Vũng Tàu,gas,850,2 proposed,LNG Phú Mỹ 3.1,plant,0311,Natural gas,D3510,CCGT
LNG Quảng Bình,Quảng Bình,gas,3000,2 proposed,LNG Quảng Bình,plant,0311,Natural gas,D3510,CCGT
LNG Quảng Nam,Quảng Nam,gas,4000,2 proposed,LNG Quảng Nam,plant,0311,Natural gas,D3510,CCGT
LNG Quảng Ninh 1 (Cẩm Phả),Quảng Ninh,gas,1500,5 construction,LNG Quảng Ninh 1 (Cẩm Phả),plant,0311,Natural gas,D3510,CCGT
LNG Quảng Ninh 2 (Cẩm Phả),Quảng Ninh,gas,1500,2 proposed,LNG Quảng Ninh 2 (Cẩm Phả),plant,0311,Natural gas,D3510,CCGT
LNG Quảng Ninh 3 (Quảng Yên),Quảng Ninh,gas,4500,2 proposed,LNG Quảng Ninh 3 (Quảng Yên),plant,0311,Natural gas,D3510,CCGT
LNG Quảng Ninh 4 (Hải Hà),Quảng Ninh,gas,3000,2 proposed,LNG Quảng Ninh 4 (Hải Hà),plant,0311,Natural gas,D3510,CCGT
LNG Quảng Trạch 2,Quảng Bình,gas,1500,2 proposed,LNG Quảng Trạch 2,plant,0311,Natural gas,D3510,CCGT
LNG Quỳnh Lập,Nghệ An,gas,1500,2 proposed,LNG Quỳnh Lập,plant,0311,Natural gas,D3510,CCGT
LNG Sông Đốc (Cà Mau),Cà Mau,gas,3000,2 proposed,LNG Sông Đốc (Cà Mau),plant,0311,Natural gas,D3510,CCGT
LNG Sơn Mỹ I,Bình Thuận,gas,2250,3 added to PDP,LNG Sơn Mỹ I,plant,0311,Natural gas,D3510,CCGT
LNG Sơn Mỹ II,Bình Thuận,gas,2250,3 added to PDP,LNG Sơn Mỹ II,plant,0311,Natural gas,D3510,CCGT
LNG Thái Bình,Thái Bình,gas,4500,2 proposed,LNG Thái Bình,plant,0311,Natural gas,D3510,CCGT
LNG Tân Phước,Tiền Giang,gas,4500,2 proposed,LNG Tân Phước,plant,0311,Natural gas,D3510,CCGT
"LNG Tân Thuận – Đầm Dơi, Cà Mau",Cà Mau,gas,3200,2 proposed,"LNG Tân Thuận – Đầm Dơi, Cà Mau",plant,0311,Natural gas,D3510,CCGT
LNG Vân Phong (J-Power),Khánh Hòa,gas,3000,1 announced,LNG Vân Phong (J-Power),plant,0311,Natural gas,D3510,CCGT
LNG Vân Phong (Mỹ Giang) phase 1,Khánh Hòa,gas,3000,2 proposed,LNG Vân Phong (Mỹ Giang) phase 1,plant,0311,Natural gas,D3510,CCGT
LNG Vân Phong (Mỹ Giang) phase 2,Khánh Hòa,gas,3000,1 announced,LNG Vân Phong (Mỹ Giang) phase 2,plant,0311,Natural gas,D3510,CCGT
LNG miền Nam,"Hiệp Phước 2, Bến Tre, Mũi Kê Gà, Cà Mau,",gas,1500,0 exploring,LNG miền Nam,plant,0311,Natural gas,D3510,CCGT
Lee & Man,Hau Giang,coal,125,6 operating,"Lee & Man Unit 1, Lee & Man Unit 2",plant,0121,Hard coal,D3510,coal
Long An 2,Long An,coal,1600,9 cancelled,"Long An 2 Unit 1, Long An 2 Unit 2",plant,0121,Hard coal,D3510,coal
Long An 1,Long An,coal,1200,1 announced,"Long An 1 Unit 1, Long An 1 Unit 2",plant,0121,Hard coal,D3510,coal
Long Phú 1,Soc Trang,coal,1200,5 construction,"Long Phú 1 Unit 1, Long Phú 1 Unit 2",plant,0121,Hard coal,D3510,coal
Long Phú 2,Soc Trang,coal,1320,9 cancelled,"Long Phú 2 Unit 1, Long Phú 2 Unit 2",plant,0121,Hard coal,D3510,coal
Long Phú 3,Soc Trang,coal,1800,9 cancelled,"Long Phú 3 Unit 1, Long Phú 3 Unit 2, Long Phú 3 Unit 3",plant,0121,Hard coal,D3510,coal
Long Son Chemical,,coal,225,9 cancelled,"Long Son Chemical Unit 1, Long Son Chemical Unit 2, Long Son Chemical Unit 3",plant,0121,Hard coal,D3510,coal
Luc Nam,,coal,50,9 cancelled,Luc Nam Unit 1,plant,0121,Hard coal,D3510,coal
Mao Khe,Quảng Ninh,coal,440,6 operating,"Mao Khe Unit 1, Mao Khe Unit 2",plant,0121,Hard coal,D3510,coal
Mong Duong 1,Quảng Ninh,coal,1080,6 operating,"Mong Duong 1 Unit 1, Mong Duong 1 Unit 2",plant,0121,Hard coal,D3510,coal
Mong Duong 2,Quảng Ninh,coal,1240,6 operating,"Mong Duong 2 Unit 1, Mong Duong 2 Unit 2",plant,0121,Hard coal,D3510,coal
Na Dương 1,Lang Son,coal,110,6 operating,"Na Dương 1 Unit 1, Na Dương 1 Unit 2",plant,0121,Hard coal,D3510,coal
Na Dương 2,Lang Son,coal,110,6 operating,Na Dương 2,plant,0121,Hard coal,D3510,coal
Nam Dinh 1,Nam Dinh,coal,1200,4 permitted,"Nam Dinh 1 Unit 1, Nam Dinh 1 Unit 2",plant,0121,Hard coal,D3510,coal
Nghi Son 1,Thanh Hóa,coal,600,6 operating,"Nghi Son 1 Unit 1, Nghi Son 1 Unit 2",plant,0121,Hard coal,D3510,coal
Nghi Son 2,Thanh Hóa,coal,1200,6 operating,"Nghi Son 2 Unit 1, Nghi Son 2 Unit 2",plant,0121,Hard coal,D3510,coal
Ninh Binh,Ninh Binh,coal,100,10 retired,"Ninh Binh Unit 1, Ninh Binh Unit 2, Ninh Binh Unit 3, Ninh Binh Unit 4",plant,0121,Hard coal,D3510,coal
Ninh Thuan Novatek project,Ninh Thuan,gas,4500,1 announced,Ninh Thuan Novatek project,plant,0311,Natural gas,D3510,CCGT
Nong Son 1,Quảng Nam,coal,30,6 operating,Nong Son 1,plant,0121,Hard coal,D3510,coal
NĐ Cần Thơ,Cần Thơ,gas/oil,165,6 operating,NĐ Cần Thơ,plant,0311,Natural gas,D3510,CCGT
NĐ Hiệp Phước,TP HCM,gas/oil,310,6 operating,NĐ Hiệp Phước,plant,0311,Natural gas,D3510,CCGT
NĐ LNG miền Bắc,"Thái Bình, Nam Định, Nghi Sơn, Thanh Hóa",gas,0,0 exploring,NĐ LNG miền Bắc,plant,0311,Natural gas,D3510,CCGT
NĐ Miền Bắc 1,,coal,0,9 cancelled,NĐ Miền Bắc 1,plant,0121,Hard coal,D3510,coal
NĐ Miền Bắc 2,,coal,0,9 cancelled,NĐ Miền Bắc 2,plant,0121,Hard coal,D3510,coal
NĐ Miền Bắc 3,,coal,0,9 cancelled,NĐ Miền Bắc 3,plant,0121,Hard coal,D3510,coal
NĐ Thủ Đức,TP HCM,gas,290,6 operating,NĐ Thủ Đức,plant,0311,Natural gas,D3510,CCGT
NĐ khí dư Hòa Phát II,,coal,300,1 announced,NĐ khí dư Hòa Phát II,plant,0121,Hard coal,D3510,coal
NĐ Ô Môn I,Cần Thơ,gas/oil,660,6 operating,"NĐ Ô Môn I Unit 1, NĐ Ô Môn I Unit 2",plant,0311,Natural gas,D3510,CCGT
Phả Lại 1,Hai Duong,coal,440,6 operating,"Phả Lại 1 Unit 1, Phả Lại 1 Unit 2, Phả Lại 1 Unit 3, Phả Lại 1 Unit 4",plant,0121,Hard coal,D3510,coal
Phả Lại 2,Hai Duong,coal,600,6 operating,"Phả Lại 2 Unit 1, Phả Lại 2 Unit 2",plant,0121,Hard coal,D3510,coal
Phả Lại 3,Hai Duong,coal,660,9 cancelled,Phả Lại 3,plant,0121,Hard coal,D3510,coal
Quang Ninh 1,Quảng Ninh,coal,600,6 operating,"Quang Ninh 1 Unit 1, Quang Ninh 1 Unit 2",plant,0121,Hard coal,D3510,coal
Quang Ninh 2,Quảng Ninh,coal,600,6 operating,"Quang Ninh 2 Unit 1, Quang Ninh 2 Unit 2",plant,0121,Hard coal,D3510,coal
Quang Ninh 3,Quảng Ninh,coal,1200,1 announced,"Quang Ninh 3 Unit 1, Quang Ninh 3 Unit 2",plant,0121,Hard coal,D3510,coal
Quảng Trạch 1,Quảng Bình,coal,1400,5 construction,"Quảng Trạch 1 Unit 1, Quảng Trạch 1 Unit 2",plant,0121,Hard coal,D3510,coal
Quảng Trạch 2,Quảng Bình,coal,1200,9 cancelled,"Quảng Trạch 2 Unit 1, Quảng Trạch 2 Unit 2",plant,0121,Hard coal,D3510,coal
Quảng Trị 1,Quảng Trị,coal,1320,9 cancelled,"Quảng Trị 1 Unit 1, Quảng Trị 1 Unit 2",plant,0121,Hard coal,D3510,coal
Quảng Trị 2,Quảng Trị,coal,1200,4 permitted,"Quảng Trị 2 Unit 1, Quảng Trị 2 Unit 2",plant,0121,Hard coal,D3510,coal
Quảng Trị – Huế area,Quảng Trị,gas,4000,0 exploring,Quảng Trị – Huế area,plant,0311,Natural gas,D3510,CCGT
Quỳnh Lập 1,Nghệ An,coal,1200,9 cancelled,"Quỳnh Lập 1 Unit 1, Quỳnh Lập 1 Unit 2",plant,0121,Hard coal,D3510,coal
Quỳnh Lập 2,Nghệ An,coal,1200,9 cancelled,"Quỳnh Lập 2 Unit 1, Quỳnh Lập 2 Unit 2",plant,0121,Hard coal,D3510,coal
Rang Dong cogeneration,,coal,100,1 announced,Rang Dong cogeneration,plant,0121,Hard coal,D3510,coal
Son Dong,Bac Giang,coal,220,6 operating,"Son Dong Unit 1, Son Dong Unit 2",plant,0121,Hard coal,D3510,coal
Sông Hậu 1,Hau Giang,coal,1200,6 operating,"Sông Hậu 1 Unit 1, Sông Hậu 1 Unit 2",plant,0121,Hard coal,D3510,coal
Sông Hậu 2,Hau Giang,coal,2000,4 permitted,"Sông Hậu 2 Unit 1, Sông Hậu 2 Unit 2",plant,0121,Hard coal,D3510,coal
TBKHH Bà Rịa 1,Bà Rịa-Vũng Tàu,gas,169,6 operating,TBKHH Bà Rịa 1,plant,0311,Natural gas,D3510,CCGT
TBKHH Bà Rịa 2,Bà Rịa-Vũng Tàu,gas,175,6 operating,TBKHH Bà Rịa 2,plant,0311,Natural gas,D3510,CCGT
TBKHH Dung Quất I,Quảng Ngãi,gas,750,3 added to PDP,TBKHH Dung Quất I,plant,0311,Natural gas,D3510,CCGT
TBKHH Dung Quất II,Quảng Ngãi,gas,750,3 added to PDP,TBKHH Dung Quất II,plant,0311,Natural gas,D3510,CCGT
TBKHH Dung Quất III,Quảng Ngãi,gas,750,3 added to PDP,TBKHH Dung Quất III,plant,0311,Natural gas,D3510,CCGT
"TBKHH Kiên Giang I, II",Kiên Giang,gas,1500,3 added to PDP,"TBKHH Kiên Giang I, II",plant,0311,Natural gas,D3510,CCGT
TBKHH Nhơn Trạch I,Đồng Nai,gas,465,6 operating,TBKHH Nhơn Trạch I,plant,0311,Natural gas,D3510,CCGT
TBKHH Nhơn Trạch II,Đồng Nai,gas,750,6 operating,TBKHH Nhơn Trạch II,plant,0311,Natural gas,D3510,CCGT
TBKHH Phú Mỹ 1,Bà Rịa-Vũng Tàu,gas,1140,6 operating,TBKHH Phú Mỹ 1,plant,0311,Natural gas,D3510,CCGT
TBKHH Phú Mỹ 2.1,Bà Rịa-Vũng Tàu,gas,499,6 operating,TBKHH Phú Mỹ 2.1,plant,0311,Natural gas,D3510,CCGT
TBKHH Phú Mỹ 2.1 MR,Bà Rịa-Vũng Tàu,gas,450,6 operating,TBKHH Phú Mỹ 2.1 MR,plant,0311,Natural gas,D3510,CCGT
TBKHH Phú Mỹ 2.2,Bà Rịa-Vũng Tàu,gas,740,6 operating,TBKHH Phú Mỹ 2.2,plant,0311,Natural gas,D3510,CCGT
TBKHH Phú Mỹ 3,Bà Rịa-Vũng Tàu,gas,740,6 operating,TBKHH Phú Mỹ 3,plant,0311,Natural gas,D3510,CCGT
TBKHH Phú Mỹ 4,Bà Rịa-Vũng Tàu,gas,468,6 operating,TBKHH Phú Mỹ 4,plant,0311,Natural gas,D3510,CCGT
TBKHH Quảng Trị (khí Báo Vàng),Quảng Trị,gas,340,3 added to PDP,TBKHH Quảng Trị (khí Báo Vàng),plant,0311,Natural gas,D3510,CCGT
TBKHH miền Trung I,Quảng Nam,gas,750,3 added to PDP,TBKHH miền Trung I,plant,0311,Natural gas,D3510,CCGT
TBKHH miền Trung II,Quảng Nam,gas,750,3 added to PDP,TBKHH miền Trung II,plant,0311,Natural gas,D3510,CCGT
TBKHH Ô Môn I,Cần Thơ,gas,660,0 exploring,TBKHH Ô Môn I,plant,0311,Natural gas,D3510,CCGT
TBKHH Ô Môn II,Cần Thơ,gas,1050,3 added to PDP,TBKHH Ô Môn II,plant,0311,Natural gas,D3510,CCGT
TBKHH Ô Môn III,Cần Thơ,gas,1050,3 added to PDP,TBKHH Ô Môn III,plant,0311,Natural gas,D3510,CCGT
TBKHH Ô Môn IV,Cần Thơ,gas,1050,5 construction,TBKHH Ô Môn IV,plant,0311,Natural gas,D3510,CCGT
Thang Long,Quảng Ninh,coal,600,6 operating,"Thang Long Unit 1, Thang Long Unit 2",plant,0121,Hard coal,D3510,coal
Thái Bình 1,Thái Bình,coal,600,6 operating,"Thái Bình 1 Unit 1, Thái Bình 1 Unit 2",plant,0121,Hard coal,D3510,coal
Thái Bình 2,Thái Bình,coal,1200,6 operating,"Thái Bình 2 Unit 1, Thái Bình 2 Unit 2",plant,0121,Hard coal,D3510,coal
Tân Phước 1,Tiền Giang,gas,1200,1 announced,"Tân Phước 1 Unit 1, Tân Phước 1 Unit 2",plant,0311,Natural gas,D3510,CCGT
Tân Phước 2,Tiền Giang,gas,1200,1 announced,"Tân Phước 2 Unit 1, Tân Phước 2 Unit 2",plant,0311,Natural gas,D3510,CCGT
Uong Bi I,Quảng Ninh,coal,405,6 operating,"Uong Bi I Unit 1, Uong Bi I Unit 2, Uong Bi I extension",plant,0121,Hard coal,D3510,coal
Uong Bi II,Quảng Ninh,coal,330,6 operating,Uong Bi II extension,plant,0121,Hard coal,D3510,coal
Vedan Vietnam Cogeneration power station,Đồng Nai,coal,60,6 operating,Vedan Vietnam Cogeneration power station,plant,0121,Hard coal,D3510,coal
Vinh Tan 1,Bình Thuận,coal,1200,6 operating,"Vinh Tan 1 Unit 1, Vinh Tan 1 Unit 2",plant,0121,Hard coal,D3510,coal
Vinh Tan 2,Bình Thuận,coal,1244,6 operating,"Vinh Tan 2 Unit 1, Vinh Tan 2 Unit 2",plant,0121,Hard coal,D3510,coal
Vinh Tan 3,Bình Thuận,coal,1980,4 permitted,"Vinh Tan 3 Unit 1, Vinh Tan 3 Unit 2, Vinh Tan 3 Unit 3",plant,0121,Hard coal,D3510,coal
Vinh Tan 4,Bình Thuận,coal,1800,6 operating,"Vinh Tan 4 Unit 1, Vinh Tan 4 Unit 2, Vinh Tan 4 extension",plant,0121,Hard coal,D3510,coal
Vung Ang 1,Hà Tĩnh,coal,1200,6 operating,"Vung Ang 1 Unit 1, Vung Ang 1 Unit 2",plant,0121,Hard coal,D3510,coal
Vung Ang 2,Hà Tĩnh,coal,1330,5 construction,"Vung Ang 2 Unit 1, Vung Ang 2 Unit 2",plant,0121,Hard coal,D3510,coal
Vung Ang 3,Hà Tĩnh,coal,2400,9 cancelled,"Vung Ang 3 Unit 1, Vung Ang 3 Unit 2, Vung Ang 3 Unit 3, Vung Ang 3 Unit 4",plant,0121,Hard coal,D3510,coal
Vân Phong 1,Khánh Hòa,coal,1432,5 construction,"Vân Phong 1 Unit 1, Vân Phong 1 Unit 2",plant,0121,Hard coal,D3510,coal
