Name,Province,Fuel,Capacity,Status,Aggregated Units,ires_code,ires_label,isic_code,pypsa_carrier
Hai Phong Phase II,Hai Phong,Coal,600.0,operating,"Phase II Unit 3, Phase II Unit 4",0121,Hard coal,D3510,coal
Hai Phong Phase III,Hai Phong,Coal,2400.0,cancelled,"Phase III Unit 1, Phase III Unit 2, Phase III Unit 3, Phase III Unit 4",0121,Hard coal,D3510,coal
Hau Giang Lee & Man,Hau Giang,Coal,125.0,operating,"Unit 1, Unit 2",0121,Hard coal,D3510,coal
Hiep Phuoc,Ho Chi Minh City,gas,260.0,construction,1-4,0311,Natural gas,D3510,CCGT
Hiep Phuoc,Ho Chi Minh City,gas,260.0,construction,1-5,0311,Natural gas,D3510,CCGT
Hiep Phuoc,Ho Chi Minh City,gas,260.0,construction,1-6,0311,Natural gas,D3510,CCGT
Hiep Phuoc,Ho Chi Minh City,gas,125.0,operating,1-1,0311,Natural gas,D3510,CCGT
Hiep Phuoc,Ho Chi Minh City,gas,125.0,operating,1-2,0311,Natural gas,D3510,CCGT
Hiep Phuoc,Ho Chi Minh City,gas,125.0,operating,1-3,0311,Natural gas,D3510,CCGT
Hoa Dau Long Son,Vung Tau,Coal,225.0,cancelled,"Unit 1, Unit 2, Unit 3",0121,Hard coal,D3510,coal
Hon Chong,Kien Giang,Coal,1000.0,cancelled,--,0121,Hard coal,D3510,coal
Ka Ga,Bình Thuận,gas,3600.0,announced,1,0311,Natural gas,D3510,CCGT
Kien Giang,Kiên Giang,gas,1500.0,cancelled,"1, 2",0311,Natural gas,D3510,CCGT
Kien Luong Phase 1,Kien Giang,Coal,1200.0,cancelled,"Phase 1 Unit 1, Phase 1 Unit 2",0121,Hard coal,D3510,coal
Kien Luong Phase 2,Kien Giang,Coal,1200.0,cancelled,"Phase 2 Unit 1, Phase 2 Unit 2",0121,Hard coal,D3510,coal
Kien Luong Phase 3,Kien Giang,Coal,2000.0,cancelled,"Phase 3 Unit 1, Phase 3 Unit 2",0121,Hard coal,D3510,coal
Long An,Long An,gas,3000.0,announced,"1, 2",0311,Natural gas,D3510,CCGT
Long An Phase I,Long An,Coal,1200.0,cancelled,"Phase I Unit 1, Phase I Unit 2",0121,Hard coal,D3510,coal
Long An Phase II,Long An,Coal,1600.0,cancelled,"Phase II Unit 1, Phase II Unit 2",0121,Hard coal,D3510,coal
Long Phu,Soc Trang,Coal,3120.0,cancelled,"Unit 2-1, Unit 2-2, Unit 3-1, Unit 3-2, Unit 3-3",0121,Hard coal,D3510,coal
Long Phu,Soc Trang,Coal,1200.0,construction,"Unit 1-1, Unit 1-2",0121,Hard coal,D3510,coal
Long Son,Ba Ria - Vung Tau,gas,1500.0,announced,"CC1, CC2",0311,Natural gas,D3510,CCGT
Long Son,Ba Ria - Vung Tau,gas,2400.0,cancelled,"CC3, CC4, CC5, CC6",0311,Natural gas,D3510,CCGT
Mao Khe,Quang Ninh,Coal,440.0,operating,"Unit 1, Unit 2",0121,Hard coal,D3510,coal
Mien Bac,Unknown,Coal,2000.0,cancelled,--,0121,Hard coal,D3510,coal
Mien Trung,Quang Nam,gas,1500.0,announced,"1, 2",0311,Natural gas,D3510,CCGT
Millenium,Khanh Hoa,gas,9600.0,announced,"1, 2",0311,Natural gas,D3510,CCGT
Mong Duong Phase 1,Quang Ninh,Coal,1080.0,operating,"Phase 1 Unit 1, Phase 1 Unit 2",0121,Hard coal,D3510,coal
Mong Duong Phase 2,Quang Ninh,Coal,1240.0,operating,"Phase 2 Unit 1, Phase 2 Unit 2",0121,Hard coal,D3510,coal
My Giang,Đắk Lắk,gas,6000.0,cancelled,"1, 2, 3, 4",0311,Natural gas,D3510,CCGT
Na Duong Phase 1,Lang Son,Coal,100.0,operating,"Phase 1 Unit 1, Phase 1 Unit 2",0121,Hard coal,D3510,coal
Na Duong Phase 2,Lang Son,Coal,110.0,construction,Phase 2 Unit 1,0121,Hard coal,D3510,coal
Nam Dinh,Nam Dinh,gas,2400.0,announced,"1, 2, 3, 4",0311,Natural gas,D3510,CCGT
Nam Dinh Phase 1,Nam Dinh,Coal,1200.0,shelved,"Phase 1 Unit 1, Phase 1 Unit 2",0121,Hard coal,D3510,coal
Nam Dinh Phase 2,Nam Dinh,Coal,1200.0,cancelled,"Phase 2 Unit 1, Phase 2 Unit 2",0121,Hard coal,D3510,coal
Nghi Son,Thanh Hóa,gas,3200.0,cancelled,"3, 4, 5, 6",0311,Natural gas,D3510,CCGT
Nghi Son,Thanh Hóa,gas,1500.0,pre-construction,"1, 2",0311,Natural gas,D3510,CCGT
Nghi Son Phase 1,Thanh Hoa,Coal,600.0,operating,"Phase 1 Unit 1, Phase 1 Unit 2",0121,Hard coal,D3510,coal
Nghi Son Phase 2,Thanh Hoa,Coal,1320.0,operating,"Phase 2 Unit 1, Phase 2 Unit 2",0121,Hard coal,D3510,coal
Nhon Hoi,Binh Dinh,gas,700.0,cancelled,1,0311,Natural gas,D3510,CCGT
Nhon Trach,Dong Nai,gas,1624.0,construction,"3, 4",0311,Natural gas,D3510,CCGT
Nhon Trach,Dong Nai,gas,1215.0,operating,"1, 2",0311,Natural gas,D3510,CCGT
Nhon Trach Formosa,Dong Nai,Coal,450.0,operating,"Unit 1, Unit 2, Unit 3",0121,Hard coal,D3510,coal
Ninh Binh,Ninh Binh,Coal,330.0,cancelled,Unit 5,0121,Hard coal,D3510,coal
Nong Son,Quang Nam,Coal,30.0,operating,--,0121,Hard coal,D3510,coal
O Mon,Can Tho,gas/oil,330.0,operating,1-1,0311,Natural gas,D3510,CCGT
O Mon,Can Tho,gas/oil,330.0,operating,1-2,0311,Natural gas,D3510,CCGT
O Mon,Can Tho,gas,3150.0,pre-construction,"2, 3, 4",0311,Natural gas,D3510,CCGT
One Asia Quang Tri,Quang Tri,gas,1200.0,cancelled - inferred 4 y,1,0311,Natural gas,D3510,CCGT
Pha Lai Phase I,Hai Duong,Coal,440.0,operating,"Phase I Unit 1, Phase I Unit 2, Phase I Unit 3, Phase I Unit 4",0121,Hard coal,D3510,coal
Pha Lai Phase II,Hai Duong,Coal,600.0,operating,"Phase II Unit 1, Phase II Unit 2",0121,Hard coal,D3510,coal
Pha Lai Phase III,Hai Duong,Coal,660.0,cancelled,Phase III,0121,Hard coal,D3510,coal
Phu My 1,Ba Ria - Vung Tau,gas,1118.0,operating,1,0311,Natural gas,D3510,CCGT
Phu My 2.1,Ba Ria - Vung Tau,gas,946.0,operating,"1, 2",0311,Natural gas,D3510,CCGT
Phu My 2.2,Ba Ria - Vung Tau,gas,733.0,operating,1,0311,Natural gas,D3510,CCGT
Phu My 3,Ba Ria - Vung Tau,gas,733.0,operating,1,0311,Natural gas,D3510,CCGT
Phu My 3.1,Ba Ria - Vung Tau,gas,850.0,cancelled,1,0311,Natural gas,D3510,CCGT
Phu My 4,Ba Ria - Vung Tau,gas,477.0,operating,1,0311,Natural gas,D3510,CCGT
Phu Tho,Phu Tho,Coal,600.0,cancelled,--,0121,Hard coal,D3510,coal
Phu Yen,Phu Yen,Coal,2400.0,cancelled,"Unit 1, Unit 2, Unit 3, Unit 4",0121,Hard coal,D3510,coal
Quang Ninh,Quang Ninh,gas,1500.0,pre-construction,1,0311,Natural gas,D3510,CCGT
Quang Ninh Phase 1,Quang Ninh,Coal,600.0,operating,"Phase 1 Unit 1, Phase 1 Unit 2",0121,Hard coal,D3510,coal
Quang Ninh Phase 2,Quang Ninh,Coal,600.0,operating,"Phase 2 Unit 1, Phase 2 Unit 2",0121,Hard coal,D3510,coal
Quang Ninh Phase 3,Quang Ninh,Coal,1200.0,cancelled,"Phase 3 Unit 1, Phase 3 Unit 2",0121,Hard coal,D3510,coal
Quang Trach,Quang Binh,Coal,1200.0,cancelled,"Unit 2-1, Unit 2-2",0121,Hard coal,D3510,coal
Quang Trach,Quang Binh,Coal,1403.0,construction,"Unit 1-1, Unit 1-2",0121,Hard coal,D3510,coal
Quang Trach,Quang Binh,gas,1500.0,pre-construction,2,0311,Natural gas,D3510,CCGT
Quang Tri,Quảng Trị,gas,340.0,announced,1,0311,Natural gas,D3510,CCGT
Quang Tri Phase 1,Quang Tri,Coal,1200.0,cancelled,"Phase 1 Unit 1, Phase 1 Unit 2",0121,Hard coal,D3510,coal
Quang Tri Phase 2,Quang Tri,Coal,1200.0,cancelled,"Phase 2 Unit 1, Phase 2 Unit 2",0121,Hard coal,D3510,coal
Quynh Lap,Nghe An,gas,1500.0,pre-construction,1,0311,Natural gas,D3510,CCGT
Quynh Lap Phase 1,Nghe An,Coal,1200.0,cancelled,"Phase 1 Unit 1, Phase 1 Unit 2",0121,Hard coal,D3510,coal
Quynh Lap Phase 2,Nghe An,Coal,1200.0,cancelled,"Phase 2 Unit 1, Phase 2 Unit 2",0121,Hard coal,D3510,coal
Rang Dong,Nam Dinh,Coal,100.0,cancelled,--,0121,Hard coal,D3510,coal
Son Dong,Bac Giang,Coal,220.0,operating,"Unit 1, Unit 2",0121,Hard coal,D3510,coal
Son My,Binh Thuan,Coal,3600.0,cancelled,"Unit 1, Unit 2, Unit 3, Unit 4, Unit 5, Unit 6",0121,Hard coal,D3510,coal
Son My I,Binh Thuan,gas,2250.0,pre-construction,1,0311,Natural gas,D3510,CCGT
Son My II,Binh Thuan,gas,2250.0,pre-construction,"1, 2, 3",0311,Natural gas,D3510,CCGT
Song Hau,Hau Giang,Coal,2000.0,cancelled,"Unit 3-1, Unit 3-2",0121,Hard coal,D3510,coal
Song Hau,Hau Giang,Coal,1200.0,operating,"Unit 1-1, Unit 1-2",0121,Hard coal,D3510,coal
Song Hau,Hau Giang,Coal,2000.0,permitted,"Unit 2-1, Unit 2-2",0121,Hard coal,D3510,coal
Tan Phuoc,Tien Giang,gas,3550.0,cancelled,"1, 2, 3, 4",0311,Natural gas,D3510,CCGT
Tan Phuoc Phase 1,Tien Giang,Coal,1200.0,cancelled,"Phase 1 Unit 1, Phase 1 Unit 2",0121,Hard coal,D3510,coal
Tan Phuoc Phase 2,Tien Giang,Coal,1200.0,cancelled,"Phase 2 Unit 1, Phase 2 Unit 2",0121,Hard coal,D3510,coal
Tan Thanh,Ba Ria-Vung Tau,Coal,2400.0,cancelled,"Unit 1, Unit 2, Unit 3, Unit 4",0121,Hard coal,D3510,coal
Thai Binh,Thai Binh,Coal,440.0,cancelled,Unit 3-1,0121,Hard coal,D3510,coal
Thai Binh,Thai Binh,gas,3000.0,cancelled,"3, 4, 5, 6",0311,Natural gas,D3510,CCGT
Thai Binh,Thai Binh,Coal,1800.0,operating,"Unit 1-1, Unit 1-2, Unit 2-1, Unit 2-2",0121,Hard coal,D3510,coal
Thai Binh,Thai Binh,gas,1500.0,pre-construction,"1, 2",0311,Natural gas,D3510,CCGT
Than An Giang,An Giang,Coal,2000.0,cancelled,--,0121,Hard coal,D3510,coal
Than Bac Lieu,Bac Lieu,Coal,1200.0,cancelled,"Unit 1, Unit 2",0121,Hard coal,D3510,coal
Thang Long,Quang Ninh,Coal,600.0,operating,"Unit 1, Unit 2",0121,Hard coal,D3510,coal
Thanh Hoa,Thanh Hóa,gas,4800.0,cancelled,"1, 2, 3, 4, 5, 6",0311,Natural gas,D3510,CCGT
Tien Lang,Hai Phong,gas,750.0,cancelled,1-1,0311,Natural gas,D3510,CCGT
Tien Lang,Hai Phong,gas,750.0,cancelled,1-2,0311,Natural gas,D3510,CCGT
Tien Lang,Hai Phong,gas,750.0,cancelled,2-1,0311,Natural gas,D3510,CCGT
Tien Lang,Hai Phong,gas,750.0,cancelled,2-2,0311,Natural gas,D3510,CCGT
Tien Lang,Hai Phong,gas,750.0,cancelled,3-1,0311,Natural gas,D3510,CCGT
Tien Lang,Hai Phong,gas,750.0,cancelled,3-2,0311,Natural gas,D3510,CCGT
Uong Bi,Quang Ninh,Coal,735.0,operating,"Unit 5, Unit 6, Unit 7, Unit 8",0121,Hard coal,D3510,coal
Van Phong,Khanh Hoa,gas,3000.0,cancelled,"1, 2",0311,Natural gas,D3510,CCGT
Van Phong Phase 1,Khanh Hoa,Coal,1432.0,operating,"Phase 1 Unit 1, Phase 1 Unit 2",0121,Hard coal,D3510,coal
Van Phong Phase 2,Khanh Hoa,Coal,1320.0,cancelled,"Phase 2 Unit 1, Phase 2 Unit 2",0121,Hard coal,D3510,coal
Vedan Vietnam,Dong Nai,Coal,60.0,operating,--,0121,Hard coal,D3510,coal
Vinh Tan Phase 1,Binh Thuan,Coal,1200.0,operating,"Phase 1 Unit 1, Phase 1 Unit 2",0121,Hard coal,D3510,coal
Vinh Tan Phase 2,Binh Thuan,Coal,1244.0,operating,"Phase 2 Unit 1, Phase 2 Unit 2",0121,Hard coal,D3510,coal
Vinh Tan Phase 3,Binh Thuan,Coal,1980.0,shelved,"Phase 3 Unit 1, Phase 3 Unit 2, Phase 3 Unit 3",0121,Hard coal,D3510,coal
Vinh Tan Phase 4,Binh Thuan,Coal,1200.0,operating,"Phase 4 Unit 1, Phase 4 Unit 2",0121,Hard coal,D3510,coal
Vinh Tan Phase 4,Binh Thuan,Coal,600.0,operating,Phase 4 extension,0121,Hard coal,D3510,coal
Vung Ang,Ha Tinh,gas,4800.0,cancelled,3-CC1,0311,Natural gas,D3510,CCGT
Vung Ang Phase 1,Ha Tinh,Coal,1200.0,operating,"Phase 1 Unit 1, Phase 1 Unit 2",0121,Hard coal,D3510,coal
Vung Ang Phase 2,Ha Tinh,Coal,1330.0,construction,"Phase 2 Unit 1, Phase 2 Unit 2",0121,Hard coal,D3510,coal
Vung Ang Phase 3,Ha Tinh,Coal,2400.0,cancelled,"Phase 3 Unit 1, Phase 3 Unit 2, Phase 3 Unit 3, Phase 3 Unit 4",0121,Hard coal,D3510,coal
