Name,Fuel,Status,COD,Province,Capacity,Sources
Thăng Long,Coal,Operational,2009,Quảng Ninh,620,[1]
Thủ Đức,Natural Gas,Retired,1966,Hồ Chí Minh,100,[1]
Thủ Đức Mở Rộng,Natural Gas,Retired,1990,Hồ Chí Minh,100,[1]
Tĩnh Gia,LNG,Planned,2029,Thanh Hóa,1500,[2][3]
Uông Bí,Coal,Operational,1975,Quảng Ninh,630,[1]
Uông Bí Mở Rộng,Coal,Operational,2012,Quảng Ninh,330,[1]
Vĩnh Tân 1,Coal,Operational,2019,Bình Thuận,1200,[1]
Vĩnh Tân 2,Coal,Operational,2014,Bình Thuận,1244,[1]
Vĩnh Tân 3,Coal,Operational,2022,Bình Thuận,1980,[1]
Vĩnh Tân 4,Coal,Operational,2017,Bình Thuận,1200,[1]
Vĩnh Tân 4 Mở Rộng,Coal,Operational,2019,Bình Thuận,600,[1]
Vũng Áng 1,Coal,Operational,2015,Hà Tĩnh,1200,[1]
Vũng Áng 2,Coal,Under Construction,2025,Hà Tĩnh,1200,[1][2]
Vũng Áng 3,LNG,Planned,2027,Hà Tĩnh,1500,[2][3]
