name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note,evidence_tier,has_url,status_code,final_url,entity_found,is_primary_pattern,identifier,fabrication_suspect,search_evidence,gem_match,gem_agrees
Hai Ha co-generation 3,coal,planned,2031-2035,Quang Ninh,600.0,PDP7A Annex I Table 2 (NĐ đồng phát Hải Hà 3 – 2x300MW – 2025),PDP8 Annex II Table 4 (NĐ đồng phát Hải Hà 3 – 600MW – 2031-2035),Deferred from 2025 to post-2030 in PDP8,4,False,,,False,True,PDP7,False,"vii Page 4-5 4-7 4-9 4-19 5-2 7-2 7-3 7-5 7-6 7-9 7-20 7-28 7-34 7-34 CHAPTER 1 PDP-7 SYSTEM DESCRIPTION PROGRAMMED DATA PROCESSOR-7 (PDP-7) is a general purpose, solid state, digital computer designe",,
Pha Lai 1,coal_domestic,operating,1983,Hai Duong,440.0,EVN Annual Report 2010-2011 p13 (PhaLai I 440MW EVN JSC),EVN Annual Report 2018 pp34-35 (GENCO2 Pha Lai 1 440MW),4x110MW Soviet-built units using domestic coal,4,False,,,True,True,EVN Annual,True,"EVN INTERNATIONAL JOINT STOCK COMPANY No.: 153/BC-EVNI SOCIALIST REPUBLIC OF VIETNAM Independence - Freedom - Happiness Da Nang, March 11th , 2025 ANNUAL REPORT 2024 To: - State Securities Commission ",,
Hai Ha 4 (cogeneration),coal_imported,planned,unknown,Quang Ninh,600.0,PDP8 Annex II Table 4 (NĐ đồng phát Hải Hà 4 600MW giai đoạn 2031-2035),PDP7A Table 3 (NĐ đồng phát Hải Hà 4 2x300MW listed 2028),Delayed to post-2031 per PDP8,4,False,,,False,True,PDP8,True,"The PDP-8 is a family of 12-bit minicomputers that was produced by Digital Equipment Corporation (DEC). Launched in 1965, it was the first minicomputer to sell for under $20,000, and the $25,000 mark ",,
Formosa Ha Tinh (units 6-10),coal/blast furnace gas,planned,2020,Ha Tinh,650.0,PDP7A Annex I Table 1 (2020: #6-7 2x150MW coal; #8-9 2x100MW gas; #10 150MW coal),PDP8 Annex II Table 4 (Formosa HT2 – 650MW – 2021-2030),PDP7A planned for 2020; PDP8 lists 'Formosa HT2' at 650MW for 2021-2030 period; captive power for steel plant expansion,4,False,,,False,True,PDP7,False,"vii Page 4-5 4-7 4-9 4-19 5-2 7-2 7-3 7-5 7-6 7-9 7-20 7-28 7-34 7-34 CHAPTER 1 PDP-7 SYSTEM DESCRIPTION PROGRAMMED DATA PROCESSOR-7 (PDP-7) is a general purpose, solid state, digital computer designe",,
O Mon 1,gas_domestic,operating,2009,Can Tho,660.0,EVN Annual Report 2010-2011 p13 (Ô Môn I 330MW EVN),EVN Annual Report 2018 pp34-35 (GENCO2 O Mon I 660MW oil fired FO),Originally 1x330MW open-cycle gas turbine in 2009; expanded to 660MW combined cycle; currently runs on oil/gas; PDP8 Table 5 plans conversion to Lo B gas; EVN 2018 lists under GENCO2 as 660MW oil-fired,4,False,,,False,True,EVN Annual,True,"EVN INTERNATIONAL JOINT STOCK COMPANY No.: 153/BC-EVNI SOCIALIST REPUBLIC OF VIETNAM Independence - Freedom - Happiness Da Nang, March 11th , 2025 ANNUAL REPORT 2024 To: - State Securities Commission ",O Mon,True
Quang Tri BOT,coal,stalled,uncertain,Quang Tri,1320.0,PDP7A Annex I Table 2 (NĐ Quảng Trị #1 600MW 2023; #2 600MW 2024 EGATi BOT),PDP8 Annex II Table 3 (NMNĐ Quảng Trị – 1320MW – 2021-2030),"2x660MW; BOT originally by EGATi (Thailand); Report 58 noted 3-year delay, possible shift past 2030; PDP8 lists among troubled projects",4,False,,,False,True,PDP7,False,"vii Page 4-5 4-7 4-9 4-19 5-2 7-2 7-3 7-5 7-6 7-9 7-20 7-28 7-34 7-34 CHAPTER 1 PDP-7 SYSTEM DESCRIPTION PROGRAMMED DATA PROCESSOR-7 (PDP-7) is a general purpose, solid state, digital computer designe",Quang Tri,True
Nhon Trach 2,gas_domestic,operating,2011,Dong Nai,750.0,EVN Annual Report 2010-2011 p13 (Nhơn Trạch II 750MW Petro Vietnam),PDP7 Annex 1 (TBKHH Nhơn Trạch 2 750MW commissioned 2011),CCGT domestic gas; PVN/PV Power,4,False,,,True,True,EVN Annual,True,"EVN INTERNATIONAL JOINT STOCK COMPANY No.: 153/BC-EVNI SOCIALIST REPUBLIC OF VIETNAM Independence - Freedom - Happiness Da Nang, March 11th , 2025 ANNUAL REPORT 2024 To: - State Securities Commission ",Nhon Trach,True
Cam Pha I & II,coal,operating,2005-2010,Quang Ninh,600.0,EVN Annual Report 2010-2011 p13 (Vinacomin),PDP7 Annex I (NĐ Cẩm Phả II – 300MW – 2011 TKV),"Phase I ~300MW (2x150MW, 2005-2006), Phase II 300MW (2x150MW, 2010-2011 per PDP7); Vinacomin/TKV",4,False,,,False,True,EVN Annual,True,"EVN INTERNATIONAL JOINT STOCK COMPANY No.: 153/BC-EVNI SOCIALIST REPUBLIC OF VIETNAM Independence - Freedom - Happiness Da Nang, March 11th , 2025 ANNUAL REPORT 2024 To: - State Securities Commission ",Cam Pha Phase III,True
Van Phong 1 BOT,coal,under construction,~2024-2026,Khanh Hoa,1432.0,PDP7A Annex I Table 2 (NĐ Vân Phong I #1 660MW 2022; #2 660MW 2023 Sumitomo BOT),PDP8 Annex II Table 2 (NMNĐ Vân Phong I – 1432MW – 2021-2030),"2x716MW; BOT by Sumitomo; Study E542 notes PPA signed, COD T6/2023+T1/2024; PDP8 confirms under construction",4,False,,,True,True,PDP7,False,"vii Page 4-5 4-7 4-9 4-19 5-2 7-2 7-3 7-5 7-6 7-9 7-20 7-28 7-34 7-34 CHAPTER 1 PDP-7 SYSTEM DESCRIPTION PROGRAMMED DATA PROCESSOR-7 (PDP-7) is a general purpose, solid state, digital computer designe",Van Phong,True
Uong Bi,coal_domestic,operating,1964,Quang Ninh,105.0,EVN Annual Report 2010-2011 p13,EVN Annual Report 2017 p14 (GENCO1 list shows Uong Bi 105MW),Original 4x25MW+1x5MW plant; PDP7A listed for retirement in 2021; EVN 2018 report no longer lists it under GENCO1 suggesting decommissioned or transferred,4,False,,,True,True,EVN Annual,True,"EVN INTERNATIONAL JOINT STOCK COMPANY No.: 153/BC-EVNI SOCIALIST REPUBLIC OF VIETNAM Independence - Freedom - Happiness Da Nang, March 11th , 2025 ANNUAL REPORT 2024 To: - State Securities Commission ",Uong Bi,True
