name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy nhiệt điện Long Phú 1,Coal,Under Construction,2025 (Exp),Sóc Trăng,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Coal Plant Tracker; `https://globalenergymonitor.org`,
Nhà máy nhiệt điện Quảng Trạch 1,Coal,Under Construction,2025 (Exp),Quảng Bình,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Coal Plant Tracker; `https://globalenergymonitor.org`,
Nhà máy nhiệt điện Nam Định 1,Coal,Operational,2011,Nam Định,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Coal Plant Tracker; `https://globalenergymonitor.org`,
Nhà máy nhiệt điện Phả Lại 2,Coal,Operational,2001,Hải Dương,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Coal Plant Tracker; `https://globalenergymonitor.org`,
Nhà máy nhiệt điện Uông Bí 2,Coal,Operational,2005,Quảng Ninh,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Coal Plant Tracker; `https://globalenergymonitor.org`,
Nhà máy nhiệt điện Long An 1,Coal,Suspended,N/A,Long An,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Coal Plant Tracker; `https://globalenergymonitor.org`,Suspended due to environmental concerns in the Mekong Delta.
Nhà máy nhiệt điện Quảng Trạch 2,Coal,Suspended,N/A,Quảng Bình,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Coal Plant Tracker; `https://globalenergymonitor.org`,Delayed indefinitely.
Nhà máy điện Phú Mỹ 2.1,Domestic gas,Operational,2002,Bà Rịa - Vũng Tàu,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Gas Plant Tracker; `https://globalenergymonitor.org`,
Nhà máy điện Phú Mỹ 3,Domestic gas,Operational,2004,Bà Rịa - Vũng Tàu,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Gas Plant Tracker; `https://globalenergymonitor.org`,
Nhà máy điện Phú Mỹ 4,Domestic gas,Operational,2006,Bà Rịa - Vũng Tàu,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Gas Plant Tracker; `https://globalenergymonitor.org`,
Nhà máy điện Nhơn Trạch 2,Domestic gas,Operational,2009,Đồng Nai,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Gas Plant Tracker; `https://globalenergymonitor.org`,
Nhà máy điện Cà Mau 1,Domestic gas,Operational,2008,Cà Mau,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Gas Plant Tracker; `https://globalenergymonitor.org`,
Nhà máy điện Cà Mau 2,Domestic gas,Operational,2008,Cà Mau,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Gas Plant Tracker; `https://globalenergymonitor.org`,
Nhà máy điện Ô Môn 3,Domestic gas,Operational,2010,Cần Thơ,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Gas Plant Tracker; `https://globalenergymonitor.org`,
Nhà máy điện Ô Môn 4,Domestic gas,Operational,2011,Cần Thơ,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Gas Plant Tracker; `https://globalenergymonitor.org`,
Nhà máy điện Hiệp Phước,Domestic gas,Operational,2009,TP. Hồ Chí Minh,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Gas Plant Tracker; `https://globalenergymonitor.org`,Peaking plant.
Nhà máy điện Bà Rịa,Domestic gas,Operational,2002,Bà Rịa - Vũng Tàu,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Gas Plant Tracker; `https://globalenergymonitor.org`,Peaking plant.
Nhà máy điện Nhơn Trạch 3 & 4,Imported LNG,Under Construction,2024/2025 (Exp),Đồng Nai,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Gas Plant Tracker; `https://globalenergymonitor.org`,First major LNG-to-power project in Vietnam.
Nhà máy điện khí Sơn Mỹ 1 & 2,Imported LNG,Approved,2028-2030 (Exp),Bình Thuận,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Gas Plant Tracker; `https://globalenergymonitor.org`,Massive LNG hub planned.
Nhà máy điện khí Long Sơn,Imported LNG,Approved,2027-2029 (Exp),Bà Rịa - Vũng Tàu,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Gas Plant Tracker; `https://globalenergymonitor.org`,
Nhà máy điện khí Thi Vai,Imported LNG,Approved,2027-2029 (Exp),Bà Rịa - Vũng Tàu,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Gas Plant Tracker; `https://globalenergymonitor.org`,
Nhà máy điện khí Hải Lăng,Imported LNG,Approved,2028-2030 (Exp),Quảng Trị,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Gas Plant Tracker; `https://globalenergymonitor.org`,
