lab,stage,stage_name,date,source_kind,citation_key,note
Mistral,7,Deep research,2025-07-17,primary-blog,mistral-lechat-deep-2025,Le Chat dives deep
Mistral,3,Code execution,2025-02-06,primary-blog,mistral-lechat-2025,"Le Chat code interpreter — ""In-place code execution and analysis"" section of mistral.ai/news/all-new-le-chat (sandboxed code execution, scientific analysis, visualisations); same launch as stages 2 and 3"
Mistral,6,External tool use (MCP),2025-05-27,primary-blog,mistral-agents-api-2025,Mistral Agents API
Mistral,8,Autonomous agents,2025-05-27,primary-blog,mistral-agents-api-2025,Agents API multi-agent orchestration (same launch)
Alibaba,1,Chat LLM,2023-09-13,news-article,tongyi-public-2023,Tongyi Qianwen opened to public (technode.com/2023/09/14/alibaba-opens-its-ai-model-tongyi-qianwen-to-the-public/); accessible via official website and mobile app after Chinese regulatory clearance; closed enterprise beta since April 2023; Qwen-7B open-weights (2023-08-03) predates this and is NOT the consumer-product milestone
Alibaba,4,Files upload (RAG),2023-10-31,primary-blog,alibaba-apsara-2023,Tongyi ZoneWit document upload at Apsara 2023 (alibabacloud.com/blog/600550)
Alibaba,2,Web search,2025-01-24,primary-blog,qwen-chat-v02-2025,"Qwen Chat v0.2 launch with built-in web search (x.com/Alibaba_Qwen/status/1882818582758961351; snowflake-decoded 2025-01-24T15:51 UTC); cross-confirmed by 2025-01-27 qwen2.5-1m blog referencing Qwen Chat support for ""perform searches"". Earlier candidate (2025-03-07 Qwen-Agent QwQ-32B demo) was rejected by ticket 0232 / PR #426 as a developer SDK; the 2025-01-24 Qwen Chat launch is the consumer-product threshold."
Alibaba,5,Reasoning,2024-11-28,primary-blog,qwen-qwq-2024,QwQ-32B-Preview
Alibaba,7,Deep research,2025-05-13,primary-blog,qwen-deep-research-2025,Deep Research on Qwen Chat live (x.com/Alibaba_Qwen/status/1922307096886051025); broader expansion in Qwen app public beta 2025-11-17/18 with full research-report + multi-slide PowerPoint generation
Alibaba,3,Code execution,,absent,,"no productised code-execution consumer surface on chat.qwen.ai as of 2026-05-22 cutoff; Qwen Chat ""artifacts"" mode (introduced alongside Qwen2.5-Max on qwenlm.github.io/blog/qwen2.5-max/ 2025-01-28) ships HTML / SVG preview, not a Python / JS sandbox; Qwen-Agent has a code-interpreter tool (github.com/QwenLM/Qwen-Agent) and Qwen Code provides Docker-sandboxed shell execution (qwenlm.github.io/qwen-code-docs/en/sandbox/) but both are developer-facing rather than chat.qwen.ai consumer surfaces"
Alibaba,6,External tool use (MCP),2025-07-11,news-article,qwen-chat-desktop-mcp-2025,"Qwen Chat Desktop for macOS launch with MCP support (chat.qwen.ai); first consumer-facing agentic tool surface — users can configure and invoke MCP servers from the desktop app; reported AlternativeTo 2025-07-14 referencing the lab X post; Windows version followed 2025-08-15 (x.com/Alibaba_Qwen/status/1956399490698735950); prior date 2024-04-07 (Qwen-Agent v0.0.1) was a developer framework, not a consumer product"
Alibaba,8,Autonomous agents,,absent,,no productised multi-agent consumer surface as of 2026-05-22 cutoff; Qwen-Agent framework is developer-only and Qwen Code SubAgent (roadmap v0.0.11) is a developer-tool component not a consumer product
DeepSeek,1,Chat LLM,2023-11-29,primary-blog,deepseek-llm-github-2023,DeepSeek LLM 7B/67B release (github.com/deepseek-ai/DeepSeek-LLM); chat.deepseek.com was live from this day — the original README (first commit 2023-11-29T11:06Z) links chat.deepseek.com as the consumer interface; this is both the open-weights release and the simultaneous consumer chat product launch
DeepSeek,4,Files upload (RAG),2025-01-15,primary-blog,deepseek-app-2025,DeepSeek App launch with file upload and text extraction (api-docs.deepseek.com/news/news250115)
DeepSeek,2,Web search,2024-12-10,primary-blog,deepseek-v25-1210,Internet Search live on chat.deepseek.com (api-docs.deepseek.com/news/news1210)
DeepSeek,5,Reasoning,2025-01-20,primary-blog,deepseek-r1-2025,DeepSeek-R1
DeepSeek,7,Deep research,,absent,,no productised deep-research consumer surface as of 2026-05-22 cutoff; model-side components shipped (V3.1 stronger multi-step reasoning for search 2025-08-21; V3.1-Terminus stronger Code/Search Agent 2025-09-22; V3.2 thinking-during-tools 2025-12-01) but no DeepSeek-branded deep-research composer product launched
DeepSeek,3,Code execution,,absent,,"no productised code-execution consumer surface on chat.deepseek.com as of 2026-05-22 cutoff; api-docs.deepseek.com/updates changelog reviewed end-to-end — Function Calling 2024-07-25 and V3.1-Terminus Code Agent optimisation 2025-09-22 are model / API capabilities, not a chat-side Python sandbox; chat.deepseek.com has no toggle for code interpreter"
DeepSeek,6,External tool use (MCP),,absent,,"no productised consumer-facing agentic tool surface on chat.deepseek.com as of 2026-05-22 cutoff; prior date 2024-07-25 (Function Calling API) was an API/developer capability, not a consumer product; api-docs.deepseek.com/updates changelog reviewed — no chat.deepseek.com tool-use or MCP launch recorded; DeepSeek V4 Preview (2026-04-24) integrates with third-party agents (Claude Code, OpenClaw, OpenCode) but does not ship a DeepSeek-branded consumer agentic surface"
DeepSeek,8,Autonomous agents,,absent,,no productised multi-agent consumer surface as of 2026-05-22 cutoff; V4 Preview (2026-04-24) advertises enhanced agentic capabilities and Claude Code/OpenClaw/OpenCode integration but recursion is delegated to third-party orchestrators rather than a DeepSeek-branded product
