name,fuel,status,cod,province,capacity_mwe,evidence_score_v1,evidence_score_v2,evidence_score_v3,evidence_score_median,evidence_score,verified
Na Dương 2,Coal,Under Construction,,Lạng Sơn,110,3,1,4,3,3,True
Cẩm Phả 3,Coal,Planned/Delayed,,Quảng Ninh,440,3,1,4,3,3,True
Quỳnh Lập 1,Coal,Planned/Delayed,,Nghệ An,1200,3,1,4,3,3,True
Công Thanh,Coal,Planned/Delayed,,Thanh Hóa,600,3,1,4,3,3,True
An Khánh - Bắc Giang,Coal,Planned/Delayed,,Bắc Giang,650,3,1,4,3,3,True
Vĩnh Tân 3,Coal,Planned/Delayed,,Bình Thuận,1980,3,1,4,3,3,True
Quảng Trị,Coal,Planned/Delayed,,Quảng Trị,1320,3,1,4,3,3,True
Sông Hậu 2,Coal,Planned/Delayed,,Hậu Giang,2120,3,1,4,3,3,True
Long Phú 2,Coal,Planned/Delayed,,Sóc Trăng,1320,3,1,4,3,3,True
Long Phú 3,Coal,Planned/Delayed,,Sóc Trăng,1800,3,1,4,3,3,True
Long An 1,Coal,Planned/Delayed,,Long An,1200,3,1,4,3,3,True
Long An 2,Coal,Planned/Delayed,,Long An,1600,3,1,4,3,3,True
Vũng Áng 3,Coal,Planned/Delayed,,Hà Tĩnh,1200,3,1,4,3,3,True
Quỳnh Lập 2,Coal,Planned/Delayed,,Nghệ An,1200,3,1,4,3,3,True
Tân Phước 1,Coal,Planned/Delayed,,Tiền Giang,1200,3,1,4,3,3,True
Tân Phước 2,Coal,Planned/Delayed,,Tiền Giang,1200,3,1,4,3,3,True
Hải Phòng 3,Coal,Planned/Delayed,,Hải Phòng,1200,3,1,4,3,3,True
Quảng Ninh 3,Coal,Planned/Delayed,,Quảng Ninh,1200,3,1,4,3,3,True
Bạc Liêu 1,Coal,Planned/Delayed,,Bạc Liêu,1200,3,1,4,3,3,True
Quảng Trạch 2,Coal,Planned/Delayed,,Quảng Bình,1200,4,1,4,4,4,True
Bình Định 1,Coal,Planned/Delayed,,Bình Định,1200,3,1,4,3,3,True
Bình Định 2,Coal,Planned/Delayed,,Bình Định,2000,3,1,4,3,3,True
Kiên Lương 1,Coal,Cancelled/Replaced,,Kiên Giang,1200,3,1,4,3,3,True
Kiên Lương 2,Coal,Cancelled/Replaced,,Kiên Giang,1200,3,1,4,3,3,True
Kiên Lương 3,Coal,Cancelled/Replaced,,Kiên Giang,2000,3,1,4,3,3,True
Đồng phát Hải Hà 1,Coal,Planned/Delayed,,Quảng Ninh,300,3,1,4,3,3,True
Đồng phát Hải Hà 2,Coal,Planned/Delayed,,Quảng Ninh,750,3,1,4,3,3,True
Đồng phát Hải Hà 3,Coal,Planned/Delayed,,Quảng Ninh,600,3,1,4,3,3,True
Đồng phát Hải Hà 4,Coal,Planned/Delayed,,Quảng Ninh,600,3,1,4,3,3,True
Formosa Hà Tĩnh #8 & #9,Coal,Planned/Delayed,,Hà Tĩnh,200,3,1,4,3,3,True
Nhơn Trạch 3 (Phase 1),Local Natural Gas (Lô B),Planned,~2023,Dong Nai,750,4,1,4,4,4,True
Nhơn Trạch 4 (Phase 2),Local Natural Gas (Lô B),Planned,~2024,Dong Nai,750,4,1,4,4,4,True
Ô Môn I (converted),Local Natural Gas (Lô B),Converted/Operational,Operational (~2024),Can Tho,660,3,1,4,3,3,True
Ô Môn III,Local Natural Gas (Lô B),Under Construction,2024,Can Tho,750,4,1,4,4,4,True
Ô Môn IV,Local Natural Gas (Lô B),Planned,2024,Can Tho,750,3,1,4,3,3,True
Ô Môn II (IPP),Local Natural Gas (Lô B),Planned/Proposed,~2026,Can Tho,1050,3,1,4,3,3,True
Kiên Giang I,Local Natural Gas (Lô B),Planned,2021,Kien Giang,750,3,1,4,3,3,True
Kiên Giang II,Local Natural Gas (Lô B),Planned,2022,Kien Giang,750,3,1,4,3,3,True
TBKHH Miền Trung I (Cá Voi Xanh),Local Natural Gas (CVX),Planned,2023,(Quảng Trị/Quảng Ngãi),750,3,1,4,3,3,True
TBKHH Miền Trung II (Cá Voi Xanh),Local Natural Gas (CVX),Planned,2024,(Quảng Trị/Quảng Ngãi),750,3,1,4,3,3,True
TBKHH Dung Quất I (Cá Voi Xanh),Local Natural Gas (CVX),Planned,2023,Quảng Ngãi,750,3,1,4,3,3,True
TBKHH Dung Quất II (Cá Voi Xanh),Local Natural Gas (CVX),Planned,2024,Quảng Ngãi,750,3,1,4,3,3,True
TBKHH Dung Quất III (Cá Voi Xanh),Local Natural Gas (CVX),Planned,2026,Quảng Ngãi,750,3,1,4,3,3,True
TBKHH Quảng Trị (Báo Vàng),Local Natural Gas (Báo Vàng),Planned,~2023,Quảng Trị,340,3,1,4,3,3,True
Phú Mỹ I,Local Natural Gas (PM gas),Operational,Operational,Bà Rịa-Vũng Tàu,1090,4,1,4,4,4,True
Phú Mỹ II.1,Local Natural Gas (PM gas),Operational,Operational,Bà Rịa-Vũng Tàu,900,4,1,4,4,4,True
Phú Mỹ IV,Local Natural Gas (PM gas),Operational,Operational,Bà Rịa-Vũng Tàu,450,4,1,4,4,4,True
Thu Duc GT,Local Natural Gas (PM gas),Operational,Operational,Hồ Chí Minh,128,3,1,4,3,3,True
Can Tho GT,Local Natural Gas (PM gas),Operational,Operational,Can Tho,150,3,1,4,3,3,True
Bà Ria,Local Natural Gas (PM gas),Operational,Operational,Bà Rịa-Vũng Tàu,389,4,1,4,4,4,True
Nhơn Trạch I,Local Natural Gas (PM gas),Operational,Operational,Dong Nai,465,4,1,4,4,4,True
Nhơn Trạch II,Local Natural Gas (PM gas),Operational,Operational,Dong Nai,750,4,1,4,4,4,True
Cà Mau I,Local Natural Gas (PM gas),Operational,Operational,Cà Mau,750,4,1,4,4,4,True
Cà Mau II,Local Natural Gas (PM gas),Operational,Operational,Cà Mau,750,4,1,4,4,4,True
Phú Mỹ II.2 (BOT),Local Natural Gas (PM gas),Operational,Operational,Bà Rịa-Vũng Tàu,740,3,1,4,3,3,True
Phú Mỹ III (BOT),Local Natural Gas (PM gas),Operational,Operational,Bà Rịa-Vũng Tàu,740,3,1,4,3,3,True
LNG Quảng Ninh,Imported LNG (LNG),Planned,2021-2030,Quảng Ninh,1500,3,1,4,3,3,True
LNG Thái Bình,Imported LNG (LNG),Planned,2021-2030,Thái Bình,1500,3,1,4,3,3,True
LNG Nghi Sơn,Imported LNG (LNG),Planned,2021-2030,Thanh Hóa,1500,3,1,4,3,3,True
LNG Quảng Trạch II (converted from coal),Imported LNG (LNG),Planned,2021-2030,Quảng Bình,1500,4,1,4,4,4,True
LNG Quỳnh Lập/Nghi Sơn,Imported LNG (LNG),Proposed,2021-2030,Thanh Hóa/Nghệ An,1500,3,1,4,3,3,True
LNG Hải Lăng phase 1,Imported LNG (LNG),Planned,2021-2030,Quảng Trị,1500,3,1,4,3,3,True
LNG Cà Ná,Imported LNG (LNG),Planned,2021-2030,Ninh Thuận,1500,3,1,4,3,3,True
Sơn Mỹ II,Imported LNG (LNG),Planned,2021-2030,Bình Thuận,2250,3,1,4,3,3,True
Sơn Mỹ I (BOT),Imported LNG (LNG),Planned,2021-2030,Bình Thuận,2250,3,1,4,3,3,True
LNG Long Sơn,Imported LNG (LNG),Planned,2031-2035,Bà Rịa-Vũng Tàu,1500,3,1,4,3,3,True
LNG Hiệp Phước phase I,Imported LNG (LNG),Planned,2021-2030,Hồ Chí Minh,1200,3,1,4,3,3,True
LNG Long An I,Imported LNG (LNG),Planned,2021-2030,Long An,1500,3,1,4,3,3,True
LNG Long An II,Imported LNG (LNG),Planned,2031-2035,Long An,1500,3,1,4,3,3,True
LNG Bạc Liêu,Imported LNG (LNG),Planned,2021-2030,Bạc Liêu,3200,3,1,4,3,3,True
LNG Long Sơn I,Imported LNG (LNG),Planned,2025-2026,Bà Rịa-Vũng Tàu,1200,3,1,4,3,3,True
Thủ Đức,Oil-fired,Operational,1978-01-01,Ho Chi Minh City,165,3,1,4,3,3,True
Cần Thơ,Oil-fired,Operational,1999-01-01,Can Tho,33,3,1,4,3,3,True
Ô Môn I,Oil-fired,Operational,2008-01-01,Can Tho,330,4,1,4,4,4,True
Hiệp Phước,Oil-fired,Operational,2010-01-01,Ho Chi Minh City,375,3,1,4,3,3,True
Various Power Corporations (EVN's),Diesel,Operational,~2011,Various,285,3,1,4,3,3,True
Formosa Hà Tĩnh #3,4,Blast Furnace Gas (BFG),Operational,2016-01-01,0,3,1,4,3,3,True
Formosa Hà Tĩnh #8,9,Blast Furnace Gas (BFG),Planned,2020-01-01,0,3,1,4,3,3,True
Điện sinh khối An Khê #1,Biomass (Bagasse),Operational,2017-01-01,Gia Lai,55,3,1,4,3,3,True
Điện sinh khối An Khê #2,Biomass (Bagasse),Operational,2018-01-01,Gia Lai,55,3,1,4,3,3,True
NĐ sinh khối Lee&Man,Biomass (Waste),Operational,2018-01-01,Hau Giang,125,3,1,4,3,3,True
NĐ hóa dầu Long Sơn #1,Co-generation,Operational,2017-01-01,Ba Ria - Vung Tau,75,3,1,4,3,3,True
NĐ hóa dầu Long Sơn #2,3,Co-generation,Operational,2018-01-01,0,3,1,4,3,3,True
NĐ đồng phát Hải Hà 1,Co-generation/Coal,Planned,2019-01-01,Quang Ninh,150,3,1,4,3,3,True
NĐ đồng phát Hải Hà 2,Co-generation/Coal,Planned,2022-01-01,Quang Ninh,750,3,1,4,3,3,True
NĐ đồng phát Hải Hà 3,Co-generation/Coal,Planned,2025-01-01,Quang Ninh,600,3,1,4,3,3,True
NĐ đồng phát Hải Hà 4,Co-generation/Coal,Planned,2028-01-01,Quang Ninh,600,3,1,4,3,3,True
Formosa HT2 (Multi-fuel),Co-generation/Coal & BFG,Planned,2021-2030,Ha Tinh,650,3,1,4,3,3,True
NĐ khí dư Hòa Phát II,Waste Gas (Industrial),Planned,2021-2030,Hung Yen,300,3,1,4,3,3,True
