name,fuel,status,cod,province,capacity_mwe,source_1,source_1_type,source_2,source_2_type,evidence_score,verified
Đồng phát Hải Hà 2,Coal,Planned/Delayed,,Quảng Ninh,750,,none,,none,1,False
Đồng phát Hải Hà 3,Coal,Planned/Delayed,,Quảng Ninh,600,,none,,none,1,False
Đồng phát Hải Hà 4,Coal,Planned/Delayed,,Quảng Ninh,600,,none,,none,1,False
Đồng phát Rạng Đông,Coal,Planned/Delayed,,Nam Định,100,,none,,none,1,False
Formosa Hà Tĩnh #8 & #9,Coal,Planned/Delayed,,Hà Tĩnh,200,,none,,none,1,False
Lục Nam #1,Coal,Planned/Delayed,,Bắc Giang,50,,none,,none,1,False
Lục Nam #2,Coal,Planned/Delayed,,Bắc Giang,50,,none,,none,1,False
Nhơn Trạch 3 (Phase 1),Local Natural Gas (Lô B),Planned,~2023,Dong Nai,750,,none,,none,1,False
Nhơn Trạch 4 (Phase 2),Local Natural Gas (Lô B),Planned,~2024,Dong Nai,750,,none,,none,1,False
Ô Môn I (converted),Local Natural Gas (Lô B),Converted/Operational,Operational (~2024),Can Tho,660,,none,,none,1,False
Ô Môn III,Local Natural Gas (Lô B),Under Construction,2024,Can Tho,750,,none,,none,1,False
Ô Môn IV,Local Natural Gas (Lô B),Planned,2024,Can Tho,750,,none,,none,1,False
Ô Môn II (IPP),Local Natural Gas (Lô B),Planned/Proposed,~2026,Can Tho,1050,,none,,none,1,False
Kiên Giang I,Local Natural Gas (Lô B),Planned,2021,Kien Giang,750,,none,,none,1,False
Kiên Giang II,Local Natural Gas (Lô B),Planned,2022,Kien Giang,750,,none,,none,1,False
TBKHH Miền Trung I (Cá Voi Xanh),Local Natural Gas (CVX),Planned,2023,(Quảng Trị/Quảng Ngãi),750,,none,,none,1,False
TBKHH Miền Trung II (Cá Voi Xanh),Local Natural Gas (CVX),Planned,2024,(Quảng Trị/Quảng Ngãi),750,,none,,none,1,False
TBKHH Dung Quất I (Cá Voi Xanh),Local Natural Gas (CVX),Planned,2023,Quảng Ngãi,750,,none,,none,1,False
TBKHH Dung Quất II (Cá Voi Xanh),Local Natural Gas (CVX),Planned,2024,Quảng Ngãi,750,,none,,none,1,False
TBKHH Dung Quất III (Cá Voi Xanh),Local Natural Gas (CVX),Planned,2026,Quảng Ngãi,750,,none,,none,1,False
TBKHH Quảng Trị (Báo Vàng),Local Natural Gas (Báo Vàng),Planned,~2023,Quảng Trị,340,,none,,none,1,False
Phú Mỹ I,Local Natural Gas (PM gas),Operational,Operational,Bà Rịa-Vũng Tàu,1090,,none,,none,1,False
Phú Mỹ II.1,Local Natural Gas (PM gas),Operational,Operational,Bà Rịa-Vũng Tàu,900,,none,,none,1,False
Phú Mỹ IV,Local Natural Gas (PM gas),Operational,Operational,Bà Rịa-Vũng Tàu,450,,none,,none,1,False
Thu Duc GT,Local Natural Gas (PM gas),Operational,Operational,Hồ Chí Minh,128,,none,,none,1,False
Can Tho GT,Local Natural Gas (PM gas),Operational,Operational,Can Tho,150,,none,,none,1,False
Bà Ria,Local Natural Gas (PM gas),Operational,Operational,Bà Rịa-Vũng Tàu,389,,none,,none,1,False
Nhơn Trạch I,Local Natural Gas (PM gas),Operational,Operational,Dong Nai,465,,none,,none,1,False
Nhơn Trạch II,Local Natural Gas (PM gas),Operational,Operational,Dong Nai,750,,none,,none,1,False
Cà Mau I,Local Natural Gas (PM gas),Operational,Operational,Cà Mau,750,,none,,none,1,False
Cà Mau II,Local Natural Gas (PM gas),Operational,Operational,Cà Mau,750,,none,,none,1,False
Phú Mỹ II.2 (BOT),Local Natural Gas (PM gas),Operational,Operational,Bà Rịa-Vũng Tàu,740,,none,,none,1,False
Phú Mỹ III (BOT),Local Natural Gas (PM gas),Operational,Operational,Bà Rịa-Vũng Tàu,740,,none,,none,1,False
LNG Quảng Ninh,Imported LNG (LNG),Planned,2021-2030,Quảng Ninh,1500,,none,,none,1,False
LNG Thái Bình,Imported LNG (LNG),Planned,2021-2030,Thái Bình,1500,,none,,none,1,False
LNG Nghi Sơn,Imported LNG (LNG),Planned,2021-2030,Thanh Hóa,1500,,none,,none,1,False
LNG Quảng Trạch II (converted from coal),Imported LNG (LNG),Planned,2021-2030,Quảng Bình,1500,,none,,none,1,False
LNG Quỳnh Lập/Nghi Sơn,Imported LNG (LNG),Proposed,2021-2030,Thanh Hóa/Nghệ An,1500,,none,,none,1,False
LNG Hải Lăng phase 1,Imported LNG (LNG),Planned,2021-2030,Quảng Trị,1500,,none,,none,1,False
LNG Cà Ná,Imported LNG (LNG),Planned,2021-2030,Ninh Thuận,1500,,none,,none,1,False
Sơn Mỹ II,Imported LNG (LNG),Planned,2021-2030,Bình Thuận,2250,,none,,none,1,False
Sơn Mỹ I (BOT),Imported LNG (LNG),Planned,2021-2030,Bình Thuận,2250,,none,,none,1,False
LNG Long Sơn,Imported LNG (LNG),Planned,2031-2035,Bà Rịa-Vũng Tàu,1500,,none,,none,1,False
LNG Hiệp Phước phase I,Imported LNG (LNG),Planned,2021-2030,Hồ Chí Minh,1200,,none,,none,1,False
LNG Long An I,Imported LNG (LNG),Planned,2021-2030,Long An,1500,,none,,none,1,False
LNG Long An II,Imported LNG (LNG),Planned,2031-2035,Long An,1500,,none,,none,1,False
LNG Bạc Liêu,Imported LNG (LNG),Planned,2021-2030,Bạc Liêu,3200,,none,,none,1,False
LNG Hiệp Phước 2 (potential),Imported LNG (LNG),Proposed/Potential Reserve,Hồ Chí Minh,?,0,,none,,none,1,False
LNG Tân Phước (potential),Imported LNG (LNG),Proposed/Potential Reserve,Tiền Giang,?,0,,none,,none,1,False
LNG Bến Tre (potential),Imported LNG (LNG),Proposed/Potential Reserve,Bến Tre,?,0,,none,,none,1,False
LNG Cà Mau (potential),Imported LNG (LNG),Proposed/Potential Reserve,Cà Mau,?,0,,none,,none,1,False
LNG Hải Phòng (potential),Imported LNG (LNG),Proposed/Potential Reserve,Hải Phòng,4500,0,,none,,none,1,False
LNG Quảng Ninh 2 (Cẩm Phả),Imported LNG (LNG),Proposed/Potential Reserve,Quảng Ninh,1500,0,,none,,none,1,False
LNG Quảng Ninh 3 (Quảng Yên),Imported LNG (LNG),Proposed/Potential Reserve,Quảng Ninh,4500,0,,none,,none,1,False
LNG Quảng Ninh 4 (Hải Hà),Imported LNG (LNG),Proposed/Potential Reserve,Quảng Ninh,3000,0,,none,,none,1,False
LNG Nghi Sơn (Thanh Hóa),Imported LNG (LNG),Proposed/Potential Reserve,Thanh Hóa,5000,0,,none,,none,1,False
LNG Hà Tĩnh (KCN Vũng Áng),Imported LNG (LNG),Proposed/Potential Reserve,Hà Tĩnh,6000,0,,none,,none,1,False
LNG Quảng Bình (Hòn La),Imported LNG (LNG),Proposed/Potential Reserve,Quảng Bình,3000,0,,none,,none,1,False
LNG Chân Mây (Huế),Imported LNG (LNG),Proposed/Potential Reserve,Thừa Thiên-Huế,4000,0,,none,,none,1,False
LNG Phong Điền (Huế),Imported LNG (LNG),Proposed/Potential Reserve,Thừa Thiên-Huế,3000,0,,none,,none,1,False
LNG Quảng Nam,Imported LNG (LNG),Proposed/Potential Reserve,Quảng Nam,4000,0,,none,,none,1,False
LNG Bình Định,Imported LNG (LNG),Proposed/Potential Reserve,Bình Định,5000,0,,none,,none,1,False
LNG Vân Phong (Mũi Giăng),Imported LNG (LNG),Proposed/Potential Reserve,Khánh Hòa,3000,0,,none,,none,1,False
LNG Mỹ Giang (Vân Phong),Imported LNG (LNG),Proposed/Potential Reserve,Khánh Hòa,6000,0,,none,,none,1,False
LNG Mũi Kê Gà,Imported LNG (LNG),Proposed/Potential Reserve,Bình Thuận,3600,0,,none,,none,1,False
Phú Mỹ 3.1 (LNG conversion),Imported LNG (LNG),Proposed/Potential Reserve,Bà Rịa-Vũng Tàu,850,0,,none,,none,1,False
LNG Bà Rịa 2,Imported LNG (LNG),Proposed/Potential Reserve,Bà Rịa-Vũng Tàu,1200,0,,none,,none,1,False
LNG Long Sơn I,Imported LNG (LNG),Planned,2025-2026,Bà Rịa-Vũng Tàu,1200,,none,,none,1,False
LNG Long Sơn II+III,Imported LNG (LNG),Proposed/Potential Reserve,Bà Rịa-Vũng Tàu,3200,0,,none,,none,1,False
LNG Long Sơn IV,Imported LNG (LNG),Proposed/Potential Reserve,Bà Rịa-Vũng Tàu,3600,0,,none,,none,1,False
LNG Cái Mép H,Imported LNG (LNG),Proposed/Potential Reserve,Bà Rịa-Vũng Tàu,6000,0,,none,,none,1,False
LNG Tân Phúc,Imported LNG (LNG),Proposed/Potential Reserve,Long An,4500,0,,none,,none,1,False
LNG Cà Mau 1,2,3,Imported LNG (LNG),Proposed/Potential Reserve,0,,none,,none,1,False
LNG Tân Thuận - Đầm Dơi,Imported LNG (LNG),Proposed/Potential Reserve,Cà Mau,3200,0,,none,,none,1,False
LNG Sông Đốc,Imported LNG (LNG),Proposed/Potential Reserve,Cà Mau,3000,0,,none,,none,1,False
Thủ Đức,Oil-fired,Operational,1978-01-01,Ho Chi Minh City,165,,none,,none,1,False
Cần Thơ,Oil-fired,Operational,1999-01-01,Can Tho,33,,none,,none,1,False
Ô Môn I,Oil-fired,Operational,2008-01-01,Can Tho,330,,none,,none,1,False
Hiệp Phước,Oil-fired,Operational,2010-01-01,Ho Chi Minh City,375,,none,,none,1,False
Bourbon (Phú Mỹ 2.2),Oil-fired,Operational,2004-01-01,Ba Ria - Vung Tau,24,,none,,none,1,False
Amata,Oil-fired/Diesel,Operational,2008-01-01,Dong Nai,14,,none,,none,1,False
Various Power Corporations (EVN's),Diesel,Operational,~2011,Various,285,,none,,none,1,False
Vê Dan (Thermal Power),Oil-fired/Co-gen (Cement),Operational,2011-01-01,Quang Ninh,72,,none,,none,1,False
Dam Phú Mỹ,Oil-fired,Operational,2005-01-01,Ba Ria - Vung Tau,21,,none,,none,1,False
Formosa Hà Tĩnh #3,4,Blast Furnace Gas (BFG),Operational,2016-01-01,0,,none,,none,1,False
Formosa Hà Tĩnh #8,9,Blast Furnace Gas (BFG),Planned,2020-01-01,0,,none,,none,1,False
Điện sinh khối An Khê #1,Biomass (Bagasse),Operational,2017-01-01,Gia Lai,55,,none,,none,1,False
Điện sinh khối An Khê #2,Biomass (Bagasse),Operational,2018-01-01,Gia Lai,55,,none,,none,1,False
NMĐ sinh khối KCP #1,Biomass (Bagasse),Operational,2016-01-01,Phu Yen,30,,none,,none,1,False
NMĐ sinh khối KCP #2,Biomass (Bagasse),Operational,2018-01-01,Phu Yen,30,,none,,none,1,False
NĐ sinh khối Lee&Man,Biomass (Waste),Operational,2018-01-01,Hau Giang,125,,none,,none,1,False
NĐ hóa dầu Long Sơn #1,Co-generation,Operational,2017-01-01,Ba Ria - Vung Tau,75,,none,,none,1,False
NĐ hóa dầu Long Sơn #2,3,Co-generation,Operational,2018-01-01,0,,none,,none,1,False
NĐ Formosa Đồng Nai #3,Oil-fired,Operational,2016-01-01,Dong Nai,150,,none,,none,1,False
NĐ đồng phát Hải Hà 1,Co-generation/Coal,Planned,2019-01-01,Quang Ninh,150,,none,,none,1,False
NĐ đồng phát Hải Hà 2,Co-generation/Coal,Planned,2022-01-01,Quang Ninh,750,,none,,none,1,False
NĐ đồng phát Hải Hà 3,Co-generation/Coal,Planned,2025-01-01,Quang Ninh,600,,none,,none,1,False
NĐ đồng phát Hải Hà 4,Co-generation/Coal,Planned,2028-01-01,Quang Ninh,600,,none,,none,1,False
NĐ đồng phát Đức Giang,Co-generation,Planned,2021-2030,Hanoi,100,,none,,none,1,False
Formosa HT2 (Multi-fuel),Co-generation/Coal & BFG,Planned,2021-2030,Ha Tinh,650,,none,,none,1,False
NĐ khí dư Hòa Phát II,Waste Gas (Industrial),Planned,2021-2030,Hung Yen,300,,none,,none,1,False
NĐ đồng phát Rạng Đông,Co-generation,Planned,2025-01-01,Nam Dinh,100,,none,,none,1,False
