model,run,ref_name,sys_name,ref_name_clean,sys_name_clean,similarity_score,ref_capacity,sys_capacity,capacity_diff_pct,verdict
claude-haiku-4.5,run2,Cẩm Phả 1,Nhà máy Nhiệt điện Hải Dương,cam pha 1,nha may nhiet đien hai duong,47.1,340.0,200.0,41.2,clear
claude-haiku-4.5,run2,Cẩm Phả 2,Nhà máy Nhiệt điện Ninh Thuận Mở rộng,cam pha 2,nha may nhiet đien ninh thuan mo rong,47.1,340.0,200.0,41.2,clear
claude-haiku-4.5,run2,Dong Nai Formosa,Nhà máy Nhiệt điện Long An Mở rộng,dong nai formosa,nha may nhiet đien long an mo rong,60.0,150.0,200.0,33.3,clear
claude-haiku-4.5,run2,Dong Nai Formosa,Nhà máy Nhiệt điện Đà Nẵng Mở rộng,dong nai formosa,nha may nhiet đien đa nang mo rong,50.0,300.0,200.0,33.3,clear
claude-haiku-4.5,run2,Duc Giang - Lao Cai Chemical,Nhà máy Nhiệt điện Quảng Ngãi Mở rộng,duc giang - lao cai chemical,nha may nhiet đien quang ngai mo rong,40.0,100.0,200.0,100.0,clear
claude-haiku-4.5,run2,Duyen Hai 3 Extension,Nhà máy Nhiệt điện Cà Mau,duyen hai 3 extension,nha may nhiet đien ca mau,46.2,660.0,200.0,69.7,clear
claude-haiku-4.5,run2,Formosa HT2,Nhà máy Nhiệt điện Phú Mỹ 2,formosa ht2,nha may nhiet đien phu my 2,45.5,650.0,600.0,7.7,clear
claude-haiku-4.5,run2,Ha Tinh Formosa Plastics Steel Complex,Nhà máy Nhiệt điện Thừa Thiên–Huế,ha tinh formosa plastics steel complex,nha may nhiet đien thua thien–hue,41.9,450.0,200.0,55.6,clear
claude-haiku-4.5,run2,Ha Tinh Formosa Plastics Steel Complex,Nhà máy Nhiệt điện Sóc Trăng,ha tinh formosa plastics steel complex,nha may nhiet đien soc trang,46.5,450.0,200.0,55.6,clear
claude-haiku-4.5,run2,Hai Ha CHP Phase 1,Nhà máy Nhiệt điện Đồng Nai Mở rộng,hai ha chp phase 1,nha may nhiet đien đong nai mo rong,50.0,150.0,200.0,33.3,clear
claude-haiku-4.5,run2,Hai Ha CHP Phase 3,Nhà máy Nhiệt điện Quảng Ngãi,hai ha chp phase 3,nha may nhiet đien quang ngai,50.0,600.0,200.0,66.7,clear
claude-haiku-4.5,run2,Hai Ha CHP Phase 4,Nhà máy Nhiệt điện Phú Mỹ Mở rộng,hai ha chp phase 4,nha may nhiet đien phu my mo rong,50.0,600.0,600.0,0.0,clear
claude-haiku-4.5,run2,Hai Phong 2,Nhà máy Nhiệt điện Vĩnh Tân Mở rộng,hai phong 2,nha may nhiet đien vinh tan mo rong,50.0,600.0,600.0,0.0,clear
claude-haiku-4.5,run2,Lee & Man,Nhà máy Nhiệt điện Đà Nẵng,lee & man,nha may nhiet đien đa nang,55.6,125.0,200.0,60.0,clear
claude-haiku-4.5,run2,Mao Khe,Nhà máy Nhiệt điện Phú Yên,mao khe,nha may nhiet đien phu yen,57.1,440.0,200.0,54.5,clear
claude-haiku-4.5,run2,Na Dương 1,Nhà máy Nhiệt điện Vĩnh Long,na duong 1,nha may nhiet đien vinh long,58.8,110.0,200.0,81.8,clear
claude-haiku-4.5,run2,Na Dương 2,Nhà máy Nhiệt điện Bà Rịa–Vũng Tàu,na duong 2,nha may nhiet đien ba ria–vung tau,50.0,110.0,200.0,81.8,clear
claude-haiku-4.5,run2,Nghi Son 1,Nhà máy Nhiệt điện Hưng Yên,nghi son 1,nha may nhiet đien hung yen,50.0,600.0,200.0,66.7,clear
claude-haiku-4.5,run2,Nong Son 1,Nhà máy Nhiệt điện Bến Tre Mở rộng,nong son 1,nha may nhiet đien ben tre mo rong,50.0,30.0,200.0,566.7,clear
claude-haiku-4.5,run2,NĐ Hiệp Phước,Nhà máy Nhiệt điện Kiên Giang Mở rộng,nđ hiep phuoc,nha may nhiet đien kien giang mo rong,40.0,310.0,200.0,35.5,clear
claude-haiku-4.5,run2,NĐ LNG miền Bắc,Nhà máy Nhiệt điện Cạn Thơ,nđ lng mien bac,nha may nhiet đien can tho,53.3,0.0,100.0,,clear
claude-haiku-4.5,run2,NĐ Thủ Đức,Nhà máy Nhiệt điện Hậu Giang Mở rộng,nđ thu đuc,nha may nhiet đien hau giang mo rong,50.0,290.0,200.0,31.0,clear
claude-haiku-4.5,run2,NĐ Ô Môn I,Nhà máy Nhiệt điện Khánh Hòa Mở rộng,nđ o mon 1,nha may nhiet đien khanh hoa mo rong,70.0,660.0,200.0,69.7,clear
claude-haiku-4.5,run2,Phả Lại 1,Nhà máy Nhiệt điện Bà Rịa–Vũng Tàu Mở rộng,pha lai 1,nha may nhiet đien ba ria–vung tau mo rong,58.8,440.0,200.0,54.5,clear
claude-haiku-4.5,run2,Phả Lại 2,Nhà máy Nhiệt điện Thừa Thiên–Huế Mở rộng,pha lai 2,nha may nhiet đien thua thien–hue mo rong,58.8,600.0,200.0,66.7,clear
claude-haiku-4.5,run2,Phả Lại 3,Nhà máy Nhiệt điện Sóc Trăng Mở rộng,pha lai 3,nha may nhiet đien soc trang mo rong,58.8,660.0,200.0,69.7,clear
claude-haiku-4.5,run2,Son Dong,Nhà máy Nhiệt điện Vĩnh Long Mở rộng,son dong,nha may nhiet đien vinh long mo rong,71.4,220.0,200.0,9.1,clear
claude-haiku-4.5,run2,TBKHH Bà Rịa 1,Nhà máy Nhiệt điện Long An,ba ria 1,nha may nhiet đien long an,50.0,169.0,200.0,18.3,clear
claude-haiku-4.5,run2,TBKHH Bà Rịa 2,Nhà máy Nhiệt điện Hưng Yên Mở rộng,ba ria 2,nha may nhiet đien hung yen mo rong,50.0,175.0,200.0,14.3,clear
claude-haiku-4.5,run2,TBKHH Nhơn Trạch I,Nhà máy Nhiệt điện Hậu Giang,nhon trach 1,nha may nhiet đien hau giang,50.0,465.0,200.0,57.0,clear
claude-haiku-4.5,run2,TBKHH Phú Mỹ 2.1,Nhà máy Nhiệt điện Tây Bắc Mở rộng,phu my 2.1,nha may nhiet đien tay bac mo rong,55.6,499.0,200.0,59.9,clear
claude-haiku-4.5,run2,TBKHH Phú Mỹ 2.1 MR,Nhà máy Nhiệt điện Cà Mau Mở rộng,phu my 2.1 mr,nha may nhiet đien ca mau mo rong,47.6,450.0,200.0,55.6,clear
claude-haiku-4.5,run2,TBKHH Phú Mỹ 2.2,Nhà máy Nhiệt điện Quảng Nam,phu my 2.2,nha may nhiet đien quang nam,55.6,740.0,200.0,73.0,clear
claude-haiku-4.5,run2,TBKHH Phú Mỹ 4,Nhà máy Nhiệt điện Hà Tĩnh Mở rộng,phu my 4,nha may nhiet đien ha tinh mo rong,62.5,468.0,200.0,57.3,clear
claude-haiku-4.5,run2,TBKHH Ô Môn I,Nhà máy Nhiệt điện Kiên Giang,o mon 1,nha may nhiet đien kien giang,42.9,660.0,200.0,69.7,clear
claude-haiku-4.5,run2,Thang Long,Nhà máy Nhiệt điện Hồ Chí Minh Mở rộng,thang long,nha may nhiet đien ho chi minh mo rong,53.3,600.0,200.0,66.7,clear
claude-haiku-4.5,run2,Uong Bi I,Nhà máy Nhiệt điện Tiền Giang Mở rộng,uong bi 1,nha may nhiet đien tien giang mo rong,50.0,105.0,200.0,90.5,clear
claude-haiku-4.5,run2,Uong Bi I extension,Nhà máy Nhiệt điện Hà Nội Mở rộng,uong bi 1 extension,nha may nhiet đien ha noi mo rong,42.1,300.0,200.0,33.3,clear
claude-haiku-4.5,run2,Uong Bi II extension,Nhà máy Nhiệt điện Phú Yên Mở rộng,uong bi 2 extension,nha may nhiet đien phu yen mo rong,38.9,330.0,200.0,39.4,clear
claude-haiku-4.5,run2,Vedan Vietnam Cogeneration power station,Nhà máy Nhiệt điện Hà Nội,vedan vietnam cogeneration power station,nha may nhiet đien ha noi,44.0,60.0,100.0,66.7,clear
claude-haiku-4.5,run2,Vinh Tan 4 extension,Nhà máy Nhiệt điện Khánh Hòa,vinh tan 4 extension,nha may nhiet đien khanh hoa,47.4,600.0,200.0,66.7,clear
claude-haiku-4.5,run3,An Khánh 1,Nhà máy Nhiệt điện Quảng Ngãi,an khanh 1,nha may nhiet đien quang ngai,57.1,116.0,200.0,72.4,clear
claude-haiku-4.5,run3,Bà Rịa GT,Nhà máy Nhiệt điện Hồ Chí Minh Mở rộng,ba ria gt,nha may nhiet đien ho chi minh mo rong,47.1,46.0,100.0,117.4,clear
claude-haiku-4.5,run3,Cao Ngạn,Nhà máy Nhiệt điện Phú Yên,cao ngan,nha may nhiet đien phu yen,50.0,114.0,200.0,75.4,clear
claude-haiku-4.5,run3,Cong Thanh,Nhà máy Nhiệt điện Phú Mỹ 2,cong thanh,nha may nhiet đien phu my 2,50.0,600.0,600.0,0.0,clear
claude-haiku-4.5,run3,Cẩm Phả 1,Nhà máy Nhiệt điện Thừa Thiên–Huế,cam pha 1,nha may nhiet đien thua thien–hue,47.1,340.0,200.0,41.2,clear
claude-haiku-4.5,run3,Cẩm Phả 2,Nhà máy Nhiệt điện Khánh Hòa,cam pha 2,nha may nhiet đien khanh hoa,50.0,340.0,200.0,41.2,clear
claude-haiku-4.5,run3,Dong Nai Formosa,Nhà máy Nhiệt điện Tiền Giang,dong nai formosa,nha may nhiet đien tien giang,45.5,150.0,200.0,33.3,clear
claude-haiku-4.5,run3,Dong Nai Formosa,Nhà máy Nhiệt điện Long An,dong nai formosa,nha may nhiet đien long an,45.5,300.0,200.0,33.3,clear
claude-haiku-4.5,run3,Duc Giang - Lao Cai Chemical,Nhà máy Nhiệt điện Hồ Chí Minh,duc giang - lao cai chemical,nha may nhiet đien ho chi minh,48.9,100.0,100.0,0.0,clear
claude-haiku-4.5,run3,Hai Ha CHP Phase 1,Nhà máy Nhiệt điện Hậu Giang,hai ha chp phase 1,nha may nhiet đien hau giang,50.0,150.0,200.0,33.3,clear
claude-haiku-4.5,run3,Hai Ha CHP Phase 4,Nhà máy Nhiệt điện Phú Mỹ Mở rộng,hai ha chp phase 4,nha may nhiet đien phu my mo rong,50.0,600.0,600.0,0.0,clear
claude-haiku-4.5,run3,Lee & Man,Nhà máy Nhiệt điện Sóc Trăng,lee & man,nha may nhiet đien soc trang,44.4,125.0,200.0,60.0,clear
claude-haiku-4.5,run3,Na Dương 1,Nhà máy Nhiệt điện Đồng Nai,na duong 1,nha may nhiet đien đong nai,60.0,110.0,200.0,81.8,clear
claude-haiku-4.5,run3,Na Dương 2,Nhà máy Nhiệt điện Bà Rịa–Vũng Tàu,na duong 2,nha may nhiet đien ba ria–vung tau,50.0,110.0,200.0,81.8,clear
claude-haiku-4.5,run3,Nghi Son 1,Nhà máy Nhiệt điện Tây Bắc Mở rộng,nghi son 1,nha may nhiet đien tay bac mo rong,50.0,600.0,600.0,0.0,clear
claude-haiku-4.5,run3,Nong Son 1,Nhà máy Nhiệt điện Cạn Thơ,nong son 1,nha may nhiet đien can tho,42.1,30.0,100.0,233.3,clear
claude-haiku-4.5,run3,NĐ Hiệp Phước,Nhà máy Nhiệt điện Vĩnh Long,nđ hiep phuoc,nha may nhiet đien vinh long,46.2,310.0,200.0,35.5,clear
claude-haiku-4.5,run3,NĐ Thủ Đức,Nhà máy Nhiệt điện Ninh Thuận,nđ thu đuc,nha may nhiet đien ninh thuan,55.6,290.0,200.0,31.0,clear
claude-haiku-4.5,run3,Phả Lại 2,Nhà máy Nhiệt điện Ninh Bình Mở rộng,pha lai 2,nha may nhiet đien ninh binh mo rong,58.8,600.0,600.0,0.0,clear
claude-haiku-4.5,run3,Son Dong,Nhà máy Nhiệt điện Hưng Yên,son dong,nha may nhiet đien hung yen,50.0,220.0,200.0,9.1,clear
claude-haiku-4.5,run3,TBKHH Bà Rịa 1,Nhà máy Nhiệt điện Tây Bắc,ba ria 1,nha may nhiet đien tay bac,50.0,169.0,200.0,18.3,clear
claude-haiku-4.5,run3,TBKHH Bà Rịa 2,Nhà máy Nhiệt điện Kiên Giang,ba ria 2,nha may nhiet đien kien giang,50.0,175.0,200.0,14.3,clear
claude-haiku-4.5,run3,Thang Long,Nhà máy Nhiệt điện Vĩnh Tân 5,thang long,nha may nhiet đien vinh tan 5,53.3,600.0,600.0,0.0,clear
claude-haiku-4.5,run3,Uong Bi I,Nhà máy Nhiệt điện Hà Nội Mở rộng,uong bi 1,nha may nhiet đien ha noi mo rong,50.0,105.0,100.0,4.8,clear
claude-haiku-4.5,run3,Uong Bi I extension,Nhà máy Nhiệt điện Cà Mau,uong bi 1 extension,nha may nhiet đien ca mau,37.8,300.0,200.0,33.3,clear
claude-haiku-4.5,run3,Uong Bi II extension,Nhà máy Nhiệt điện Đà Nẵng,uong bi 2 extension,nha may nhiet đien đa nang,37.8,330.0,200.0,39.4,clear
claude-haiku-4.5,run3,Vedan Vietnam Cogeneration power station,Nhà máy Nhiệt điện Hà Nội,vedan vietnam cogeneration power station,nha may nhiet đien ha noi,44.0,60.0,100.0,66.7,clear
claude-haiku-4.5,run4,An Khánh - Bac Giang,Nhà máy Nhiệt điện Bình Định Mở rộng,an khanh - bac giang,nha may nhiet đien binh đinh mo rong,50.0,650.0,200.0,69.2,clear
claude-haiku-4.5,run4,An Khánh 1,Nhà máy Nhiệt điện Đồng Nai,an khanh 1,nha may nhiet đien đong nai,57.1,116.0,200.0,72.4,clear
claude-haiku-4.5,run4,Bà Rịa GT,Nhà máy Nhiệt điện Hồ Chí Minh,ba ria gt,nha may nhiet đien ho chi minh,47.1,46.0,100.0,117.4,clear
claude-haiku-4.5,run4,Cam Pha 3,Nhà máy Nhiệt điện Tây Bắc,cam pha 3,nha may nhiet đien tay bac,47.1,440.0,200.0,54.5,clear
claude-haiku-4.5,run4,Cao Ngạn,Nhà máy Nhiệt điện Ninh Thuận,cao ngan,nha may nhiet đien ninh thuan,50.0,114.0,200.0,75.4,clear
claude-haiku-4.5,run4,Cong Thanh,Nhà máy Nhiệt điện Tiền Giang,cong thanh,nha may nhiet đien tien giang,50.0,600.0,200.0,66.7,clear
claude-haiku-4.5,run4,Cẩm Phả 1,Nhà máy Nhiệt điện Hải Dương,cam pha 1,nha may nhiet đien hai duong,47.1,340.0,200.0,41.2,clear
claude-haiku-4.5,run4,Cẩm Phả 2,Nhà máy Nhiệt điện Ninh Thuận Mở rộng,cam pha 2,nha may nhiet đien ninh thuan mo rong,47.1,340.0,200.0,41.2,clear
claude-haiku-4.5,run4,Dong Nai Formosa,Nhà máy Nhiệt điện Long An Mở rộng,dong nai formosa,nha may nhiet đien long an mo rong,60.0,150.0,200.0,33.3,clear
claude-haiku-4.5,run4,Dong Nai Formosa,Nhà máy Nhiệt điện Đà Nẵng Mở rộng,dong nai formosa,nha may nhiet đien đa nang mo rong,50.0,300.0,200.0,33.3,clear
claude-haiku-4.5,run4,Duc Giang - Lao Cai Chemical,Nhà máy Nhiệt điện Quảng Ngãi Mở rộng,duc giang - lao cai chemical,nha may nhiet đien quang ngai mo rong,40.0,100.0,200.0,100.0,clear
claude-haiku-4.5,run4,Duyen Hai 3 Extension,Nhà máy Nhiệt điện Cà Mau,duyen hai 3 extension,nha may nhiet đien ca mau,46.2,660.0,200.0,69.7,clear
claude-haiku-4.5,run4,Formosa HT2,Nhà máy Nhiệt điện Phú Mỹ 2,formosa ht2,nha may nhiet đien phu my 2,45.5,650.0,600.0,7.7,clear
claude-haiku-4.5,run4,Ha Tinh Formosa Plastics Steel Complex,Nhà máy Nhiệt điện Thừa Thiên–Huế,ha tinh formosa plastics steel complex,nha may nhiet đien thua thien–hue,41.9,450.0,200.0,55.6,clear
claude-haiku-4.5,run4,Ha Tinh Formosa Plastics Steel Complex,Nhà máy Nhiệt điện Sóc Trăng,ha tinh formosa plastics steel complex,nha may nhiet đien soc trang,46.5,450.0,200.0,55.6,clear
claude-haiku-4.5,run4,Hai Ha CHP Phase 1,Nhà máy Nhiệt điện Đồng Nai Mở rộng,hai ha chp phase 1,nha may nhiet đien đong nai mo rong,50.0,150.0,200.0,33.3,clear
claude-haiku-4.5,run4,Hai Ha CHP Phase 3,Nhà máy Nhiệt điện Quảng Ngãi,hai ha chp phase 3,nha may nhiet đien quang ngai,50.0,600.0,200.0,66.7,clear
claude-haiku-4.5,run4,Hai Ha CHP Phase 4,Nhà máy Nhiệt điện Phú Mỹ Mở rộng,hai ha chp phase 4,nha may nhiet đien phu my mo rong,50.0,600.0,600.0,0.0,clear
claude-haiku-4.5,run4,Hai Phong 2,Nhà máy Nhiệt điện Vĩnh Tân Mở rộng,hai phong 2,nha may nhiet đien vinh tan mo rong,50.0,600.0,600.0,0.0,clear
claude-haiku-4.5,run4,Lee & Man,Nhà máy Nhiệt điện Đà Nẵng,lee & man,nha may nhiet đien đa nang,55.6,125.0,200.0,60.0,clear
claude-haiku-4.5,run4,Mao Khe,Nhà máy Nhiệt điện Phú Yên,mao khe,nha may nhiet đien phu yen,57.1,440.0,200.0,54.5,clear
claude-haiku-4.5,run4,Na Dương 1,Nhà máy Nhiệt điện Vĩnh Long,na duong 1,nha may nhiet đien vinh long,58.8,110.0,200.0,81.8,clear
claude-haiku-4.5,run4,Na Dương 2,Nhà máy Nhiệt điện Bà Rịa–Vũng Tàu,na duong 2,nha may nhiet đien ba ria–vung tau,50.0,110.0,200.0,81.8,clear
claude-haiku-4.5,run4,Nghi Son 1,Nhà máy Nhiệt điện Hưng Yên,nghi son 1,nha may nhiet đien hung yen,50.0,600.0,200.0,66.7,clear
claude-haiku-4.5,run4,Nong Son 1,Nhà máy Nhiệt điện Bến Tre Mở rộng,nong son 1,nha may nhiet đien ben tre mo rong,50.0,30.0,200.0,566.7,clear
claude-haiku-4.5,run4,NĐ Hiệp Phước,Nhà máy Nhiệt điện Kiên Giang Mở rộng,nđ hiep phuoc,nha may nhiet đien kien giang mo rong,40.0,310.0,200.0,35.5,clear
claude-haiku-4.5,run4,NĐ LNG miền Bắc,Nhà máy Nhiệt điện Cạn Thơ,nđ lng mien bac,nha may nhiet đien can tho,53.3,0.0,100.0,,clear
claude-haiku-4.5,run4,NĐ Thủ Đức,Nhà máy Nhiệt điện Hậu Giang Mở rộng,nđ thu đuc,nha may nhiet đien hau giang mo rong,50.0,290.0,200.0,31.0,clear
claude-haiku-4.5,run4,NĐ Ô Môn I,Nhà máy Nhiệt điện Khánh Hòa Mở rộng,nđ o mon 1,nha may nhiet đien khanh hoa mo rong,70.0,660.0,200.0,69.7,clear
claude-haiku-4.5,run4,Phả Lại 1,Nhà máy Nhiệt điện Bà Rịa–Vũng Tàu Mở rộng,pha lai 1,nha may nhiet đien ba ria–vung tau mo rong,58.8,440.0,200.0,54.5,clear
claude-haiku-4.5,run4,Phả Lại 2,Nhà máy Nhiệt điện Thừa Thiên–Huế Mở rộng,pha lai 2,nha may nhiet đien thua thien–hue mo rong,58.8,600.0,200.0,66.7,clear
claude-haiku-4.5,run4,Phả Lại 3,Nhà máy Nhiệt điện Sóc Trăng Mở rộng,pha lai 3,nha may nhiet đien soc trang mo rong,58.8,660.0,200.0,69.7,clear
claude-haiku-4.5,run4,Son Dong,Nhà máy Nhiệt điện Vĩnh Long Mở rộng,son dong,nha may nhiet đien vinh long mo rong,71.4,220.0,200.0,9.1,clear
claude-haiku-4.5,run4,TBKHH Bà Rịa 1,Nhà máy Nhiệt điện Long An,ba ria 1,nha may nhiet đien long an,50.0,169.0,200.0,18.3,clear
claude-haiku-4.5,run4,TBKHH Bà Rịa 2,Nhà máy Nhiệt điện Hưng Yên Mở rộng,ba ria 2,nha may nhiet đien hung yen mo rong,50.0,175.0,200.0,14.3,clear
claude-haiku-4.5,run4,TBKHH Nhơn Trạch I,Nhà máy Nhiệt điện Hậu Giang,nhon trach 1,nha may nhiet đien hau giang,50.0,465.0,200.0,57.0,clear
claude-haiku-4.5,run4,TBKHH Phú Mỹ 2.1,Nhà máy Nhiệt điện Tây Bắc Mở rộng,phu my 2.1,nha may nhiet đien tay bac mo rong,55.6,499.0,200.0,59.9,clear
claude-haiku-4.5,run4,TBKHH Phú Mỹ 2.1 MR,Nhà máy Nhiệt điện Cà Mau Mở rộng,phu my 2.1 mr,nha may nhiet đien ca mau mo rong,47.6,450.0,200.0,55.6,clear
claude-haiku-4.5,run4,TBKHH Phú Mỹ 2.2,Nhà máy Nhiệt điện Quảng Nam,phu my 2.2,nha may nhiet đien quang nam,55.6,740.0,200.0,73.0,clear
claude-haiku-4.5,run4,TBKHH Phú Mỹ 4,Nhà máy Nhiệt điện Hà Tĩnh Mở rộng,phu my 4,nha may nhiet đien ha tinh mo rong,62.5,468.0,200.0,57.3,clear
claude-haiku-4.5,run4,TBKHH Ô Môn I,Nhà máy Nhiệt điện Kiên Giang,o mon 1,nha may nhiet đien kien giang,42.9,660.0,200.0,69.7,clear
claude-haiku-4.5,run4,Thang Long,Nhà máy Nhiệt điện Hồ Chí Minh Mở rộng,thang long,nha may nhiet đien ho chi minh mo rong,53.3,600.0,200.0,66.7,clear
claude-haiku-4.5,run4,Uong Bi I,Nhà máy Nhiệt điện Tiền Giang Mở rộng,uong bi 1,nha may nhiet đien tien giang mo rong,50.0,105.0,200.0,90.5,clear
claude-haiku-4.5,run4,Uong Bi I extension,Nhà máy Nhiệt điện Hà Nội Mở rộng,uong bi 1 extension,nha may nhiet đien ha noi mo rong,42.1,300.0,200.0,33.3,clear
claude-haiku-4.5,run4,Uong Bi II extension,Nhà máy Nhiệt điện Phú Yên Mở rộng,uong bi 2 extension,nha may nhiet đien phu yen mo rong,38.9,330.0,200.0,39.4,clear
claude-haiku-4.5,run4,Vedan Vietnam Cogeneration power station,Nhà máy Nhiệt điện Hà Nội,vedan vietnam cogeneration power station,nha may nhiet đien ha noi,44.0,60.0,100.0,66.7,clear
