clean_name,display_name,n_appearances,n_models,n_arms,models,arms,fuels,statuses,capacities,provinces,cur_score,cur_ref,new_score,new_ref,category
kien giang 1,Nhiệt điện Kiên Giang 1,7,4,4,claude-opus-4-6;gpt-5.5;gpt-5.5-2026-04-23;mistral-large-2512,arm1;arm2;arm3;arm4,imported gas;unknown,cancelled;proposed,750.0,kien giang,100.0,"TBKHH Kiên Giang I, II",100.0,"TBKHH Kiên Giang I, II",matcher_fail_lp_veto
cam pha 1 & 2,Cẩm Phả I & II,7,2,3,claude-opus-4-6;qwen3.7-max-2026-05-20,arm2;arm3;arm4,coal,operational;unknown,600.0;670.0,quang ninh,100.0,Cẩm Phả 1,100.0,Cẩm Phả 1,matcher_fail_lp_veto
kien luong 1,Nhiệt điện Kiên Lương 1,6,4,4,claude-opus-4-6;gpt-5.5;gpt-5.5-2026-04-23;mistral-large-2512,arm1;arm2;arm3;arm4,coal;unknown,cancelled,1200.0;1800.0,kien giang,84.2,Na Dương 1,84.2,Na Dương 1,reference_hole
kien giang 1 & 2,TBKHH Kiên Giang I & II,6,3,3,claude-opus-4-6;gpt-5.5-2026-04-23;qwen3.7-max-2026-05-20,arm1;arm3;arm4,coal;unknown,cancelled;unknown,1500.0,kien giang,92.9,"TBKHH Kiên Giang I, II",92.9,"TBKHH Kiên Giang I, II",matcher_fail_lp_veto
binh dinh 2,Bình Định II,6,3,2,gpt-5.5;gpt-5.5-2026-04-23;mistral-large-2512,arm3;arm4,coal,cancelled;planned;proposed,1200.0;2000.0,binh dinh,100.0,LNG Bình Định,100.0,LNG Bình Định,matcher_fail_lp_veto
nhon trach 3 va 4,Nhiệt điện Nhơn Trạch 3 và 4,6,2,3,gpt-5.5;gpt-5.5-2026-04-23,arm2;arm3;arm4,imported gas,constructing;operational,1624.0,dong nai,100.0,LNG Nhơn Trạch 3,100.0,LNG Nhơn Trạch 3,matcher_fail_lp_veto
dam phu my,Đạm Phú Mỹ,6,2,2,gpt-5.5;mistral-large-2512,arm3;arm4,gas;unknown,operational,21.0,ba ria - vung tau;ba ria–vung tau,85.7,TBKHH Phú Mỹ 1,85.7,TBKHH Phú Mỹ 1,other
phu tho,Phú Thọ,5,3,2,gpt-5.5;gpt-5.5-2026-04-23;mistral-large-2512,arm3;arm4,coal,cancelled;planned;proposed,300.0;600.0,phu tho,72.7,LNG Phú Mỹ 3.1,72.7,LNG Phú Mỹ 3.1,reference_hole
pha lai 1 & 2,Nhiệt điện Phả Lại 1 & 2,5,2,2,mistral-large-2512;qwen3.7-max-2026-05-20,arm2;arm4,coal,operational,1040.0;1800.0;2400.0,hai duong,100.0,Phả Lại 1,100.0,Phả Lại 1,matcher_fail_lp_veto
kim son,Kim Sơn,5,2,2,gpt-5.5-2026-04-23;mistral-large-2512,arm3;arm4,coal,cancelled;planned;proposed,3000.0,ninh binh,83.3,LNG Nghi Sơn (Thanh Hóa),83.3,LNG Nghi Sơn (Thanh Hóa),reference_hole
kien luong 3,Nhiệt điện Kiên Lương 3,4,3,3,gpt-5.5;gpt-5.5-2026-04-23;mistral-large-2512,arm1;arm2;arm3,coal,cancelled;proposed,1200.0;2000.0,kien giang,73.7,Na Dương 1,73.7,Na Dương 1,reference_hole
bao dai,NĐ Bảo Đại,4,3,2,gpt-5.5;gpt-5.5-2026-04-23;mistral-large-2512,arm3;arm4,coal,cancelled;planned;proposed,600.0,bac bo;bac bo unspecified;bac giang / unclear;quang ninh,71.4,Duc Giang - Lao Cai Chemical,71.4,Duc Giang - Lao Cai Chemical,reference_hole
cong thanh,LNG Công Thanh,4,2,4,claude-opus-4-6;gpt-5.5-2026-04-23,arm1;arm2;arm3;arm4,coal;unknown,proposed;unknown,1500.0,thanh hoa,100.0,Cong Thanh,100.0,Cong Thanh,matcher_fail_lp_veto
kien luong 2,Nhiệt điện Kiên Lương 2,4,2,3,gpt-5.5;gpt-5.5-2026-04-23,arm1;arm2;arm3,coal,cancelled,1200.0,kien giang,84.2,Na Dương 2,84.2,Na Dương 2,reference_hole
hoa phat 2,NĐ Hòa Phát II,4,2,2,claude-opus-4-6;qwen3.7-max-2026-05-20,arm3;arm4,coal;gas;unknown,proposed;unknown,300.0,ha tinh;quang ngai,82.4,Cẩm Phả 2,82.4,Cẩm Phả 2,reference_hole
luc nam,NĐ Lục Nam,4,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,coal,cancelled;unknown,100.0,bac giang,80.0,LNG Cà Ná,80.0,LNG Cà Ná,reference_hole
uong bi 3,NĐ Uông Bí III,4,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,coal,cancelled,1200.0,quang ninh,94.1,Uong Bi I,94.1,Uong Bi I,matcher_fail_lp_veto
yen hung,NĐ Yên Hưng,4,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,coal,cancelled,1200.0,quang ninh,75.0,TBKHH miền Trung I,75.0,TBKHH miền Trung I,reference_hole
can tho,"NĐ Cần Thơ (S4, dầu)",3,2,2,claude-opus-4-6;qwen3.7-max-2026-05-20,arm3;arm4,gas;unknown,operational;unknown,33.0,can tho,100.0,NĐ Cần Thơ,100.0,NĐ Cần Thơ,matcher_fail_lp_veto
thu duc,TBK Thủ Đức,3,2,2,claude-opus-4-6;qwen3.7-max-2026-05-20,arm3;arm4,gas;oil;unknown,operational,113.0;114.0,tp ho chi minh;tp.hcm,100.0,NĐ Thủ Đức,100.0,NĐ Thủ Đức,matcher_fail_lp_veto
vedan / ve dan,NĐ Vedan / Vê Đan,3,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,unknown,operational;unknown,60.0;72.0,dong nai,72.0,Vedan Vietnam Cogeneration power station,72.0,Vedan Vietnam Cogeneration power station,reference_hole
than an giang,NĐ Than An Giang,3,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,coal,cancelled,2000.0,an giang,85.7,LNG Mỹ Giang,85.7,LNG Mỹ Giang,likely_hallucination
duyen hai 1 & 3,Nhiệt điện Duyên Hải 1 & 3,3,1,2,mistral-large-2512,arm1;arm2,coal,operational,2488.0;2490.0,tra vinh,100.0,Duyen Hai 1,100.0,Duyen Hai 1,matcher_fail_lp_veto
dien khi nhon trach 3 & 4,Nhà máy Điện khí Nhơn Trạch 3 & 4,3,1,1,qwen3.7-max-2026-05-20,arm1,imported gas,constructing,1600.0;1760.0,dong nai,100.0,LNG Nhơn Trạch 3,100.0,LNG Nhơn Trạch 3,matcher_fail_lp_veto
dien khi ba ria,Nhà máy Điện khí Bà Rịa,3,1,1,qwen3.7-max-2026-05-20,arm1,unknown,operational,240.0;276.0,ba ria - vung tau,85.7,TBKHH Bà Rịa 2,85.7,TBKHH Bà Rịa 2,statistical_borderline
son my 1 & 2,Sơn Mỹ I & II,3,1,2,qwen3.7-max-2026-05-20,arm2;arm4,imported gas,proposed,3750.0;4500.0,binh thuan,100.0,LNG Sơn Mỹ I,100.0,LNG Sơn Mỹ I,matcher_fail_lp_veto
hai ha 2–4,NĐ đồng phát Hải Hà 2–4,3,1,1,claude-opus-4-6,arm3,coal;unknown,proposed;unknown,1800.0,quang ninh,82.4,Hai Ha CHP Phase 1,82.4,Hai Ha CHP Phase 1,statistical_borderline
phu yen,Phú Yên,3,1,2,mistral-large-2512,arm3;arm4,coal,planned;proposed,4000.0,phu yen,76.9,LNG Phú Mỹ 3.1,76.9,LNG Phú Mỹ 3.1,likely_hallucination
bourbon,Bourbon,3,1,1,mistral-large-2512,arm3,oil,operational;retired,24.0,ba ria - vung tau,60.0,Uong Bi I,60.0,Uong Bi I,other
mien trung 3,TBKHH Miền Trung III,3,1,1,gpt-5.5,arm3,unknown,cancelled,750.0,quang nam / quang ngai;quang nam / quang ngai unresolved;quang ngai / quang tri uncertain,95.7,TBKHH miền Trung I,95.7,TBKHH miền Trung I,matcher_fail_lp_veto
mien trung 1 & 2,Miền Trung I & II,3,1,1,qwen3.7-max-2026-05-20,arm4,gas;unknown,proposed;unknown,1500.0,quang nam;quang tri / quang ngai,100.0,TBKHH miền Trung I,100.0,TBKHH miền Trung I,matcher_fail_lp_veto
dien ba ria,Nhà máy điện Bà Rịa,2,2,1,gpt-5.5;qwen3.7-max-2026-05-20,arm1,unknown,operational,310.0;389.0,ba ria - vung tau,85.7,TBKHH Bà Rịa 2,85.7,TBKHH Bà Rịa 2,statistical_borderline
hai ha 1-4,Hải Hà I-IV (đang phát),2,2,2,mistral-large-2512;qwen3.7-max-2026-05-20,arm3;arm4,coal,operational;proposed,1800.0;2100.0,quang ninh,82.4,Hai Ha CHP Phase 1,82.4,Hai Ha CHP Phase 1,statistical_borderline
an giang,NĐ An Giang,2,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,coal,cancelled;unknown,2000.0,an giang,87.5,An Khánh - Bac Giang,87.5,An Khánh - Bac Giang,statistical_borderline
kien luong 1–3,NĐ Kiên Lương I–III,2,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,coal,cancelled;unknown,1200.0;3600.0,kien giang,80.0,Na Dương 1,80.0,Na Dương 1,reference_hole
can tho s4,NĐ Cần Thơ S4,2,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,unknown,operational;unknown,33.0,can tho,100.0,NĐ Cần Thơ,100.0,NĐ Cần Thơ,matcher_fail_lp_veto
than ve dan,Nhiệt điện than Vê Đan,2,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,coal,operational,60.0,dong nai,72.7,"LNG Tân Thuận – Đầm Dơi, Cà Mau",72.7,"LNG Tân Thuận – Đầm Dơi, Cà Mau",statistical_borderline
formosa ha tinh hien huu,Nhiệt điện Formosa Hà Tĩnh hiện hữu,2,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,coal,operational,150.0,ha tinh,100.0,LNG Hà Tĩnh,100.0,LNG Hà Tĩnh,matcher_fail_lp_veto
uong bi ext 2,Uông Bí Ext 2,2,2,1,claude-opus-4-6;qwen3.7-max-2026-05-20,arm4,coal;unknown,operational;unknown,330.0,quang ninh,94.1,Uong Bi I,94.1,Uong Bi I,matcher_fail_lp_veto
an khanh 2,NĐ An Khánh II,2,2,1,gpt-5.5-2026-04-23;qwen3.7-max-2026-05-20,arm4,coal,cancelled;operational,300.0,bac giang/thai nguyen;thai nguyen,94.7,An Khánh - Bac Giang,94.7,An Khánh - Bac Giang,matcher_fail_lp_veto
cong thanh lng,Công Thanh LNG,2,1,1,claude-opus-4-6,arm1,imported gas,proposed,1500.0;600.0,thanh hoa,100.0,Cong Thanh,100.0,Cong Thanh,matcher_fail_lp_veto
lng cong thanh,Nhiệt điện LNG Công Thanh,2,1,1,mistral-large-2512,arm1,imported gas;unknown,proposed;unknown,1500.0,thanh hoa,100.0,Cong Thanh,100.0,Cong Thanh,matcher_fail_lp_veto
dien hat nhan ninh thuan 1,Nhà máy điện hạt nhân Ninh Thuận 1,2,1,2,mistral-large-2512,arm1;arm2,unknown,planned;unknown,2400.0,ninh thuan,80.0,Vinh Tan 1,80.0,Vinh Tan 1,other
dien hat nhan ninh thuan 2,Nhà máy điện hạt nhân Ninh Thuận 2,2,1,2,mistral-large-2512,arm1;arm2,unknown,planned;proposed,2400.0;4000.0,ninh thuan,80.0,Vinh Tan 1,80.0,Vinh Tan 1,other
cai lan,Nhiệt điện Cái Lân,2,1,1,gpt-5.5-2026-04-23,arm2,coal;unknown,operational,39.0,quang ninh,85.7,LNG Hải Lăng (2 and 3),85.7,LNG Hải Lăng (2 and 3),reference_hole
nhon trach 1 & 2,Nhơn Trạch 1 & 2,2,1,2,qwen3.7-max-2026-05-20,arm2;arm4,gas;unknown,operational,1200.0;1215.0,dong nai,100.0,TBKHH Nhơn Trạch I,100.0,TBKHH Nhơn Trạch I,matcher_fail_lp_veto
thai binh,LNG Thái Bình,2,1,2,mistral-large-2512,arm3;arm4,imported gas,planned;proposed,1500.0,thai binh,100.0,LNG Thái Bình,100.0,LNG Thái Bình,matcher_fail_lp_veto
an khanh 2 / bac giang,NĐ An Khánh II / Bắc Giang,2,1,1,gpt-5.5,arm3,coal,constructing,650.0,bac giang,94.7,An Khánh 1,94.7,An Khánh 1,matcher_fail_lp_veto
than binh dinh 1,NĐ Than Bình Định I,2,1,1,gpt-5.5,arm3,coal,cancelled,1200.0,binh dinh,100.0,LNG Bình Định,100.0,LNG Bình Định,matcher_fail_lp_veto
than mien bac 1000 mw,NĐ Than miền Bắc 1000 MW,2,1,1,gpt-5.5,arm3,coal,cancelled,2000.0,"bac bo unspecified;northern vietnam, unspecified",83.3,NĐ LNG miền Bắc,83.3,NĐ LNG miền Bắc,statistical_borderline
vinh tan vi,NĐ Vĩnh Tân VI,2,1,1,gpt-5.5,arm3,coal,cancelled,1200.0,binh thuan,94.7,Vinh Tan 1,94.7,Vinh Tan 1,matcher_fail_lp_veto
than bao dai,Nhiệt điện than Bảo Đại,2,1,1,gpt-5.5-2026-04-23,arm4,coal,cancelled,600.0,bac bo unspecified;bac giang,66.7,LNG Chân Mây,66.7,LNG Chân Mây,reference_hole
tuabin khi ba ria,NĐ Tuabin khí Bà Rịa,1,1,1,claude-opus-4-6,arm1,unknown,operational,389.0,ba ria – vung tau,85.7,TBKHH Bà Rịa 2,85.7,TBKHH Bà Rịa 2,statistical_borderline
dien khi ca mau 3 lng,Điện khí Cà Mau 3 LNG,1,1,1,claude-opus-4-6,arm1,imported gas,cancelled,1500.0,ca mau,87.5,LNG Cà Mau 1,87.5,LNG Cà Mau 1,statistical_borderline
hoa phat hai duong,Nhiệt điện Hòa Phát Hải Dương,1,1,1,claude-opus-4-6,arm1,coal,operational,120.0,hai duong,100.0,Hai Duong,100.0,Hai Duong,reference_hole
du phong lng qh8,Dự phòng LNG QH8 (2031–2035),1,1,1,claude-opus-4-6,arm1,imported gas,proposed,7500.0,various,70.6,Hải Phòng,70.6,Hải Phòng,statistical_borderline
duyen hai 1,Nhiệt điện Duyên Hải 1 (mở rộng),1,1,1,mistral-large-2512,arm1,coal,operational,622.5,tra vinh,100.0,Duyen Hai 1,100.0,Duyen Hai 1,matcher_fail_lp_veto
soc trang,Nhiệt điện Sóc Trăng,1,1,1,mistral-large-2512,arm1,unknown,proposed,9600.0,soc trang,62.5,An Khánh - Bac Giang,62.5,An Khánh - Bac Giang,statistical_borderline
na duong 2,Nhiệt điện Na Dương 2 (mở rộng),1,1,1,mistral-large-2512,arm1,coal,constructing,300.0,lang son,100.0,Na Dương 2,100.0,Na Dương 2,matcher_fail_lp_veto
dien khi lng son my 1 & 2,Điện khí LNG Sơn Mỹ I & II,1,1,1,mistral-large-2512,arm1,imported gas,unknown,3000.0,binh thuan,100.0,LNG Sơn Mỹ I,100.0,LNG Sơn Mỹ I,matcher_fail_lp_veto
nam mu,Nhiệt điện Nậm Mu,1,1,1,mistral-large-2512,arm1,coal,operational,100.0,dien bien,80.0,Nam Dinh 1,80.0,Nam Dinh 1,statistical_borderline
khe bo,Nhiệt điện Khe Bố,1,1,1,mistral-large-2512,arm1,coal,operational,200.0,nghe an,66.7,Mao Khe,66.7,Mao Khe,statistical_borderline
mong duong,Nhiệt điện Mông Dương,1,1,1,mistral-large-2512,arm1,coal,operational,1080.0,quang ninh,100.0,Mong Duong 1,100.0,Mong Duong 1,matcher_fail_lp_veto
duyen hai 4,Nhiệt điện Duyên Hải 4,1,1,1,mistral-large-2512,arm1,coal,operational,600.0,tra vinh,95.2,Duyen Hai 1,95.2,Duyen Hai 1,matcher_fail_lp_veto
lng soc trang,Nhiệt điện LNG Sóc Trăng,1,1,1,mistral-large-2512,arm1,imported gas,proposed,9600.0,soc trang,85.7,LNG Long Sơn,85.7,LNG Long Sơn,statistical_borderline
lng ca mau 3,Nhiệt điện LNG Cà Mau 3,1,1,1,gpt-5.5,arm1,imported gas,proposed,1500.0,ca mau,88.9,"LNG Cà Mau 2,3",88.9,"LNG Cà Mau 2,3",matcher_fail_normalization
khi ba ria,Nhiệt điện khí Bà Rịa,1,1,1,gpt-5.5,arm1,unknown,operational,389.0,ba ria–vung tau,85.7,TBKHH Bà Rịa 2,85.7,TBKHH Bà Rịa 2,statistical_borderline
dien kien giang 2,Nhà máy điện Kiên Giang 2,1,1,1,gpt-5.5,arm1,unknown,proposed,750.0,kien giang,88.9,"TBKHH Kiên Giang I, II",88.9,"TBKHH Kiên Giang I, II",matcher_fail_normalization
trung tam dien luc mien trung 500 mw,Trung tâm điện lực miền Trung 500 MW,1,1,1,gpt-5.5,arm1,unknown,proposed,500.0,not specified,91.7,TBKHH miền Trung I,91.7,TBKHH miền Trung I,matcher_fail_lp_veto
tuabin khi hon hop phu my chay lng bo sung,Tuabin khí hỗn hợp Phú Mỹ chạy LNG bổ sung,1,1,1,gpt-5.5,arm1,imported gas,operational,0.0,ba ria–vung tau,87.5,TBKHH Phú Mỹ 1,87.5,TBKHH Phú Mỹ 1,statistical_borderline
dien kien giang 1,Nhà máy điện Kiên Giang 1,1,1,1,gpt-5.5,arm1,unknown,proposed,750.0,kien giang,88.9,"TBKHH Kiên Giang I, II",88.9,"TBKHH Kiên Giang I, II",matcher_fail_normalization
dien tra noc,Nhà máy điện Trà Nóc,1,1,1,gpt-5.5,arm1,unknown,operational,193.0,can tho,71.4,LNG Bến Tre,71.4,LNG Bến Tre,statistical_borderline
dien khi lo b – o mon trung tam phu tro,Điện khí Lô B – Ô Môn trung tâm phụ trợ,1,1,1,gpt-5.5,arm1,unknown,proposed,30.0,can tho/kien giang region,85.7,TBKHH Ô Môn I,85.7,TBKHH Ô Môn I,statistical_borderline
trung tam dien luc kien luong giai doan sau,Trung tâm điện lực Kiên Lương giai đoạn sau,1,1,1,gpt-5.5,arm1,coal,cancelled,2000.0,kien giang,70.0,Na Dương 1,70.0,Na Dương 1,reference_hole
dien lng ca mau 3,Điện LNG Cà Mau 3,1,1,1,gpt-5.5,arm1,imported gas,proposed,1500.0,ca mau,88.9,"LNG Cà Mau 2,3",88.9,"LNG Cà Mau 2,3",matcher_fail_normalization
du an o mon 3 & 4,Dự án Nhiệt điện Ô Môn III & IV,1,1,1,qwen3.7-max-2026-05-20,arm1,imported gas,unknown,1500.0,can tho,100.0,TBKHH Ô Môn III,100.0,TBKHH Ô Môn III,matcher_fail_lp_veto
dien khi lo b - o mon,Nhà máy Điện Khí Lô B - Ô Môn,1,1,1,qwen3.7-max-2026-05-20,arm1,unknown,unknown,3000.0,can tho / kien giang,83.3,TBKHH Ô Môn I,83.3,TBKHH Ô Môn I,statistical_borderline
dien nhon trach 3 & 4,Nhà máy Điện Nhơn Trạch 3 & 4,1,1,1,qwen3.7-max-2026-05-20,arm1,imported gas,constructing,1760.0,dong nai,100.0,LNG Nhơn Trạch 3,100.0,LNG Nhơn Trạch 3,matcher_fail_lp_veto
**coal cancelled subtotal**,**Coal Cancelled Subtotal**,1,1,1,claude-opus-4-6,arm2,unknown,unknown,12000.0,,62.5,Cao Ngạn,62.5,Cao Ngạn,statistical_borderline
**coal shelved subtotal**,**Coal Shelved Subtotal**,1,1,1,claude-opus-4-6,arm2,unknown,unknown,7700.0,,60.0,LNG Cà Ná,60.0,LNG Cà Ná,statistical_borderline
**lng pre-con/dev subtotal**,**LNG Pre-con/Dev Subtotal**,1,1,1,claude-opus-4-6,arm2,unknown,unknown,29000.0,,58.8,Long Phú 1,58.8,Long Phú 1,statistical_borderline
**coal operating subtotal**,**Coal Operating Subtotal**,1,1,1,claude-opus-4-6,arm2,unknown,unknown,24804.0,,62.5,LNG Long Sơn,62.5,LNG Long Sơn,statistical_borderline
**lng operating subtotal**,**LNG Operating Subtotal**,1,1,1,claude-opus-4-6,arm2,unknown,unknown,1500.0,,66.7,LNG Long Sơn,66.7,LNG Long Sơn,statistical_borderline
**coal u/c subtotal**,**Coal U/C Subtotal**,1,1,1,claude-opus-4-6,arm2,unknown,unknown,4300.0,,60.0,LNG Cà Ná,60.0,LNG Cà Ná,statistical_borderline
**domestic gas operating subtotal**,**Domestic Gas Operating Subtotal**,1,1,1,claude-opus-4-6,arm2,unknown,unknown,8238.0,,62.5,LNG Long Sơn,62.5,LNG Long Sơn,statistical_borderline
**dom. gas pre-con subtotal**,**Dom. Gas Pre-con Subtotal**,1,1,1,claude-opus-4-6,arm2,unknown,unknown,4990.0,,62.5,LNG Long Sơn,62.5,LNG Long Sơn,statistical_borderline
o mon 3 & 4,Nhiệt điện Ô Môn 3 & 4,1,1,1,mistral-large-2512,arm2,imported gas,proposed,1500.0,can tho,100.0,TBKHH Ô Môn III,100.0,TBKHH Ô Môn III,matcher_fail_lp_veto
dien rac,Nhà máy điện rác,1,1,1,mistral-large-2512,arm2,unknown,operational,150.0,various,80.0,NĐ LNG miền Bắc,80.0,NĐ LNG miền Bắc,statistical_borderline
block b – o mon,Nhiệt điện Block B – Ô Môn,1,1,1,mistral-large-2512,arm2,gas,planned,3000.0,kien giang,83.3,TBKHH Ô Môn I,83.3,TBKHH Ô Môn I,statistical_borderline
dien sinh khoi kcp,Nhà máy điện sinh khối KCP,1,1,1,mistral-large-2512,arm2,unknown,operational,30.0,various,66.7,LNG Bình Định,66.7,LNG Bình Định,statistical_borderline
bot mong duong 2,Nhiệt điện BOT Mông Dương 2,1,1,1,mistral-large-2512,arm2,coal,operational,1244.0,quang ninh,100.0,Mong Duong 2,100.0,Mong Duong 2,matcher_fail_lp_veto
dien sinh khoi,Nhà máy điện sinh khối,1,1,1,mistral-large-2512,arm2,unknown,operational,200.0,various,66.7,LNG Bình Định,66.7,LNG Bình Định,statistical_borderline
dien rac soc son,Nhà máy điện rác Sóc Sơn,1,1,1,mistral-large-2512,arm2,unknown,operational,75.0,ha noi,71.4,LNG Long Sơn,71.4,LNG Long Sơn,statistical_borderline
block b,Nhiệt điện Block B,1,1,1,mistral-large-2512,arm2,unknown,proposed,6900.0,multiple,54.5,Bạc Liêu 1,54.5,Bạc Liêu 1,statistical_borderline
lng quang trach 3,Nhiệt điện LNG Quảng Trạch 3,1,1,1,mistral-large-2512,arm2,imported gas,proposed,1500.0,quang binh,92.3,Quảng Trạch 2,92.3,Quảng Trạch 2,matcher_fail_lp_veto
vinh tan 5,Nhiệt điện Vĩnh Tân 5,1,1,1,gpt-5.5-2026-04-23,arm2,coal,cancelled,1200.0,binh thuan,94.7,Vinh Tan 1,94.7,Vinh Tan 1,matcher_fail_lp_veto
dien khi du hoa phat 2,Điện khí dư Hòa Phát 2,1,1,1,gpt-5.5-2026-04-23,arm2,unknown,proposed,300.0,quang ngai,82.4,Cẩm Phả 2,82.4,Cẩm Phả 2,reference_hole
dien duc giang,Điện đồng phát Đức Giang,1,1,1,gpt-5.5-2026-04-23,arm2,coal,proposed,100.0,lao cai,85.7,LNG Mỹ Giang,85.7,LNG Mỹ Giang,statistical_borderline
ca mau 1 va 2,Nhiệt điện Cà Mau 1 và 2,1,1,1,gpt-5.5-2026-04-23,arm2,unknown,operational,1500.0,ca mau,100.0,LNG Cà Mau 1,100.0,LNG Cà Mau 1,matcher_fail_lp_veto
vung ang 2 & 3,Vung Ang 2 & 3,1,1,1,qwen3.7-max-2026-05-20,arm2,coal,cancelled,2400.0,ha tinh,100.0,Vung Ang 2,100.0,Vung Ang 2,matcher_fail_lp_veto
long phu 2 & 3,Long Phu 2 & 3,1,1,1,qwen3.7-max-2026-05-20,arm2,coal,cancelled,2400.0,soc trang,100.0,Long Phú 2,100.0,Long Phú 2,matcher_fail_lp_veto
thi vai,LNG Thị Vải,1,1,1,qwen3.7-max-2026-05-20,arm2,imported gas,unknown,900.0,ba ria - vung tau,72.7,LNG Thái Bình,72.7,LNG Thái Bình,statistical_borderline
dien ca mau 1 & 2,Nhà máy Điện Cà Mau 1 & 2,1,1,1,qwen3.7-max-2026-05-20,arm2,gas,operational,1420.0,ca mau,100.0,LNG Cà Mau 1,100.0,LNG Cà Mau 1,matcher_fail_lp_veto
dien nhon trach 3 va 4,Nhà máy Điện Nhơn Trạch 3 và 4,1,1,1,qwen3.7-max-2026-05-20,arm2,imported gas,constructing,900.0,dong nai,100.0,LNG Nhơn Trạch 3,100.0,LNG Nhơn Trạch 3,matcher_fail_lp_veto
formosa ht,NĐ Formosa HT (Phase 1),1,1,1,claude-opus-4-6,arm3,unknown,unknown,500.0,ha tinh,100.0,Formosa HT2,100.0,Formosa HT2,matcher_fail_lp_veto
