clean_name,display_name,n_appearances,n_models,n_arms,models,arms,fuels,statuses,capacities,provinces,cur_score,cur_ref,new_score,new_ref,category
than an giang,NĐ Than An Giang,3,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,coal,cancelled,2000.0,an giang,85.7,LNG Mỹ Giang,85.7,LNG Mỹ Giang,likely_hallucination
dien khi ba ria,Nhà máy Điện khí Bà Rịa,3,1,1,qwen3.7-max-2026-05-20,arm1,unknown,operational,240.0;276.0,ba ria - vung tau,85.7,TBKHH Bà Rịa 2,85.7,TBKHH Bà Rịa 2,statistical_borderline
hai ha 2–4,NĐ đồng phát Hải Hà 2–4,3,1,1,claude-opus-4-6,arm3,coal;unknown,proposed;unknown,1800.0,quang ninh,82.4,Hai Ha CHP Phase 1,82.4,Hai Ha CHP Phase 1,statistical_borderline
bourbon,Bourbon,3,1,1,mistral-large-2512,arm3,oil,operational;retired,24.0,ba ria - vung tau,60.0,Uong Bi I,60.0,Uong Bi I,other
phu yen,Phú Yên,3,1,2,mistral-large-2512,arm3;arm4,coal,planned;proposed,4000.0,phu yen,76.9,LNG Phú Mỹ 3.1,76.9,LNG Phú Mỹ 3.1,likely_hallucination
mien trung 3,TBKHH Miền Trung III,3,1,1,gpt-5.5,arm3,unknown,cancelled,750.0,quang nam / quang ngai;quang nam / quang ngai unresolved;quang ngai / quang tri uncertain,95.7,TBKHH miền Trung I,95.7,TBKHH miền Trung I,matcher_fail_lp_veto
dien ba ria,Nhà máy điện Bà Rịa,2,2,1,gpt-5.5;qwen3.7-max-2026-05-20,arm1,unknown,operational,310.0;389.0,ba ria - vung tau,85.7,TBKHH Bà Rịa 2,85.7,TBKHH Bà Rịa 2,statistical_borderline
hai ha 1-4,Hải Hà I-IV (đang phát),2,2,2,mistral-large-2512;qwen3.7-max-2026-05-20,arm3;arm4,coal,operational;proposed,1800.0;2100.0,quang ninh,82.4,Hai Ha CHP Phase 1,82.4,Hai Ha CHP Phase 1,statistical_borderline
can tho s4,NĐ Cần Thơ S4,2,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,unknown,operational;unknown,33.0,can tho,100.0,NĐ Cần Thơ,100.0,NĐ Cần Thơ,matcher_fail_lp_veto
an giang,NĐ An Giang,2,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,coal,cancelled;unknown,2000.0,an giang,87.5,An Khánh - Bac Giang,87.5,An Khánh - Bac Giang,statistical_borderline
formosa ha tinh hien huu,Nhiệt điện Formosa Hà Tĩnh hiện hữu,2,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,coal,operational,150.0,ha tinh,100.0,LNG Hà Tĩnh,100.0,LNG Hà Tĩnh,matcher_fail_lp_veto
than ve dan,Nhiệt điện than Vê Đan,2,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,coal,operational,60.0,dong nai,72.7,"LNG Tân Thuận – Đầm Dơi, Cà Mau",72.7,"LNG Tân Thuận – Đầm Dơi, Cà Mau",statistical_borderline
uong bi ext 2,Uông Bí Ext 2,2,2,1,claude-opus-4-6;qwen3.7-max-2026-05-20,arm4,coal;unknown,operational;unknown,330.0,quang ninh,94.1,Uong Bi I,94.1,Uong Bi I,matcher_fail_lp_veto
an khanh 2,NĐ An Khánh II,2,2,1,gpt-5.5-2026-04-23;qwen3.7-max-2026-05-20,arm4,coal,cancelled;operational,300.0,bac giang/thai nguyen;thai nguyen,94.7,An Khánh - Bac Giang,94.7,An Khánh - Bac Giang,matcher_fail_lp_veto
cong thanh lng,Công Thanh LNG,2,1,1,claude-opus-4-6,arm1,imported gas,proposed,1500.0;600.0,thanh hoa,100.0,Cong Thanh,100.0,Cong Thanh,matcher_fail_lp_veto
lng cong thanh,Nhiệt điện LNG Công Thanh,2,1,1,mistral-large-2512,arm1,imported gas;unknown,proposed;unknown,1500.0,thanh hoa,100.0,Cong Thanh,100.0,Cong Thanh,matcher_fail_lp_veto
dien hat nhan ninh thuan 1,Nhà máy điện hạt nhân Ninh Thuận 1,2,1,2,mistral-large-2512,arm1;arm2,unknown,planned;unknown,2400.0,ninh thuan,80.0,Vinh Tan 1,80.0,Vinh Tan 1,other
dien hat nhan ninh thuan 2,Nhà máy điện hạt nhân Ninh Thuận 2,2,1,2,mistral-large-2512,arm1;arm2,unknown,planned;proposed,2400.0;4000.0,ninh thuan,80.0,Vinh Tan 1,80.0,Vinh Tan 1,other
cai lan,Nhiệt điện Cái Lân,2,1,1,gpt-5.5-2026-04-23,arm2,coal;unknown,operational,39.0,quang ninh,85.7,LNG Hải Lăng (1),85.7,LNG Hải Lăng (1),reference_hole
nhon trach 3&4,NMĐ Nhơn Trạch 3&4 (row),2,1,1,claude-opus-4-6,arm3,imported gas,unknown,0.0,dong nai,100.0,LNG Nhơn Trạch 3,100.0,LNG Nhơn Trạch 3,matcher_fail_lp_veto
thai binh,LNG Thái Bình,2,1,2,mistral-large-2512,arm3;arm4,imported gas,planned;proposed,1500.0,thai binh,100.0,LNG Thái Bình,100.0,LNG Thái Bình,matcher_fail_lp_veto
than binh dinh 1,NĐ Than Bình Định I,2,1,1,gpt-5.5,arm3,coal,cancelled,1200.0,binh dinh,100.0,LNG Bình Định,100.0,LNG Bình Định,matcher_fail_lp_veto
an khanh 2 / bac giang,NĐ An Khánh II / Bắc Giang,2,1,1,gpt-5.5,arm3,coal,constructing,650.0,bac giang,94.7,An Khánh 1,94.7,An Khánh 1,matcher_fail_lp_veto
than mien bac 1000 mw,NĐ Than miền Bắc 1000 MW,2,1,1,gpt-5.5,arm3,coal,cancelled,2000.0,"bac bo unspecified;northern vietnam, unspecified",100.0,NĐ Miền Bắc 1,100.0,NĐ Miền Bắc 1,matcher_fail_lp_veto
vinh tan vi,NĐ Vĩnh Tân VI,2,1,1,gpt-5.5,arm3,coal,cancelled,1200.0,binh thuan,94.7,Vinh Tan 1,94.7,Vinh Tan 1,matcher_fail_lp_veto
tuabin khi ba ria,NĐ Tuabin khí Bà Rịa,1,1,1,claude-opus-4-6,arm1,unknown,operational,389.0,ba ria – vung tau,85.7,TBKHH Bà Rịa 2,85.7,TBKHH Bà Rịa 2,statistical_borderline
hoa phat hai duong,Nhiệt điện Hòa Phát Hải Dương,1,1,1,claude-opus-4-6,arm1,coal,operational,120.0,hai duong,100.0,Hai Duong,100.0,Hai Duong,reference_hole
du phong lng qh8,Dự phòng LNG QH8 (2031–2035),1,1,1,claude-opus-4-6,arm1,imported gas,proposed,7500.0,various,70.6,Hải Phòng,70.6,Hải Phòng,statistical_borderline
duyen hai 1,Nhiệt điện Duyên Hải 1 (mở rộng),1,1,1,mistral-large-2512,arm1,coal,operational,622.5,tra vinh,100.0,Duyen Hai 1,100.0,Duyen Hai 1,matcher_fail_lp_veto
soc trang,Nhiệt điện Sóc Trăng,1,1,1,mistral-large-2512,arm1,unknown,proposed,9600.0,soc trang,62.5,An Khánh - Bac Giang,62.5,An Khánh - Bac Giang,statistical_borderline
na duong 2,Nhiệt điện Na Dương 2 (mở rộng),1,1,1,mistral-large-2512,arm1,coal,constructing,300.0,lang son,100.0,Na Dương 2,100.0,Na Dương 2,matcher_fail_lp_veto
nam mu,Nhiệt điện Nậm Mu,1,1,1,mistral-large-2512,arm1,coal,operational,100.0,dien bien,80.0,Nam Dinh 1,80.0,Nam Dinh 1,statistical_borderline
khe bo,Nhiệt điện Khe Bố,1,1,1,mistral-large-2512,arm1,coal,operational,200.0,nghe an,66.7,Mao Khe,66.7,Mao Khe,statistical_borderline
mong duong,Nhiệt điện Mông Dương,1,1,1,mistral-large-2512,arm1,coal,operational,1080.0,quang ninh,100.0,Mong Duong 1,100.0,Mong Duong 1,matcher_fail_lp_veto
duyen hai 4,Nhiệt điện Duyên Hải 4,1,1,1,mistral-large-2512,arm1,coal,operational,600.0,tra vinh,95.2,Duyen Hai 1,95.2,Duyen Hai 1,matcher_fail_lp_veto
lng soc trang,Nhiệt điện LNG Sóc Trăng,1,1,1,mistral-large-2512,arm1,imported gas,proposed,9600.0,soc trang,85.7,LNG Long Sơn (I),85.7,LNG Long Sơn (I),statistical_borderline
khi ba ria,Nhiệt điện khí Bà Rịa,1,1,1,gpt-5.5,arm1,unknown,operational,389.0,ba ria–vung tau,85.7,TBKHH Bà Rịa 2,85.7,TBKHH Bà Rịa 2,statistical_borderline
dien kien giang 2,Nhà máy điện Kiên Giang 2,1,1,1,gpt-5.5,arm1,unknown,proposed,750.0,kien giang,88.9,"TBKHH Kiên Giang I, II",88.9,"TBKHH Kiên Giang I, II",matcher_fail_normalization
trung tam dien luc mien trung 500 mw,Trung tâm điện lực miền Trung 500 MW,1,1,1,gpt-5.5,arm1,unknown,proposed,500.0,not specified,91.7,TBKHH miền Trung I,91.7,TBKHH miền Trung I,matcher_fail_lp_veto
tuabin khi hon hop phu my chay lng bo sung,Tuabin khí hỗn hợp Phú Mỹ chạy LNG bổ sung,1,1,1,gpt-5.5,arm1,imported gas,operational,0.0,ba ria–vung tau,87.5,TBKHH Phú Mỹ 1,87.5,TBKHH Phú Mỹ 1,statistical_borderline
dien kien giang 1,Nhà máy điện Kiên Giang 1,1,1,1,gpt-5.5,arm1,unknown,proposed,750.0,kien giang,88.9,"TBKHH Kiên Giang I, II",88.9,"TBKHH Kiên Giang I, II",matcher_fail_normalization
dien tra noc,Nhà máy điện Trà Nóc,1,1,1,gpt-5.5,arm1,unknown,operational,193.0,can tho,71.4,LNG Bến Tre,71.4,LNG Bến Tre,statistical_borderline
dien khi lo b – o mon trung tam phu tro,Điện khí Lô B – Ô Môn trung tâm phụ trợ,1,1,1,gpt-5.5,arm1,unknown,proposed,30.0,can tho/kien giang region,85.7,TBKHH Ô Môn I,85.7,TBKHH Ô Môn I,statistical_borderline
dien khi lo b - o mon,Nhà máy Điện Khí Lô B - Ô Môn,1,1,1,qwen3.7-max-2026-05-20,arm1,unknown,unknown,3000.0,can tho / kien giang,83.3,TBKHH Ô Môn I,83.3,TBKHH Ô Môn I,statistical_borderline
**coal operating subtotal**,**Coal Operating Subtotal**,1,1,1,claude-opus-4-6,arm2,unknown,unknown,24804.0,,62.5,LNG Long Sơn (I),62.5,LNG Long Sơn (I),statistical_borderline
**lng pre-con/dev subtotal**,**LNG Pre-con/Dev Subtotal**,1,1,1,claude-opus-4-6,arm2,unknown,unknown,29000.0,,58.8,Long Phú 1,58.8,Long Phú 1,statistical_borderline
**coal cancelled subtotal**,**Coal Cancelled Subtotal**,1,1,1,claude-opus-4-6,arm2,unknown,unknown,12000.0,,62.5,Cao Ngạn,62.5,Cao Ngạn,statistical_borderline
**domestic gas operating subtotal**,**Domestic Gas Operating Subtotal**,1,1,1,claude-opus-4-6,arm2,unknown,unknown,8238.0,,62.5,LNG Long Sơn (I),62.5,LNG Long Sơn (I),statistical_borderline
**coal u/c subtotal**,**Coal U/C Subtotal**,1,1,1,claude-opus-4-6,arm2,unknown,unknown,4300.0,,60.0,LNG Cà Ná,60.0,LNG Cà Ná,statistical_borderline
**coal shelved subtotal**,**Coal Shelved Subtotal**,1,1,1,claude-opus-4-6,arm2,unknown,unknown,7700.0,,60.0,LNG Cà Ná,60.0,LNG Cà Ná,statistical_borderline
**dom. gas pre-con subtotal**,**Dom. Gas Pre-con Subtotal**,1,1,1,claude-opus-4-6,arm2,unknown,unknown,4990.0,,62.5,LNG Long Sơn (I),62.5,LNG Long Sơn (I),statistical_borderline
**lng operating subtotal**,**LNG Operating Subtotal**,1,1,1,claude-opus-4-6,arm2,unknown,unknown,1500.0,,66.7,LNG Long Sơn (I),66.7,LNG Long Sơn (I),statistical_borderline
dien rac,Nhà máy điện rác,1,1,1,mistral-large-2512,arm2,unknown,operational,150.0,various,80.0,NĐ LNG miền Bắc,80.0,NĐ LNG miền Bắc,statistical_borderline
block b – o mon,Nhiệt điện Block B – Ô Môn,1,1,1,mistral-large-2512,arm2,gas,planned,3000.0,kien giang,83.3,TBKHH Ô Môn I,83.3,TBKHH Ô Môn I,statistical_borderline
dien sinh khoi kcp,Nhà máy điện sinh khối KCP,1,1,1,mistral-large-2512,arm2,unknown,operational,30.0,various,66.7,LNG Bình Định,66.7,LNG Bình Định,statistical_borderline
bot mong duong 2,Nhiệt điện BOT Mông Dương 2,1,1,1,mistral-large-2512,arm2,coal,operational,1244.0,quang ninh,100.0,Mong Duong 2,100.0,Mong Duong 2,matcher_fail_lp_veto
dien sinh khoi,Nhà máy điện sinh khối,1,1,1,mistral-large-2512,arm2,unknown,operational,200.0,various,66.7,LNG Bình Định,66.7,LNG Bình Định,statistical_borderline
dien rac soc son,Nhà máy điện rác Sóc Sơn,1,1,1,mistral-large-2512,arm2,unknown,operational,75.0,ha noi,73.7,NĐ Miền Bắc 1,73.7,NĐ Miền Bắc 1,statistical_borderline
lng quang trach 3,Nhiệt điện LNG Quảng Trạch 3,1,1,1,mistral-large-2512,arm2,imported gas,proposed,1500.0,quang binh,92.3,Quảng Trạch 2,92.3,Quảng Trạch 2,matcher_fail_lp_veto
block b,Nhiệt điện Block B,1,1,1,mistral-large-2512,arm2,unknown,proposed,6900.0,multiple,54.5,Bạc Liêu 1,54.5,Bạc Liêu 1,statistical_borderline
vinh tan 5,Nhiệt điện Vĩnh Tân 5,1,1,1,gpt-5.5-2026-04-23,arm2,coal,cancelled,1200.0,binh thuan,94.7,Vinh Tan 1,94.7,Vinh Tan 1,matcher_fail_lp_veto
dien duc giang,Điện đồng phát Đức Giang,1,1,1,gpt-5.5-2026-04-23,arm2,coal,proposed,100.0,lao cai,85.7,LNG Mỹ Giang,85.7,LNG Mỹ Giang,statistical_borderline
thi vai,LNG Thị Vải,1,1,1,qwen3.7-max-2026-05-20,arm2,imported gas,unknown,900.0,ba ria - vung tau,72.7,LNG Thái Bình,72.7,LNG Thái Bình,statistical_borderline
formosa ht,NĐ Formosa HT (Phase 1),1,1,1,claude-opus-4-6,arm3,unknown,unknown,500.0,ha tinh,100.0,Formosa HT2,100.0,Formosa HT2,matcher_fail_lp_veto
tua bin khi thu duc,Tua bin khí Thủ Đức,1,1,1,claude-opus-4-6,arm3,oil,operational,113.0,hcm city,100.0,NĐ Thủ Đức,100.0,NĐ Thủ Đức,matcher_fail_lp_veto
tua bin khi can tho,Tua bin khí Cần Thơ,1,1,1,claude-opus-4-6,arm3,unknown,operational,155.0,can tho,100.0,NĐ Cần Thơ,100.0,NĐ Cần Thơ,matcher_fail_lp_veto
nghi son 3,Nghi Sơn III,1,1,1,mistral-large-2512,arm3,coal,proposed,1200.0,thanh hoa,100.0,LNG Nghi Sơn (Thanh Hóa),100.0,LNG Nghi Sơn (Thanh Hóa),matcher_fail_lp_veto
binh dinh 3,Bình Định III,1,1,1,mistral-large-2512,arm3,coal,proposed,1200.0,binh dinh,100.0,LNG Bình Định,100.0,LNG Bình Định,matcher_fail_lp_veto
yen hung / uong bi 3,NĐ Yên Hưng / Uông Bí III,1,1,1,gpt-5.5,arm3,coal,unknown,1200.0,quang ninh,88.9,Uong Bi I,88.9,Uong Bi I,reference_hole
hoa phat 2 gas du,Hòa Phát II gas dư,1,1,1,gpt-5.5,arm3,unknown,planned,300.0,n/a,77.8,Cẩm Phả 2,77.8,Cẩm Phả 2,reference_hole
duc giang chp,Đức Giang CHP,1,1,1,gpt-5.5,arm3,unknown,planned,100.0,n/a,87.0,Duc Giang - Lao Cai Chemical,87.0,Duc Giang - Lao Cai Chemical,statistical_borderline
kien giang 1–2 gas,Kiên Giang I–II gas,1,1,1,gpt-5.5,arm3,unknown,unknown,1500.0,kien giang,89.7,"TBKHH Kiên Giang I, II",89.7,"TBKHH Kiên Giang I, II",matcher_fail_normalization
can tho hoi nuoc,NĐ Cần Thơ hơi nước,1,1,1,gpt-5.5,arm3,unknown,retired,33.0,can tho,100.0,NĐ Cần Thơ,100.0,NĐ Cần Thơ,matcher_fail_lp_veto
thu duc dau,NĐ Thủ Đức dầu,1,1,1,gpt-5.5,arm3,unknown,retired,165.0,tp. ho chi minh,100.0,NĐ Thủ Đức,100.0,NĐ Thủ Đức,matcher_fail_lp_veto
can tho s4 dau,Nhiệt điện Cần Thơ S4 dầu,1,1,1,gpt-5.5,arm3,unknown,retired,33.0,can tho,100.0,NĐ Cần Thơ,100.0,NĐ Cần Thơ,matcher_fail_lp_veto
tuabin khi thu duc,Tuabin khí Thủ Đức,1,1,1,gpt-5.5,arm3,unknown,retired,113.0,tp. ho chi minh,100.0,NĐ Thủ Đức,100.0,NĐ Thủ Đức,matcher_fail_lp_veto
than binh dinh 2,Nhiệt điện than Bình Định II,1,1,1,gpt-5.5,arm3,coal,cancelled,2000.0,binh dinh,100.0,LNG Bình Định,100.0,LNG Bình Định,matcher_fail_lp_veto
bac giang,Nhiệt điện Bắc Giang,1,1,1,gpt-5.5,arm3,coal,cancelled,600.0,bac giang,100.0,An Khánh - Bac Giang,100.0,An Khánh - Bac Giang,matcher_fail_lp_veto
formosa ha tinh 1,Nhiệt điện Formosa Hà Tĩnh I,1,1,1,gpt-5.5,arm3,coal,operational,150.0,ha tinh,100.0,LNG Hà Tĩnh,100.0,LNG Hà Tĩnh,matcher_fail_lp_veto
an khe biomass,An Khê Biomass,1,1,1,qwen3.7-max-2026-05-20,arm3,unknown,operational,110.0,gia lai,76.9,Mao Khe,76.9,Mao Khe,statistical_borderline
kcp biomass,KCP Biomass,1,1,1,qwen3.7-max-2026-05-20,arm3,unknown,operational,60.0,phu yen,50.0,LNG Cà Mau 1,50.0,LNG Cà Mau 1,statistical_borderline
dau thu duc,Nhiệt điện Dầu Thủ Đức,1,1,1,qwen3.7-max-2026-05-20,arm3,unknown,unknown,165.0,tp ho chi minh,100.0,NĐ Thủ Đức,100.0,NĐ Thủ Đức,matcher_fail_lp_veto
cao nhan,Cao Nhân,1,1,1,claude-opus-4-6,arm4,unknown,unknown,0.0,hai phong,87.5,Cao Ngạn,87.5,Cao Ngạn,statistical_borderline
formosa ht ph.1,Formosa HT Ph.1,1,1,1,claude-opus-4-6,arm4,unknown,operational,500.0,ha tinh,95.2,Formosa HT2,95.2,Formosa HT2,matcher_fail_lp_veto
long an 3,Long An III,1,1,1,mistral-large-2512,arm4,coal,proposed,1200.0,long an,94.1,Long An 1,94.1,Long An 1,matcher_fail_lp_veto
tan phuoc 3,NĐ Tân Phước III,1,1,1,gpt-5.5-2026-04-23,arm4,coal,cancelled,1200.0,tien giang,100.0,LNG Tân Phước,100.0,LNG Tân Phước,matcher_fail_lp_veto
hoa phat 2 nhiet du,NĐ Hòa Phát II nhiệt dư,1,1,1,gpt-5.5-2026-04-23,arm4,coal,unknown,300.0,quang ngai,77.8,Cẩm Phả 2,77.8,Cẩm Phả 2,reference_hole
vung ang 3 than,NĐ Vũng Áng III than,1,1,1,gpt-5.5-2026-04-23,arm4,coal,cancelled,1200.0,ha tinh,100.0,Vung Ang 3,100.0,Vung Ang 3,matcher_fail_lp_veto
hoa ninh giai doan 1,LNG Hòa Ninh giai đoạn I,1,1,1,gpt-5.5-2026-04-23,arm4,imported gas,proposed,1500.0,da nang,73.7,Na Dương 1,73.7,Na Dương 1,statistical_borderline
thanh hoa,LNG Thanh Hóa,1,1,1,gpt-5.5-2026-04-23,arm4,imported gas,proposed,1500.0,thanh hoa,71.4,Cong Thanh,71.4,Cong Thanh,statistical_borderline
thai binh giai doan 2,LNG Thái Bình giai đoạn 2,1,1,1,gpt-5.5-2026-04-23,arm4,imported gas,proposed,1500.0,thai binh,100.0,LNG Thái Bình,100.0,LNG Thái Bình,matcher_fail_lp_veto
vnt19,Nhà máy nhiệt điện VNT19,1,1,1,gpt-5.5-2026-04-23,arm4,coal,proposed,54.0,quang ngai,50.0,Long An 1,50.0,Long An 1,statistical_borderline
dau/khi thu duc,NĐ dầu/khí Thủ Đức,1,1,1,gpt-5.5-2026-04-23,arm4,unknown,retired,165.0,tp ho chi minh,100.0,NĐ Thủ Đức,100.0,NĐ Thủ Đức,matcher_fail_lp_veto
uong bi ext 1 & 2,Uong Bi Ext 1 & 2,1,1,1,qwen3.7-max-2026-05-20,arm4,coal,operational,630.0,,94.1,Uong Bi I,94.1,Uong Bi I,matcher_fail_lp_veto
**cam pha**,**Cẩm Phả**,1,1,1,qwen3.7-max-2026-05-20,arm4,coal,unknown,600.0,,77.8,Cam Pha 3,77.8,Cam Pha 3,statistical_borderline
an khanh 1 & 2,An Khánh I & II,1,1,1,qwen3.7-max-2026-05-20,arm4,coal,operational,400.0,,100.0,An Khánh 1,100.0,An Khánh 1,matcher_fail_lp_veto
long an 1 & 2 lng,Long An I & II LNG,1,1,1,qwen3.7-max-2026-05-20,arm4,imported gas,proposed,3000.0,long an,100.0,Long An 1,100.0,Long An 1,matcher_fail_lp_veto
