name,fuel,status,cod,province,capacity_mwe,plan_origin,notes,source_1,source_1_type,source_2,source_2_type,evidence_score,verified
Son My 1 LNG,Imported LNG,Planned/Under development,~2027-2028,Binh Thuan,2250,PDP8,Consortium; linked to Son My LNG terminal,,none,,none,1,False
Son My 2 LNG (AES),Imported LNG,Planned/Under development,~2028-2030,Binh Thuan,2250,PDP8,AES developer,,none,,none,1,False
Son My LNG Terminal,LNG Import Terminal,Under development / Pre-FID,~2027-2028,Binh Thuan,~3.6 MTPA,PDP8,Shared terminal for Son My 1 & 2,,none,,none,1,False
Bac Lieu LNG (Delta Offshore Energy),Imported LNG,Planned/Under development,~2027-2029,Bac Lieu,3200,PDP8,FSRU-based; PPA/financing challenges,,none,,none,1,False
Bac Lieu LNG Terminal (FSRU),LNG Import Terminal,Planned/Under development,~2027-2029,Bac Lieu,~3.6 MTPA,PDP8,,,none,,none,1,False
Hiep Phuoc LNG Power,Imported LNG,Planned,~2027-2030,Ho Chi Minh City,1200,PDP8,,,none,,none,1,False
Hiep Phuoc LNG Terminal,LNG Import Terminal,Planned,~2027-2030,Ho Chi Minh City,TBD,PDP8,,,none,,none,1,False
Ca Na LNG Power (Ninh Thuan),Imported LNG,Planned,~2028-2030,Ninh Thuan,1500,PDP8,Trung Nam Group involved,,none,,none,1,False
Ca Na LNG Terminal,LNG Import Terminal,Planned,~2028-2030,Ninh Thuan,TBD,PDP8,,,none,,none,1,False
Quang Trach 2 LNG,Imported LNG,Planned,~2027-2028,Quang Binh,750,PDP8,Adjacent to Quang Trach 1 coal,,none,,none,1,False
Quang Trach LNG Terminal,LNG Import Terminal,Planned,~2027-2028,Quang Binh,TBD,PDP8,,,none,,none,1,False
Thai Binh LNG Power,Imported LNG,Planned,~2028-2030,Thai Binh,1500,PDP8,,,none,,none,1,False
Thai Binh LNG Terminal,LNG Import Terminal,Planned,~2028-2030,Thai Binh,TBD,PDP8,,,none,,none,1,False
Quang Ninh LNG Power,Imported LNG,Planned,~2028-2030,Quang Ninh,1500,PDP8,,,none,,none,1,False
Quang Ninh LNG Terminal,LNG Import Terminal,Planned,~2028-2030,Quang Ninh,TBD,PDP8,,,none,,none,1,False
Long An LNG Power,Imported LNG,Planned,~2028-2030,Long An,1500,PDP8,,,none,,none,1,False
Long An LNG Terminal,LNG Import Terminal,Planned,~2028-2030,Long An,TBD,PDP8,,,none,,none,1,False
Hai Lang LNG Power (Quang Tri),Imported LNG,Planned,~2028-2030,Quang Tri,1500,PDP8,T&T / Hanwha involved,,none,,none,1,False
Hai Lang LNG Terminal,LNG Import Terminal,Planned,~2028-2030,Quang Tri,TBD,PDP8,,,none,,none,1,False
My Giang LNG Power (Khanh Hoa),Imported LNG,Planned,~2028-2030,Khanh Hoa,1500,PDP8,,,none,,none,1,False
My Giang LNG Terminal,LNG Import Terminal,Planned,~2028-2030,Khanh Hoa,TBD,PDP8,,,none,,none,1,False
Nghi Son LNG Power,Imported LNG,Planned,~2028-2030,Thanh Hoa,1500,PDP8,Near existing Nghi Son coal complex,,none,,none,1,False
Nghi Son LNG Terminal,LNG Import Terminal,Planned,~2028-2030,Thanh Hoa,TBD,PDP8,,,none,,none,1,False
Chan May LNG Power (Thua Thien Hue),Imported LNG,Planned,~2029-2030,Thua Thien Hue,4000,PDP8,One of largest planned LNG projects,,none,,none,1,False
Chan May LNG Terminal,LNG Import Terminal,Planned,~2029-2030,Thua Thien Hue,TBD,PDP8,Deep-water port site,,none,,none,1,False
Ke Ga LNG Power (Binh Thuan),Imported LNG,Planned,~2029-2030,Binh Thuan,1500,PDP8,Separate from Son My projects,,none,,none,1,False
Ca Mau LNG (conversion/expansion),Imported LNG,Planned,~2028-2030,Ca Mau,750,PDP8,Potential LNG supplement to existing Ca Mau gas plants,,none,,none,1,False
Mekong Delta LNG Terminal (for O Mon bloc),LNG Import Terminal,Planned/Under development,~2026-2028,Tra Vinh / Can Tho area,TBD,PDP8,To supplement Block B gas for O Mon complex,,none,,none,1,False
Dung Quat LNG Power (Quang Ngai),Imported LNG,Planned,~2029-2030,Quang Ngai,750,PDP8,Near Dung Quat refinery/EZ,,none,,none,1,False
Binh Dinh LNG (Nhon Hoi),Imported LNG,Planned/Under study,~2029-2030,Binh Dinh,1500,PDP8 candidate,,,none,,none,1,False
Phu My LNG (conversion/new build),Imported LNG,Planned/Under study,~2028-2030,Ba Ria-Vung Tau,750,PDP8,Potential conversion of ageing Phu My units or new CCGT,,none,,none,1,False
--- OIL / DIESEL PLANTS — OPERATING ---,,,,,,,,,none,,none,1,False
Can Tho 1 (gas turbine/diesel),Oil/Diesel,Operating (low utilisation),~2002,Can Tho,150,Pre-PDP7,Peaking/backup,,none,,none,1,False
Can Tho 2 (gas turbine/diesel),Oil/Diesel,Operating (low utilisation),~2002,Can Tho,150,Pre-PDP7,,,none,,none,1,False
Ba Ria Diesel (peaker),Oil/Diesel,Operating (low utilisation),Various,Ba Ria-Vung Tau,50,Pre-PDP7,,,none,,none,1,False
Thu Duc Diesel (old peakers),Oil/Diesel,Operating (standby),Various,Ho Chi Minh City,60,Pre-PDP7,,,none,,none,1,False
Phu Quoc Diesel,Oil/Diesel,Operating,Various,Kien Giang,~73,Island grid,Being supplemented by cable + solar,,none,,none,1,False
Con Dao Diesel,Oil/Diesel,Operating,Various,Ba Ria-Vung Tau,~18,Island grid,Submarine cable planned,,none,,none,1,False
Ly Son Diesel,Oil/Diesel,Operating,Various,Quang Ngai,~6,Island grid,,,none,,none,1,False
Phu Quy Island Diesel,Oil/Diesel,Operating,Various,Binh Thuan,~6,Island grid,Wind-diesel hybrid,,none,,none,1,False
Van Don / Co To Diesel,Oil/Diesel,Operating,Various,Quang Ninh,~12,Island grid,Grid connection under study,,none,,none,1,False
Bach Long Vi Diesel,Oil/Diesel,Operating,Various,Hai Phong,~3,Island grid,,,none,,none,1,False
Truong Sa Diesel (various islets),Oil/Diesel,Operating,Various,Khanh Hoa (administered),~5,Island grid,Military + civilian,,none,,none,1,False
Cu Lao Cham Diesel,Oil/Diesel,Operating,Various,Quang Nam,~3,Island grid,Submarine cable under study,,none,,none,1,False
Hon Tre / Nha Trang islands,Oil/Diesel,Operating,Various,Khanh Hoa,~5,Island grid,,,none,,none,1,False
Cat Ba Diesel (backup),Oil/Diesel,Operating (backup; grid-connected),Various,Hai Phong,~10,Island grid,Now mostly grid-connected,,none,,none,1,False
Tho Chu Island Diesel,Oil/Diesel,Operating,Various,Kien Giang,~3,Island grid,,,none,,none,1,False
--- INDUSTRIAL COGENERATION (COAL/BIOMASS MIX) ---,,,,,,,,,none,,none,1,False
Tam Hieu (Quang Ngai sugar cogen),Coal/Biomass Mixed,Operating,Various,Quang Ngai,~24,Industrial,Seasonal operation,,none,,none,1,False
FICO Tay Ninh (sugar cogen),Coal/Biomass Mixed,Operating,Various,Tay Ninh,~30,Industrial,,,none,,none,1,False
Bourbon Gia Lai (sugar cogen),Biomass/Coal Mixed,Operating,Various,Gia Lai,~24,Industrial,,,none,,none,1,False
Vietsugar Ben Tre (sugar cogen),Biomass/Coal Mixed,Operating,Various,Ben Tre,~24,Industrial,,,none,,none,1,False
SBT Tay Ninh (TTC sugar cogen),Biomass/Coal Mixed,Operating,Various,Tay Ninh,~24,Industrial,,,none,,none,1,False
KCP Vietnam (Phu Yen sugar cogen),Biomass/Coal Mixed,Operating,Various,Phu Yen,~30,Industrial,Indian-owned,,none,,none,1,False
Ninh Hoa Sugar (Khanh Hoa),Biomass/Coal Mixed,Operating,Various,Khanh Hoa,~12,Industrial,,,none,,none,1,False
La Nga Sugar (Dong Nai),Biomass/Coal Mixed,Operating,Various,Dong Nai,~9,Industrial,,,none,,none,1,False
Phan Rang Sugar (Ninh Thuan),Biomass/Coal Mixed,Operating,Various,Ninh Thuan,~6,Industrial,,,none,,none,1,False
Nghe An Tate & Lyle (sugar cogen),Biomass/Coal Mixed,Operating,Various,Nghe An,~24,Industrial,,,none,,none,1,False
--- CEMENT WASTE HEAT RECOVERY (WHR) — SELECTED ---,,,,,,,,,none,,none,1,False
Nghi Son Cement WHR,Waste Heat,Operating,Various,Thanh Hoa,~45,Industrial captive,,,none,,none,1,False
Holcim/INSEE Hon Chong WHR,Waste Heat,Operating,Various,Kien Giang,~15,Industrial captive,,,none,,none,1,False
Chinfon Hai Phong WHR,Waste Heat,Operating,Various,Hai Phong,~12,Industrial captive,,,none,,none,1,False
Ha Long Cement (Quang Ninh) WHR,Waste Heat,Operating,Various,Quang Ninh,~10,Industrial captive,,,none,,none,1,False
Luks Cement (Ninh Thuan) WHR,Waste Heat,Operating,Various,Ninh Thuan,~9,Industrial captive,,,none,,none,1,False
Thang Long Cement WHR,Waste Heat,Operating,Various,Quang Ninh,~6,Industrial captive,,,none,,none,1,False
Cong Thanh Cement WHR,Waste Heat,Operating,Various,Thanh Hoa,~12,Industrial captive,,,none,,none,1,False
Xuan Thanh Cement WHR,Waste Heat,Operating,Various,Ha Nam,~10,Industrial captive,,,none,,none,1,False
