name,fuel,status,cod,province,capacity_mwe,plan_origin,notes,verification_source,confidence,source_1,source_1_type,source_2,source_2_type,evidence_score,verified
Vung Ang 2 (BOT),Coal,Under Construction,~2026-2027,Ha Tinh,1200,PDP7 revised / carried to PDP8,Mitsubishi-led BOT,ref: Vung Ang 2,0.77,ref: Vung Ang 2,primary,,none,3,True
Quang Trach 1,Coal,Under Construction,~2025-2026,Quang Binh,1200,PDP7 revised / carried to PDP8,EVN project,ref: Quảng Trạch 1,0.85,ref: Quảng Trạch 1,primary,,none,3,True
Van Phong 1 (BOT),Coal,Under Construction,~2027,Khanh Hoa,1320,PDP7 revised / carried to PDP8,Sumitomo-led BOT,ref: Vân Phong 1,0.71,ref: Vân Phong 1,primary,,none,3,True
Long Phu 1,Coal,Under Construction (stalled),Delayed/Uncertain,Soc Trang,1200,PDP7 revised / carried to PDP8,Toshiba withdrew; sanctions issues,ref: Long Phú 1,0.9,ref: Long Phú 1,primary,,none,3,True
--- COAL-FIRED PLANTS — PLANNED (PDP7 revised; carried to or modified in PDP8) ---,,,,,,,,Not found in reference,0.0,,none,,none,1,False
Nam Dinh 1,Coal,Planned/Pre-construction,~2026-2028,Nam Dinh,1200,PDP7 revised / PDP8,BOT; developer selection unclear,ref: Nam Dinh 1,1.0,ref: Nam Dinh 1,primary,,none,3,True
Na Duong 2,Coal,Planned,~2027-2030,Lang Son,110,PDP7 revised / PDP8,Local lignite,ref: Mong Duong 2,0.82,ref: Mong Duong 2,primary,,none,3,True
An Khanh 2,Coal,Planned/Uncertain,Uncertain,Thai Nguyen,110,PDP7 revised,Status unclear in PDP8,ref: An Khánh 1,0.8,ref: An Khánh 1,primary,,none,3,True
Cong Thanh (Thanh Hoa),Coal,Planned/Uncertain,Uncertain,Thanh Hoa,600,PDP7 revised,Private IPP; status unclear,Not found in reference,0.0,,none,,none,1,False
--- COAL-FIRED PLANTS — IN PDP7 REVISED BUT CANCELLED / REMOVED IN PDP8 ---,,,,,,,,Not found in reference,0.0,,none,,none,1,False
Vinh Tan 3,Coal,Cancelled (converted to LNG study),Cancelled as coal,Binh Thuan,1980,PDP7 revised,Removed from PDP8 as coal plant,ref: Vinh Tan 3,1.0,ref: Vinh Tan 3,primary,,none,3,True
Long Phu 2,Coal,Cancelled/Removed,Cancelled,Soc Trang,1200,PDP7 revised,Removed from PDP8,ref: Long Phú 2,0.9,ref: Long Phú 2,primary,,none,3,True
Long Phu 3,Coal,Cancelled/Removed,Cancelled,Soc Trang,1800,PDP7 revised,Removed from PDP8,ref: Long Phú 3,0.9,ref: Long Phú 3,primary,,none,3,True
Song Hau 2,Coal,Cancelled/Removed,Cancelled,Hau Giang,2000,PDP7 revised,Toyo Ink/Removed from PDP8,ref: Sông Hậu 2,0.8,ref: Sông Hậu 2,primary,,none,3,True
Quang Tri Coal,Coal,Cancelled/Removed,Cancelled,Quang Tri,1200,PDP7 revised,Removed from PDP8,Not found in reference,0.0,,none,,none,1,False
Tan Phuoc 1 (Tien Giang),Coal,Cancelled/Removed,Cancelled,Tien Giang,1200,PDP7 revised,Removed from PDP8,Not found in reference,0.0,,none,,none,1,False
Tan Phuoc 2 (Tien Giang),Coal,Cancelled/Removed,Cancelled,Tien Giang,1200,PDP7 revised,Removed from PDP8,Not found in reference,0.0,,none,,none,1,False
Bac Lieu Coal,Coal,Cancelled/Removed,Cancelled,Bac Lieu,1200,PDP7 revised,Replaced by LNG concept,Not found in reference,0.0,,none,,none,1,False
An Giang Coal (Binh Long),Coal,Cancelled/Removed,Cancelled,An Giang,1200,PDP7 revised,Removed from PDP8,Not found in reference,0.0,,none,,none,1,False
Soc Trang (additional),Coal,Cancelled/Removed,Cancelled,Soc Trang,1200,PDP7 revised,Removed from PDP8,Not found in reference,0.0,,none,,none,1,False
Kien Giang Coal (Kien Luong),Coal,Cancelled/Removed,Cancelled,Kien Giang,1200,PDP7 revised,Removed from PDP8,Not found in reference,0.0,,none,,none,1,False
Quang Ninh 3,Coal,Cancelled/Removed,Cancelled,Quang Ninh,1200,PDP7 revised,Removed from PDP8,ref: Quang Ninh 3,1.0,ref: Quang Ninh 3,primary,,none,3,True
Hai Phong 3,Coal,Cancelled/Removed,Cancelled,Hai Phong,2400,PDP7 revised,Removed from PDP8,ref: Hai Phong 3,1.0,ref: Hai Phong 3,primary,,none,3,True
Luc Nam (Bac Giang),Coal,Cancelled/Removed,Cancelled,Bac Giang,1200,PDP7 revised,Removed from PDP8,Not found in reference,0.0,,none,,none,1,False
Quang Ngai Coal,Coal,Cancelled/Removed,Cancelled,Quang Ngai,1200,PDP7 revised,Removed from PDP8,Not found in reference,0.0,,none,,none,1,False
Binh Dinh Coal,Coal,Cancelled/Removed,Cancelled,Binh Dinh,1200,PDP7 revised,Removed from PDP8,Not found in reference,0.0,,none,,none,1,False
Phu Yen Coal,Coal,Cancelled/Removed,Cancelled,Phu Yen,1320,PDP7 revised,Removed from PDP8,Not found in reference,0.0,,none,,none,1,False
Ninh Thuan Coal,Coal,Cancelled/Removed,Cancelled,Ninh Thuan,1200,PDP7 revised,Site repurposed for LNG/renewables,Not found in reference,0.0,,none,,none,1,False
Dung Quat 1 (expansion),Coal,Cancelled/Removed,Cancelled,Quang Ngai,600,PDP7 revised,Removed from PDP8,Not found in reference,0.0,,none,,none,1,False
Mong Duong 3,Coal,Cancelled/Removed,Cancelled,Quang Ninh,1000,PDP7 revised,Removed from PDP8,ref: Mong Duong 1,0.92,ref: Mong Duong 1,primary,,none,3,True
Vung Ang 3,Coal,Cancelled/Removed,Cancelled,Ha Tinh,1200,PDP7 revised,Removed from PDP8,ref: Vung Ang 3,1.0,ref: Vung Ang 3,primary,,none,3,True
Nghi Son 3,Coal,Cancelled/Removed,Cancelled,Thanh Hoa,1200,PDP7 revised,Removed from PDP8,ref: Nghi Son 1,0.9,ref: Nghi Son 1,primary,,none,3,True
Song Hau 3,Coal,Cancelled/Removed,Cancelled,Hau Giang,1200,PDP7 revised,Removed from PDP8,ref: Hai Phong 3,0.76,ref: Hai Phong 3,primary,,none,3,True
--- GAS-FIRED PLANTS (LOCAL NATURAL GAS) — OPERATING ---,,,,,,,,Not found in reference,0.0,,none,,none,1,False
Ba Ria (gas turbine),Local Natural Gas,Operating,1996,Ba Ria-Vung Tau,389,Pre-PDP7,Open cycle GT,Not found in reference,0.0,,none,,none,1,False
Phu My 1,Local Natural Gas,Operating,2002,Ba Ria-Vung Tau,1090,Pre-PDP7,CCGT,ref: Cẩm Phả 1,0.71,ref: Cẩm Phả 1,primary,,none,3,True
Phu My 2.1,Local Natural Gas,Operating,2002,Ba Ria-Vung Tau,444,Pre-PDP7,CCGT,Not found in reference,0.0,,none,,none,1,False
Phu My 2.1 Extension (BOT),Local Natural Gas,Operating,2005,Ba Ria-Vung Tau,436,Pre-PDP7,EDF BOT,Not found in reference,0.0,,none,,none,1,False
Phu My 2.2 (BOT),Local Natural Gas,Operating,2005,Ba Ria-Vung Tau,733,Pre-PDP7,Sembcorp BOT; now CCGT,Not found in reference,0.0,,none,,none,1,False
Phu My 3 (BOT),Local Natural Gas,Operating,2004,Ba Ria-Vung Tau,740,Pre-PDP7,BP/Sembcorp,Not found in reference,0.0,,none,,none,1,False
Phu My 4,Local Natural Gas,Operating,2005,Ba Ria-Vung Tau,468,Pre-PDP7,,Not found in reference,0.0,,none,,none,1,False
Nhon Trach 1,Local Natural Gas,Operating,2009,Dong Nai,450,PDP7,PV Power,Not found in reference,0.0,,none,,none,1,False
Nhon Trach 2,Local Natural Gas,Operating,2011,Dong Nai,750,PDP7,PV Power CCGT,Not found in reference,0.0,,none,,none,1,False
Ca Mau 1,Local Natural Gas,Operating,2008,Ca Mau,750,PDP7,PV Power,ref: LNG Cà Mau 1,0.7,ref: LNG Cà Mau 1,primary,,none,3,True
Ca Mau 2,Local Natural Gas,Operating,2008,Ca Mau,750,PDP7,PV Power,Not found in reference,0.0,,none,,none,1,False
O Mon 1,Local Natural Gas,Operating,2009,Can Tho,660,PDP7,Uses PM3-CAA gas,ref: Nong Son 1,0.71,ref: Nong Son 1,primary,,none,3,True
Thu Duc (gas turbine),Local Natural Gas,Operating,1997 (converted from oil),Ho Chi Minh City,170,Pre-PDP7,Low utilisation,Not found in reference,0.0,,none,,none,1,False
My Xuan B2,Local Natural Gas,Operating,~2002,Ba Ria-Vung Tau,128,Pre-PDP7,,Not found in reference,0.0,,none,,none,1,False
Hiep Phuoc Gas Turbine,Local Natural Gas / Oil,Operating,Various,Ho Chi Minh City,375,Pre-PDP7,Mixed fuel capability,Not found in reference,0.0,,none,,none,1,False
Long Son Petrochemical (captive CCGT),Local Natural Gas,Operating,~2023,Ba Ria-Vung Tau,~45,Industrial captive,SCG/Thai project,Not found in reference,0.0,,none,,none,1,False
--- GAS-FIRED / BLOCK B GAS — PLANNED (PDP7/PDP8) ---,,,,,,,,Not found in reference,0.0,,none,,none,1,False
O Mon 2,Local Natural Gas (Block B) / LNG supplement,Planned/Pre-construction,~2026-2028,Can Tho,750,PDP7 revised / PDP8,Awaiting Block B gas; may use LNG,Not found in reference,0.0,,none,,none,1,False
O Mon 3,Imported LNG / Block B gas,Planned,~2027-2028,Can Tho,750,PDP7 revised / PDP8,Japanese ODA considered,Not found in reference,0.0,,none,,none,1,False
O Mon 4,Imported LNG / Block B gas,Planned,~2027-2028,Can Tho,750,PDP7 revised / PDP8,,Not found in reference,0.0,,none,,none,1,False
Block B — O Mon Gas Pipeline,Local Natural Gas (offshore),Under development,~2026-2027,Offshore to Can Tho,N/A — pipeline infrastructure,PDP7/PDP8,PVEP/MOECO/PTTEP consortium,Not found in reference,0.0,,none,,none,1,False
--- LNG IMPORT TERMINALS — OPERATING OR UNDER CONSTRUCTION ---,,,,,,,,Not found in reference,0.0,,none,,none,1,False
Thi Vai LNG Terminal (PV GAS),LNG Import Terminal,Operational/Commissioning,2023 (first cargo Jul 2023),Ba Ria-Vung Tau,1 MTPA (expandable to 3 MTPA),PDP8 era,Vietnam's first LNG terminal; feeds Nhon Trach 3&4,Not found in reference,0.0,,none,,none,1,False
Hai Linh LNG Terminal (Cai Mep),LNG Import Terminal,Operational/Commissioning,2023 (first cargo 2023),Ba Ria-Vung Tau,~1 MTPA initially,Private,Private terminal; industrial supply initially,Not found in reference,0.0,,none,,none,1,False
--- LNG-TO-POWER PLANTS — UNDER CONSTRUCTION ---,,,,,,,,Not found in reference,0.0,,none,,none,1,False
Nhon Trach 3 (PV Power),Imported LNG,Under Construction,~2025-2026,Dong Nai,750,PDP8,GE 9HA turbine; fed by Thi Vai terminal,Not found in reference,0.0,,none,,none,1,False
Nhon Trach 4 (PV Power),Imported LNG,Under Construction,~2025-2026,Dong Nai,750,PDP8,GE 9HA turbine; fed by Thi Vai terminal,Not found in reference,0.0,,none,,none,1,False
--- LNG-TO-POWER PLANTS — PLANNED / IN DEVELOPMENT (PDP8) ---,,,,,,,,Not found in reference,0.0,,none,,none,1,False
Son My 1 LNG,Imported LNG,Planned/Under development,~2027-2028,Binh Thuan,2250,PDP8,Consortium; linked to Son My LNG terminal,ref: LNG Sơn Mỹ I,0.75,ref: LNG Sơn Mỹ I,primary,,none,3,True
Son My 2 LNG (AES),Imported LNG,Planned/Under development,~2028-2030,Binh Thuan,2250,PDP8,AES developer,Not found in reference,0.0,,none,,none,1,False
Son My LNG Terminal,LNG Import Terminal,Under development / Pre-FID,~2027-2028,Binh Thuan,~3.6 MTPA,PDP8,Shared terminal for Son My 1 & 2,Not found in reference,0.0,,none,,none,1,False
Bac Lieu LNG (Delta Offshore Energy),Imported LNG,Planned/Under development,~2027-2029,Bac Lieu,3200,PDP8,FSRU-based; PPA/financing challenges,Not found in reference,0.0,,none,,none,1,False
Bac Lieu LNG Terminal (FSRU),LNG Import Terminal,Planned/Under development,~2027-2029,Bac Lieu,~3.6 MTPA,PDP8,,Not found in reference,0.0,,none,,none,1,False
Hiep Phuoc LNG Power,Imported LNG,Planned,~2027-2030,Ho Chi Minh City,1200,PDP8,,Not found in reference,0.0,,none,,none,1,False
Hiep Phuoc LNG Terminal,LNG Import Terminal,Planned,~2027-2030,Ho Chi Minh City,TBD,PDP8,,Not found in reference,0.0,,none,,none,1,False
Ca Na LNG Power (Ninh Thuan),Imported LNG,Planned,~2028-2030,Ninh Thuan,1500,PDP8,Trung Nam Group involved,Not found in reference,0.0,,none,,none,1,False
Ca Na LNG Terminal,LNG Import Terminal,Planned,~2028-2030,Ninh Thuan,TBD,PDP8,,Not found in reference,0.0,,none,,none,1,False
Quang Trach 2 LNG,Imported LNG,Planned,~2027-2028,Quang Binh,750,PDP8,Adjacent to Quang Trach 1 coal,ref: LNG Quảng Trạch 2,0.88,ref: LNG Quảng Trạch 2,primary,,none,3,True
Quang Trach LNG Terminal,LNG Import Terminal,Planned,~2027-2028,Quang Binh,TBD,PDP8,,Not found in reference,0.0,,none,,none,1,False
Thai Binh LNG Power,Imported LNG,Planned,~2028-2030,Thai Binh,1500,PDP8,,Not found in reference,0.0,,none,,none,1,False
Thai Binh LNG Terminal,LNG Import Terminal,Planned,~2028-2030,Thai Binh,TBD,PDP8,,Not found in reference,0.0,,none,,none,1,False
Quang Ninh LNG Power,Imported LNG,Planned,~2028-2030,Quang Ninh,1500,PDP8,,Not found in reference,0.0,,none,,none,1,False
Quang Ninh LNG Terminal,LNG Import Terminal,Planned,~2028-2030,Quang Ninh,TBD,PDP8,,Not found in reference,0.0,,none,,none,1,False
Long An LNG Power,Imported LNG,Planned,~2028-2030,Long An,1500,PDP8,,ref: LNG Long An I phase 2,0.74,ref: LNG Long An I phase 2,primary,,none,3,True
Long An LNG Terminal,LNG Import Terminal,Planned,~2028-2030,Long An,TBD,PDP8,,Not found in reference,0.0,,none,,none,1,False
Hai Lang LNG Power (Quang Tri),Imported LNG,Planned,~2028-2030,Quang Tri,1500,PDP8,T&T / Hanwha involved,Not found in reference,0.0,,none,,none,1,False
Hai Lang LNG Terminal,LNG Import Terminal,Planned,~2028-2030,Quang Tri,TBD,PDP8,,Not found in reference,0.0,,none,,none,1,False
My Giang LNG Power (Khanh Hoa),Imported LNG,Planned,~2028-2030,Khanh Hoa,1500,PDP8,,Not found in reference,0.0,,none,,none,1,False
My Giang LNG Terminal,LNG Import Terminal,Planned,~2028-2030,Khanh Hoa,TBD,PDP8,,Not found in reference,0.0,,none,,none,1,False
Nghi Son LNG Power,Imported LNG,Planned,~2028-2030,Thanh Hoa,1500,PDP8,Near existing Nghi Son coal complex,Not found in reference,0.0,,none,,none,1,False
Nghi Son LNG Terminal,LNG Import Terminal,Planned,~2028-2030,Thanh Hoa,TBD,PDP8,,Not found in reference,0.0,,none,,none,1,False
Chan May LNG Power (Thua Thien Hue),Imported LNG,Planned,~2029-2030,Thua Thien Hue,4000,PDP8,One of largest planned LNG projects,Not found in reference,0.0,,none,,none,1,False
Chan May LNG Terminal,LNG Import Terminal,Planned,~2029-2030,Thua Thien Hue,TBD,PDP8,Deep-water port site,Not found in reference,0.0,,none,,none,1,False
Ke Ga LNG Power (Binh Thuan),Imported LNG,Planned,~2029-2030,Binh Thuan,1500,PDP8,Separate from Son My projects,Not found in reference,0.0,,none,,none,1,False
Ca Mau LNG (conversion/expansion),Imported LNG,Planned,~2028-2030,Ca Mau,750,PDP8,Potential LNG supplement to existing Ca Mau gas plants,Not found in reference,0.0,,none,,none,1,False
Mekong Delta LNG Terminal (for O Mon bloc),LNG Import Terminal,Planned/Under development,~2026-2028,Tra Vinh / Can Tho area,TBD,PDP8,To supplement Block B gas for O Mon complex,Not found in reference,0.0,,none,,none,1,False
Dung Quat LNG Power (Quang Ngai),Imported LNG,Planned,~2029-2030,Quang Ngai,750,PDP8,Near Dung Quat refinery/EZ,Not found in reference,0.0,,none,,none,1,False
Binh Dinh LNG (Nhon Hoi),Imported LNG,Planned/Under study,~2029-2030,Binh Dinh,1500,PDP8 candidate,,Not found in reference,0.0,,none,,none,1,False
Phu My LNG (conversion/new build),Imported LNG,Planned/Under study,~2028-2030,Ba Ria-Vung Tau,750,PDP8,Potential conversion of ageing Phu My units or new CCGT,Not found in reference,0.0,,none,,none,1,False
--- OIL / DIESEL PLANTS — OPERATING ---,,,,,,,,Not found in reference,0.0,,none,,none,1,False
Can Tho 1 (gas turbine/diesel),Oil/Diesel,Operating (low utilisation),~2002,Can Tho,150,Pre-PDP7,Peaking/backup,Not found in reference,0.0,,none,,none,1,False
Can Tho 2 (gas turbine/diesel),Oil/Diesel,Operating (low utilisation),~2002,Can Tho,150,Pre-PDP7,,Not found in reference,0.0,,none,,none,1,False
Ba Ria Diesel (peaker),Oil/Diesel,Operating (low utilisation),Various,Ba Ria-Vung Tau,50,Pre-PDP7,,Not found in reference,0.0,,none,,none,1,False
Thu Duc Diesel (old peakers),Oil/Diesel,Operating (standby),Various,Ho Chi Minh City,60,Pre-PDP7,,Not found in reference,0.0,,none,,none,1,False
Phu Quoc Diesel,Oil/Diesel,Operating,Various,Kien Giang,~73,Island grid,Being supplemented by cable + solar,Not found in reference,0.0,,none,,none,1,False
Con Dao Diesel,Oil/Diesel,Operating,Various,Ba Ria-Vung Tau,~18,Island grid,Submarine cable planned,Not found in reference,0.0,,none,,none,1,False
Ly Son Diesel,Oil/Diesel,Operating,Various,Quang Ngai,~6,Island grid,,Not found in reference,0.0,,none,,none,1,False
Phu Quy Island Diesel,Oil/Diesel,Operating,Various,Binh Thuan,~6,Island grid,Wind-diesel hybrid,Not found in reference,0.0,,none,,none,1,False
Van Don / Co To Diesel,Oil/Diesel,Operating,Various,Quang Ninh,~12,Island grid,Grid connection under study,Not found in reference,0.0,,none,,none,1,False
Bach Long Vi Diesel,Oil/Diesel,Operating,Various,Hai Phong,~3,Island grid,,Not found in reference,0.0,,none,,none,1,False
Truong Sa Diesel (various islets),Oil/Diesel,Operating,Various,Khanh Hoa (administered),~5,Island grid,Military + civilian,Not found in reference,0.0,,none,,none,1,False
Cu Lao Cham Diesel,Oil/Diesel,Operating,Various,Quang Nam,~3,Island grid,Submarine cable under study,Not found in reference,0.0,,none,,none,1,False
Hon Tre / Nha Trang islands,Oil/Diesel,Operating,Various,Khanh Hoa,~5,Island grid,,Not found in reference,0.0,,none,,none,1,False
Cat Ba Diesel (backup),Oil/Diesel,Operating (backup; grid-connected),Various,Hai Phong,~10,Island grid,Now mostly grid-connected,Not found in reference,0.0,,none,,none,1,False
Tho Chu Island Diesel,Oil/Diesel,Operating,Various,Kien Giang,~3,Island grid,,Not found in reference,0.0,,none,,none,1,False
--- INDUSTRIAL COGENERATION (COAL/BIOMASS MIX) ---,,,,,,,,Not found in reference,0.0,,none,,none,1,False
Tam Hieu (Quang Ngai sugar cogen),Coal/Biomass Mixed,Operating,Various,Quang Ngai,~24,Industrial,Seasonal operation,Not found in reference,0.0,,none,,none,1,False
FICO Tay Ninh (sugar cogen),Coal/Biomass Mixed,Operating,Various,Tay Ninh,~30,Industrial,,Not found in reference,0.0,,none,,none,1,False
Bourbon Gia Lai (sugar cogen),Biomass/Coal Mixed,Operating,Various,Gia Lai,~24,Industrial,,Not found in reference,0.0,,none,,none,1,False
Vietsugar Ben Tre (sugar cogen),Biomass/Coal Mixed,Operating,Various,Ben Tre,~24,Industrial,,Not found in reference,0.0,,none,,none,1,False
SBT Tay Ninh (TTC sugar cogen),Biomass/Coal Mixed,Operating,Various,Tay Ninh,~24,Industrial,,Not found in reference,0.0,,none,,none,1,False
KCP Vietnam (Phu Yen sugar cogen),Biomass/Coal Mixed,Operating,Various,Phu Yen,~30,Industrial,Indian-owned,Not found in reference,0.0,,none,,none,1,False
Ninh Hoa Sugar (Khanh Hoa),Biomass/Coal Mixed,Operating,Various,Khanh Hoa,~12,Industrial,,Not found in reference,0.0,,none,,none,1,False
La Nga Sugar (Dong Nai),Biomass/Coal Mixed,Operating,Various,Dong Nai,~9,Industrial,,Not found in reference,0.0,,none,,none,1,False
Phan Rang Sugar (Ninh Thuan),Biomass/Coal Mixed,Operating,Various,Ninh Thuan,~6,Industrial,,Not found in reference,0.0,,none,,none,1,False
Nghe An Tate & Lyle (sugar cogen),Biomass/Coal Mixed,Operating,Various,Nghe An,~24,Industrial,,Not found in reference,0.0,,none,,none,1,False
--- CEMENT WASTE HEAT RECOVERY (WHR) — SELECTED ---,,,,,,,,Not found in reference,0.0,,none,,none,1,False
Nghi Son Cement WHR,Waste Heat,Operating,Various,Thanh Hoa,~45,Industrial captive,,Not found in reference,0.0,,none,,none,1,False
Holcim/INSEE Hon Chong WHR,Waste Heat,Operating,Various,Kien Giang,~15,Industrial captive,,Not found in reference,0.0,,none,,none,1,False
Chinfon Hai Phong WHR,Waste Heat,Operating,Various,Hai Phong,~12,Industrial captive,,Not found in reference,0.0,,none,,none,1,False
Ha Long Cement (Quang Ninh) WHR,Waste Heat,Operating,Various,Quang Ninh,~10,Industrial captive,,Not found in reference,0.0,,none,,none,1,False
Luks Cement (Ninh Thuan) WHR,Waste Heat,Operating,Various,Ninh Thuan,~9,Industrial captive,,Not found in reference,0.0,,none,,none,1,False
Thang Long Cement WHR,Waste Heat,Operating,Various,Quang Ninh,~6,Industrial captive,,Not found in reference,0.0,,none,,none,1,False
